blueprint_id,seed_lane,left_field,left_transform,operator,right_field,right_transform,label_family,label_horizon_h,expression,candidate_role,source_stage,label_order
core25e_S0_positioning_price_basis_02cae377e8913e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_close,abs_zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(mark_close)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_0365ea250da17e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Mul,mark_index_basis_bps,delta_4h,L0_raw_forward_return,24,"Mul(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_0d648d12b4fb87,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_10f4bfd9c46a1a,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,index_close,abs_zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(index_close)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_120c9c4978407e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,abs_zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Abs(ZScore(trade_return_24h)))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_2b31e9b9f7ee41,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_2c35b6de0f905d,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,premium_close_bps,delta_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(premium_close_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_2fb0951c53d042,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,decay_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_2fb2bbc590e9be,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,decay_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(trade_return_24h,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_3236e002a6e448,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Mul,mark_index_basis_bps,zscore_168h,L0_raw_forward_return,24,"Mul(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_4334a20a34a241,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,premium_close_bps,tsrank_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(premium_close_bps,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_49e4e914de91bd,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,trade_return_24h,tsrank_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(trade_return_24h,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_4ea22c1a6d5383,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_56c7f4c6f5f371,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,premium_close_bps,decay_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(premium_close_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_5751c2f09920ca,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,index_close,decay_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Decay(index_close,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_59699ce8988215,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_59918e05e1e545,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_close,delta_4h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_close,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_64122a929ed5a8,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,premium_close_bps,delta_4h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(premium_close_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_701f3d934a0737,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
core25e_S0_positioning_price_basis_73135081ef853e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_close,tsrank_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),TSRank(mark_close,168))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E,0
