candidate_id,seed_lane,label_family,label_horizon_h,min_one_bar_costed_spread,mean_one_bar_costed_spread,max_control_ratio,min_sample_rows,one_bar_executable_clean_2bps
core25e_S0_positioning_price_basis_02109c6eb2431e,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,-0.0021270713689558094,-0.0008613327824141143,27.558819686910436,31455,False
core25e_S0_positioning_price_basis_02cae377e8913e,S0_positioning_price_basis,L0_raw_forward_return,24,-0.004578016640938921,-0.0018812089054778293,3.0664330661837873,31455,False
core25e_S0_positioning_price_basis_035f0dcad1dc7f,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,-0.004236070497195503,-0.0017647924438002544,5.827479988901133,31519,False
core25e_S0_positioning_price_basis_0365ea250da17e,S0_positioning_price_basis,L0_raw_forward_return,24,-0.004835451869652393,-0.0008364518653581281,2.5927681397883706,31455,False
core25e_S0_positioning_price_basis_0922438f201b00,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,-0.002377221128311784,0.0009131092250221768,5.211625128666377,31422,False
core25e_S0_positioning_price_basis_0d648d12b4fb87,S0_positioning_price_basis,L0_raw_forward_return,24,-0.004089509581997651,-0.00038241966831500615,3.3394334140794304,31357,False
core25e_S0_positioning_price_basis_0e91dd5544b500,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,-0.002104862502979747,0.0007681416790122246,20.209214003669423,31318,False
core25e_S0_positioning_price_basis_1033b2773adfd7,S0_positioning_price_basis,L0_raw_forward_return,8,-0.0015477964347488213,0.0005365092214233278,4.556945615683134,31519,False
core25e_S0_positioning_price_basis_10f4bfd9c46a1a,S0_positioning_price_basis,L0_raw_forward_return,24,-0.0045351280618060735,-0.001913674021481064,3.1807035648216013,31519,False
core25e_S0_positioning_price_basis_11abce46cc87ac,S0_positioning_price_basis,L0_raw_forward_return,8,-0.0019222894851604136,0.0003166668478371184,17.296406940774585,31455,False
core25e_S0_positioning_price_basis_11cf2485175f17,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,-0.0018642942532036762,0.000556494984823702,14.176809323297276,31318,False
core25e_S0_positioning_price_basis_120c9c4978407e,S0_positioning_price_basis,L0_raw_forward_return,24,-0.006795301661566969,-0.0016727156095282317,18.98678007345051,31422,False
core25e_S0_positioning_price_basis_138a7fe0fae8db,S0_positioning_price_basis,L0_raw_forward_return,8,-0.003812718573354433,0.002269799418159197,1.722825438272022,31359,False
core25e_S0_positioning_price_basis_1572b807bf8d0c,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,-0.0033176332875105813,-0.0006841230019295287,15.487724459619692,31414,False
core25e_S0_positioning_price_basis_15ef99f2490cf1,S0_positioning_price_basis,L0_raw_forward_return,8,-0.0006131842371526835,0.0014289503749113687,1.5752220586888472,31318,False
core25e_S0_positioning_price_basis_1676250de911f4,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,-0.002567486179702594,-0.0009665150052919207,106.150718943756,31357,False
core25e_S0_positioning_price_basis_19ee89b0b1e749,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,-0.004201807851985299,-0.0011512499685210193,1.9380183691260757,31455,False
core25e_S0_positioning_price_basis_1a36e00a52d233,S0_positioning_price_basis,L0_raw_forward_return,8,-0.0034958416774253692,-0.0006427531923115674,2.8636428043774522,31359,False
core25e_S0_positioning_price_basis_1a58942cd0b619,S0_positioning_price_basis,L0_raw_forward_return,8,-0.003539471466567218,-0.0004297890914120352,4.843960914630844,31455,False
core25e_S0_positioning_price_basis_1ad3c1f78c3aba,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,-0.0015781125971542314,0.0001798588404615098,2.0635078159068097,31519,False
core25e_S0_positioning_price_basis_1b59128d4f2d43,S0_positioning_price_basis,L0_raw_forward_return,8,-0.00449418597005451,-0.0018312704864789807,12.503962157395584,31357,False
core25e_S0_positioning_price_basis_1c17ac2db9991f,S0_positioning_price_basis,L1_cross_sectional_relative_return,24,-0.002198206574743103,0.0029177384221087143,17.432925840237765,31519,False
core25e_S0_positioning_price_basis_1df8e2b2ad0aa7,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,-0.0034186295408476126,-0.00047135927217643696,15.081849970412764,31359,False
core25e_S0_positioning_price_basis_20759c6efa7dfa,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,-0.004162793309708218,-0.0017229906064055878,2.3090757046996973,31519,False
core25e_S0_positioning_price_basis_258f9f694fd415,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,-0.004368716782373872,-0.0017765983209153523,3.3834724518031742,31519,False
core25e_S0_positioning_price_basis_26a21410ee3a6b,S0_positioning_price_basis,L0_raw_forward_return,8,-0.0018639959771325958,-4.329875810552111e-05,11.811480729205291,31455,False
core25e_S0_positioning_price_basis_287dccc7c00486,S0_positioning_price_basis,L3_liquidity_tier_relative_return,24,-0.00286708722554576,0.00022028901109882943,2.022859855831159,31519,False
core25e_S0_positioning_price_basis_2b31e9b9f7ee41,S0_positioning_price_basis,L0_raw_forward_return,24,-0.0030031031764194433,0.0013393870825271154,3.9978603877032475,31455,False
