month,hour_count,month_sum,mean_hour,hit_rate,worst_hour,mean_turnover,series,candidate_id
2024-01,744,-0.5651275141700962,-0.0007595799921641078,0.4099462365591398,-0.01823853537326494,0.03931038552115931,raw_10bp,i2_microstructure_lite_113
2024-02,696,0.2200714345790237,0.00031619458991239037,0.6135057471264368,-0.018953261772801936,0.053160919540229896,raw_10bp,i2_microstructure_lite_113
2024-03,744,-0.1943825965923529,-0.00026126693090370017,0.5456989247311828,-0.03301349306677786,0.04606617286057599,raw_10bp,i2_microstructure_lite_113
2024-04,720,0.34325748100713904,0.0004767465013988042,0.5777777777777777,-0.019327076349458256,0.044455629229078614,raw_10bp,i2_microstructure_lite_113
2024-05,744,0.1798871654341522,0.00024178382450826909,0.5658602150537635,-0.015243370751744716,0.055657233148995774,raw_10bp,i2_microstructure_lite_113
2024-06,720,0.16819573300263774,0.00023360518472588575,0.5194444444444445,-0.010626784164532293,0.05925925925925927,raw_10bp,i2_microstructure_lite_113
2024-07,744,0.39464861925094336,0.0005304416925415906,0.5685483870967742,-0.011099231406457931,0.06485215053763442,raw_10bp,i2_microstructure_lite_113
2024-08,744,-0.4987024863214948,-0.0006702990407546973,0.4650537634408602,-0.01860817551888249,0.05320340501792115,raw_10bp,i2_microstructure_lite_113
2024-09,720,-0.4623213085137933,-0.0006421129284913796,0.4736111111111111,-0.01603620800278102,0.05914351851851852,raw_10bp,i2_microstructure_lite_113
2024-10,744,0.23780295372462665,0.00031962762597396055,0.5376344086021505,-0.010862651541159125,0.05981182795698926,raw_10bp,i2_microstructure_lite_113
2024-11,720,-0.1722739249458703,-0.00023926934020259764,0.5097222222222222,-0.03740340702918458,0.04405309758503116,raw_10bp,i2_microstructure_lite_113
2024-12,744,0.09864110544996998,0.00013258213098114245,0.5806451612903226,-0.019623584579563754,0.04214821826844391,raw_10bp,i2_microstructure_lite_113
2025-01,744,-0.23619156993115722,-0.000317461787541878,0.4946236559139785,-0.01767744931279749,0.049695977631085804,raw_10bp,i2_microstructure_lite_113
2025-02,672,-0.1723056691213743,-0.0002564072457163308,0.5074404761904762,-0.019807607089266977,0.04330555011908483,raw_10bp,i2_microstructure_lite_113
2025-03,744,-0.1144677833987179,-0.0001538545475789219,0.48655913978494625,-0.0333860486294224,0.054394435602456444,raw_10bp,i2_microstructure_lite_113
2025-04,720,-0.016325165089721535,-2.267384040239102e-05,0.5319444444444444,-0.013721905225491422,0.05729166666666668,raw_10bp,i2_microstructure_lite_113
2025-05,744,0.48863094197266677,0.0006567620187804661,0.592741935483871,-0.014632957628916237,0.05824372759856631,raw_10bp,i2_microstructure_lite_113
2025-06,720,0.13455870484088808,0.000186887090056789,0.5513888888888889,-0.017699029827819054,0.05648148148148149,raw_10bp,i2_microstructure_lite_113
2025-07,744,-0.08734171484922497,-0.00011739477802315184,0.4771505376344086,-0.0183447079208829,0.0558915770609319,raw_10bp,i2_microstructure_lite_113
2025-08,744,-0.022552218466411925,-3.0312121594639685e-05,0.5228494623655914,-0.011786269705937356,0.05678763440860216,raw_10bp,i2_microstructure_lite_113
2025-09,720,-0.16760973359980028,-0.00023279129666638928,0.5125,-0.011471763515732127,0.04930555555555557,raw_10bp,i2_microstructure_lite_113
2025-10,744,0.41245033474471937,0.0005543687294955905,0.5766129032258065,-0.01715246909691122,0.04472061272598429,raw_10bp,i2_microstructure_lite_113
2025-11,720,0.1404989233068576,0.00019513739348174666,0.6,-0.017329813709237897,0.04421296296296297,raw_10bp,i2_microstructure_lite_113
2025-12,744,-0.08118823023488336,-0.00010912396536946688,0.5416666666666666,-0.017576198371316798,0.05062724014336918,raw_10bp,i2_microstructure_lite_113
2026-01,744,0.007338196709425268,9.863167620195253e-06,0.5456989247311828,-0.015307537092905,0.05387544802867384,raw_10bp,i2_microstructure_lite_113
2026-02,672,-0.20446579683746247,-0.0003042645786271763,0.49107142857142855,-0.017168068783683505,0.07167658730158731,raw_10bp,i2_microstructure_lite_113
2026-03,744,0.10840458958685449,0.0001457050935307184,0.5120967741935484,-0.008221281847262413,0.07728494623655915,raw_10bp,i2_microstructure_lite_113
2026-04,720,0.15723107615966894,0.00021837649466620687,0.5388888888888889,-0.008170778426307885,0.06678240740740742,raw_10bp,i2_microstructure_lite_113
2026-05,440,-0.04372462458900922,-9.937414679320277e-05,0.5181818181818182,-0.02019392001968404,0.054166666666666675,raw_10bp,i2_microstructure_lite_113
2024-01,744,-0.5363696613796923,-0.0007209269642200165,0.5698924731182796,-0.016750246154689497,0.03931038552115931,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-02,696,0.31991141830994063,0.00045964284239933997,0.610632183908046,-0.021646255371865607,0.053160919540229896,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-03,744,-0.1984334686452999,-0.000266711651404973,0.5416666666666666,-0.036656868988697015,0.04606617286057599,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-04,720,0.22143980738873095,0.0003075552880399041,0.5680555555555555,-0.015591894593541999,0.044455629229078614,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-05,744,0.24045797789994125,0.00032319620685475976,0.5779569892473119,-0.01366100763545281,0.055657233148995774,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-06,720,0.15942493446238812,0.00022142352008665018,0.5375,-0.011346816916492922,0.05925925925925927,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-07,744,0.39564285543171446,0.0005317780314942398,0.5618279569892473,-0.013357571509778406,0.06485215053763442,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-08,744,-0.5045560141886151,-0.0006781666857373858,0.48118279569892475,-0.021946689371333847,0.05320340501792115,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-09,720,-0.45306988284629285,-0.0006292637261754067,0.4875,-0.01770905734636033,0.05914351851851852,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-10,744,0.19564701005793084,0.0002629664113681866,0.5456989247311828,-0.012456220967691061,0.05981182795698926,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-11,720,0.15842033514903972,0.00022002824326255516,0.5541666666666667,-0.03077795939267426,0.04405309758503116,residual_vs_funding_10bp,i2_microstructure_lite_113
2024-12,744,0.02893677970554364,3.8893521109601666e-05,0.5887096774193549,-0.019243502584725188,0.04214821826844391,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-01,744,-0.1857393577434067,-0.0002496496743862993,0.5026881720430108,-0.015771085652972888,0.049695977631085804,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-02,672,-0.1884657418269012,-0.00028045497295669825,0.5029761904761905,-0.0208239697413896,0.04330555011908483,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-03,744,-0.0035961407440179127,-4.833522505400421e-06,0.489247311827957,-0.030123371446014794,0.054394435602456444,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-04,720,-0.045981016927772435,-6.386252351079505e-05,0.5333333333333333,-0.01497517000379732,0.05729166666666668,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-05,744,0.4678820753791523,0.0006288737572300434,0.6008064516129032,-0.014898677371726232,0.05824372759856631,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-06,720,0.07124470982775653,9.895098587188407e-05,0.5333333333333333,-0.017149725957088434,0.05648148148148149,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-07,744,0.11856528284770114,0.00015936193931142626,0.5134408602150538,-0.017875177793340444,0.0558915770609319,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-08,744,0.002653882644085769,3.56704656463141e-06,0.5336021505376344,-0.013028599692620076,0.05678763440860216,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-09,720,-0.13801482637834903,-0.0001916872588588181,0.5236111111111111,-0.012812733735263456,0.04930555555555557,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-10,744,0.32679151785985827,0.00043923591110196005,0.5604838709677419,-0.015017963588080975,0.04472061272598429,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-11,720,0.0782986390858425,0.00010874810984144792,0.5736111111111111,-0.01689464621537078,0.04421296296296297,residual_vs_funding_10bp,i2_microstructure_lite_113
2025-12,744,-0.013109188227394772,-1.7619876649724156e-05,0.5456989247311828,-0.01781743174131957,0.05062724014336918,residual_vs_funding_10bp,i2_microstructure_lite_113
2026-01,744,0.02937220751351735,3.947877353967386e-05,0.5658602150537635,-0.014106296631629909,0.05387544802867384,residual_vs_funding_10bp,i2_microstructure_lite_113
2026-02,672,-0.16657367985339547,-0.0002478774997818385,0.5,-0.016867089367175066,0.07167658730158731,residual_vs_funding_10bp,i2_microstructure_lite_113
