candidate_id,object,series,cost_tier,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,mean_turnover,mean_gross_exposure,signal_lag_bars,orientation
i2_microstructure_lite_113,candidate,raw_lag_0_bars,stress_10bp,train_2024,8736,-3.179858557388352e-05,-0.27855560962721965,0.004229953437156481,-0.70359746975824,-0.8582557085828378,0.53125,-0.27779244357344646,-1.2768584745915186,-0.29962616082125526,-0.7288720049187307,-0.03740340702918458,-0.013283446737396221,-0.007179448723612028,0.00024384380725814693,0.005756548548250509,0.051849443193595704,0.45213479476048496,0,1.0
i2_microstructure_lite_113,candidate,raw_lag_0_bars,stress_10bp,validation_2025H1,4296,4.075746559622946e-05,0.35703539862297007,0.004126513899091141,0.9244340028218769,1.1784909648491517,0.5288640595903166,0.17509407220140177,-0.8535547107434449,0.1485122359599209,-0.5777759076023092,-0.0333860486294224,-0.012663239033459353,-0.006775733062445892,0.00019536551591688498,0.005772226706675501,0.053412770901407614,0.4806311247221953,0,1.0
i2_microstructure_lite_113,candidate,raw_lag_0_bars,stress_10bp,recent_oos_2025H2_2026Apr,7248,3.0318249848313334e-05,0.2655878686712248,0.003281606264874936,0.8647084611311462,1.1688734322575383,0.5311810154525386,0.21974667490057503,-0.4423377127527921,0.19812231890925092,-0.36105765787368693,-0.0183447079208829,-0.009866814928091543,-0.005181643974280159,0.00018289011272889724,0.004623526013150156,0.056938300570474484,0.49651042845243704,0,1.0
i2_microstructure_lite_113,candidate,raw_lag_0_bars,stress_10bp,fresh_forward_2026May,392,-5.683649377056145e-05,-0.4978876854301183,0.0031680858988968295,-1.6791225078818306,-1.9322915196995876,0.5229591836734694,-0.022279905558060087,-0.2721541224180701,-0.023956371528310094,-0.23920705551860355,-0.02019392001968404,-0.01042678542151149,-0.004875944065115591,0.0001764298728518619,0.004645303304902925,0.05357142857142858,0.5,0,1.0
i2_microstructure_lite_113,candidate,raw_lag_1_bars,stress_10bp,train_2024,8736,-2.5965044377610225e-05,-0.22745378874786557,0.0042103987047159746,-0.5771888047801081,-0.7078970954497126,0.5278159340659341,-0.22683062768280293,-1.2083609690463524,-0.26246892811044686,-0.7095324594044063,-0.03561544166077703,-0.013110643417776433,-0.007089618073386445,0.00023231529066937982,0.0058512859584270265,0.051978439140297684,0.45325413946708093,1,1.0
i2_microstructure_lite_113,candidate,raw_lag_1_bars,stress_10bp,validation_2025H1,4296,4.969016964101139e-05,0.43528588605525975,0.0041252174208406414,1.1273939226910208,1.4084847166510488,0.5358472998137802,0.21346896877778493,-0.862119908431383,0.19345237717076635,-0.5815323914861639,-0.036110080160860994,-0.012809990950911452,-0.006632410876335736,0.0002785569145943302,0.005777115392075504,0.05344231648843874,0.4811910075348343,1,1.0
i2_microstructure_lite_113,candidate,raw_lag_1_bars,stress_10bp,recent_oos_2025H2_2026Apr,7248,3.0141595515336772e-05,0.2640403767143501,0.003250875926099437,0.8677965040336367,1.178353425109764,0.5296633554083885,0.21846628429516093,-0.4459163395508256,0.1974591370083838,-0.3618057913881011,-0.018730513048329896,-0.009577460647875983,-0.005153498002995724,0.000175768247376188,0.004556523596157323,0.0570065940508761,0.49707675957352865,1,1.0
i2_microstructure_lite_113,candidate,raw_lag_1_bars,stress_10bp,fresh_forward_2026May,392,-0.00011858859762210222,-1.0388361151696155,0.003428925766214806,-3.2369567995536297,-3.384337317088249,0.5178571428571429,-0.04648673026786407,-0.2971067667240371,-0.04762828557922261,-0.2582247342569619,-0.02500345980316189,-0.011335244343872418,-0.0050538868971219675,0.00014913047649545196,0.004237658236182869,0.05357142857142858,0.5,1,1.0
i2_microstructure_lite_113,candidate,raw_lag_2_bars,stress_10bp,train_2024,8736,-1.3523236484935734e-05,-0.11846355160803702,0.004198241854083116,-0.30148467552635205,-0.3717392644343466,0.5296474358974359,-0.11813899393239857,-1.162061275012088,-0.17741585543414962,-0.6957275771152183,-0.03954154072549276,-0.012847368731037092,-0.007125759864928505,0.0002719054514049797,0.005830589439062621,0.05205238097335919,0.4538948937717483,2,1.0
i2_microstructure_lite_113,candidate,raw_lag_2_bars,stress_10bp,validation_2025H1,4296,4.129517216475194e-05,0.361745708163227,0.0041320056819818245,0.9353850493380117,1.1437599159966658,0.5339851024208566,0.17740405961977435,-0.8773549133093146,0.15102349010552563,-0.5880130752536661,-0.036110080160860994,-0.01289980740479304,-0.006548022544280229,0.00025046217018499664,0.005668876455066317,0.0532059295709412,0.47966205848569443,2,1.0
i2_microstructure_lite_113,candidate,raw_lag_2_bars,stress_10bp,recent_oos_2025H2_2026Apr,7248,2.562560391376008e-05,0.2244802902845383,0.003219099169302844,0.7450609575019073,1.0048981206121745,0.5303532008830022,0.18573437716693306,-0.4400024299967994,0.15975310604971305,-0.3627558810702973,-0.018730513048329896,-0.00949858524013034,-0.005148265067648693,0.00018225101092676636,0.004506935016724701,0.05707298326612439,0.49774050510279205,2,1.0
i2_microstructure_lite_113,candidate,raw_lag_2_bars,stress_10bp,fresh_forward_2026May,392,-0.00021426178813997905,-1.8769332641062164,0.0036836260963908148,-5.4440391170667395,-5.391578137536006,0.5102040816326531,-0.08399062095087179,-0.32033608745776915,-0.0830207294774914,-0.2755211182293015,-0.025086793136495224,-0.014295912729337522,-0.004974712938598342,7.909735259786942e-05,0.0041874948725392205,0.05335884353741498,0.5,2,1.0
i2_microstructure_lite_113,candidate,raw_lag_3_bars,stress_10bp,train_2024,8736,5.719024485682006e-07,0.005009865449457437,0.004199388710280288,0.012746411434009437,0.0158088728491962,0.5306776556776557,0.0049961397906918,-1.0950499294056493,-0.06965959392613308,-0.674654819542251,-0.03561544166077703,-0.012643247434529463,-0.007095763134010022,0.0002554472777334563,0.005927039774798431,0.05213032588961339,0.4546431918678476,3,1.0
i2_microstructure_lite_113,candidate,raw_lag_3_bars,stress_10bp,validation_2025H1,4296,4.339896602864392e-05,0.38017494241092076,0.004151506104199575,0.9784209762511982,1.1802134330492806,0.5421322160148976,0.18644195805905428,-0.8913997348221991,0.16105690674201045,-0.5939195305154531,-0.036110080160860994,-0.012870207525629266,-0.006416988766779183,0.0003454464640575264,0.005684419464863574,0.05291556816509788,0.4773240558162288,3,1.0
i2_microstructure_lite_113,candidate,raw_lag_3_bars,stress_10bp,recent_oos_2025H2_2026Apr,7248,3.507354747807155e-05,0.3072442759079068,0.003182286784067175,1.031555104055839,1.3894420838197508,0.5328366445916115,0.2542130721210626,-0.4310537070581446,0.24299904561495467,-0.3573950664786405,-0.01881384638166323,-0.009563227130285233,-0.005104879218451791,0.00020906844071407493,0.004509373331885154,0.05714313658628061,0.498558595684722,3,1.0
i2_microstructure_lite_113,candidate,raw_lag_3_bars,stress_10bp,fresh_forward_2026May,392,-0.00029398379256313225,-2.5752980228530387,0.0038480849973919298,-7.150407371994957,-6.870897654104906,0.5051020408163265,-0.11524164668474784,-0.3414461369362449,-0.11146056501229784,-0.2908524338980436,-0.02838212064758779,-0.017930757752693875,-0.005507410325771978,3.547930033436513e-05,0.0042927643929136115,0.05314625850340138,0.5,3,1.0
i2_microstructure_lite_113,candidate,raw_lag_6_bars,stress_10bp,train_2024,8736,3.142153741909292e-06,0.0275252667791254,0.004189461681886119,0.07019743788656198,0.08855366612011378,0.5350274725274725,0.027449855089319575,-0.9770188430003143,-0.04816304590579845,-0.6262409066450981,-0.03673702243596378,-0.012235870909634808,-0.007144006138572675,0.00031087825250441733,0.005966366541097966,0.052626438375048434,0.4588584472046002,6,1.0
i2_microstructure_lite_113,candidate,raw_lag_6_bars,stress_10bp,validation_2025H1,4296,2.2558639840249383e-05,0.1976136850005846,0.00416639482970193,0.5067625817634263,0.596331596358858,0.5307262569832403,0.09691191675371136,-1.0239517579966795,0.06130677589790956,-0.6461958035409741,-0.03555263910790493,-0.012035460815348746,-0.006300872856397798,0.00026948766668565243,0.005533570811873023,0.052494838544267855,0.47408247703119416,6,1.0
