timestamp,funding_abs_mean,funding_mean,funding_dispersion,funding_positive_share,funding_negative_share,funding_persistence_abs_mean,basis_abs_mean,basis_minus_abs_mean,vol_ret12_abs_mean,vol_hl_mean,funding_abs_mean_bucket,funding_dispersion_bucket,funding_positive_share_bucket,funding_negative_share_bucket,funding_persistence_abs_mean_bucket,basis_abs_mean_bucket,basis_minus_abs_mean_bucket,vol_ret12_abs_mean_bucket,vol_hl_mean_bucket
2024-01-01 00:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0008342840748416791,2.4765019316667343,,0.009678343180738248,high,high,high,mid,high,high,mid,missing,mid
2024-01-01 01:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0009362679246164851,3.065879554166427,,0.01190430443502147,high,high,high,mid,high,high,high,missing,mid
2024-01-01 02:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0008260771102089429,3.5025799574999508,,0.008620600084648097,high,high,high,mid,high,high,high,missing,low
2024-01-01 03:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0008253491671334304,3.1358441483331956,,0.012624971976436153,high,high,high,mid,high,high,high,missing,mid
2024-01-01 04:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0008000409066155808,3.077909699166998,,0.01268096370172364,high,high,high,mid,high,high,high,missing,mid
2024-01-01 05:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0008538455044615941,3.1654557866669024,,0.009074429290263681,high,high,high,mid,high,high,high,missing,mid
2024-01-01 06:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0006367218553508802,2.453336808333329,,0.00963742274319706,high,high,high,mid,high,high,mid,missing,mid
2024-01-01 07:00:00+00:00,0.0002956491666666667,0.00010304083333333332,0.00038773629860723493,0.9166666666666666,0.08333333333333333,1.0,0.0007411374115408228,2.661108020833368,,0.010046666649162003,high,high,high,mid,high,high,mid,missing,mid
2024-01-01 08:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.0008586619797425384,3.3307407350004117,,0.0067344709504799155,high,high,high,mid,high,high,high,missing,low
2024-01-01 09:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.0009318976319569091,3.3868995516662572,,0.009878308083791617,high,high,high,mid,high,high,high,missing,mid
2024-01-01 10:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.0009154338154584071,3.217366630832791,,0.005880136097932648,high,high,high,mid,high,high,high,missing,low
2024-01-01 11:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.0009682055725843686,3.3680625100000214,,0.006689527761383814,high,high,high,mid,high,high,high,missing,low
2024-01-01 12:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.0008311321767587218,2.88269982916697,0.008989054455661477,0.007663238080675473,high,high,high,mid,high,high,high,low,low
2024-01-01 13:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.0009129698877327527,3.2928386816664603,0.006180009641833795,0.007631702639319682,high,high,high,mid,high,high,high,low,low
2024-01-01 14:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.0009148533583870725,2.8322777691662195,0.006614576666305401,0.0076172786891778215,high,high,high,mid,high,high,high,low,low
2024-01-01 15:00:00+00:00,0.0002313733333333333,0.000158065,0.00019981209775269695,0.9166666666666666,0.08333333333333333,1.0,0.000681895066146058,2.9687027033334163,0.02255997392225308,0.013129225403385944,high,high,high,mid,high,high,high,high,mid
2024-01-01 16:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0008409072278565966,2.823526104167001,0.02544292654529597,0.011051370778735836,high,high,high,mid,high,high,high,high,mid
2024-01-01 17:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0009587639857389548,2.957290072500122,0.031815885011790314,0.006724344529538015,high,high,high,mid,high,high,high,high,low
2024-01-01 18:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0008370596873820321,3.1279785000000544,0.02906812631050737,0.010833829152331526,high,high,high,mid,high,high,high,high,mid
2024-01-01 19:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0007966066702304967,3.426890666666404,0.031078071111700117,0.010148715656058052,high,high,high,mid,high,high,high,high,mid
2024-01-01 20:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0010432232827873034,5.344603649166543,0.030471850185644134,0.008532514897945395,high,high,high,mid,high,high,high,high,low
2024-01-01 21:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0011724695948645465,5.053708353333505,0.02511257281950228,0.006981969224209156,high,high,high,mid,high,high,high,high,low
2024-01-01 22:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0012043584742892077,5.047196218333675,0.02450503015939202,0.008379004480704033,high,high,high,mid,high,high,high,high,low
2024-01-01 23:00:00+00:00,0.0003508183333333333,0.00031526,0.00020598626855529312,0.9166666666666666,0.08333333333333333,1.0,0.0008760653881489666,4.763580832500078,0.031694688747960685,0.010140763727673233,high,high,high,mid,high,high,high,high,mid
2024-01-02 00:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0012847726400484853,7.015087949166305,0.04389923875375409,0.017865606151205877,high,high,high,mid,high,high,high,high,high
2024-01-02 01:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0014592655037343565,6.189899346666899,0.0403335433001917,0.01600361026394601,high,high,high,mid,high,high,high,high,high
2024-01-02 02:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0009935161326258546,3.5349051783332954,0.046035476120375694,0.008259864721180173,high,high,high,mid,high,high,high,high,low
2024-01-02 03:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0008337138637435071,2.108311245833638,0.036654359301920014,0.010071780040353891,high,high,high,mid,high,high,mid,high,mid
2024-01-02 04:00:00+00:00,0.0005013691666666667,0.0004940558333333334,0.00019443027668285674,0.9166666666666666,0.08333333333333333,1.0,0.0007805263076155108,2.6910241933331576,0.04117862486128813,0.011625747340885012,high,high,high,mid,high,high,mid,high,mid
