a7ls20_rank,a7ls19_rank,blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok,cost2_recent_oriented,cost5_recent_oriented,cost10_recent_oriented,avg_n_obs_recent,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,non_l7_bonus,score_no_may,skeleton_key,finite_share,nonzero_share,shard_id,lag_ok_bool,robust_ok_bool,premay_all_positive_bool,is_l7,is_placebo,is_low_prior,contains_basis_premium,contains_basis_premium_like,contains_price_like,contains_liquidity_like,contains_volatility_like,contains_positioning_like,contains_open_interest_like,contains_taker_flow_like,contains_funding_state_like,contains_listing_age_like,contains_regime_state,strict_non_l7,strong_non_l7,arbitration_score,a7ls19_reject_reason,a7ls19_decision,is_l5,split_mean_floor,split_mean_median,split_tstat_floor,split_tstat_median,split_nonoverlap_floor,split_positive_rate_floor,split_positive_rate_median,cost_floor,control_margin,non_l5_bonus,non_basis_bonus,a7ls20_deep_score,a7ls20_decision
37,120,a7ls15_c61a2e9324cce6db,"Mul(Mul(Delta(realized_vol_72h,168),ZScore(Mean(liquidity_rank_active_universe,168))),Delta(market_breadth_state,24))",volatility_like|liquidity_rank_active_universe|regime_state,seed_mul,L3_liquidity_tier_relative_return,24,-1.0,3,True,0.8848497432546283,0.0059568662718283,True,0.6994079248795816,1.7264724689055122,True,0.0056356924075048,0.0050356924075048,0.0040356924075048,92.8,A7LS18a7ls18_s044_NUMERIC_CLUE,356,-0.0005450887629176,-0.7567268483396756,-0.0388101888346619,-3.789008825987509,0.4691011235955056,441,-0.0025547456303762,-4.702541886865484,-0.6994079248795816,-3.290461310058799,0.4058956916099773,500,-0.0036697093191366,-4.984543374028403,-1.0347069004844305,-2.3578670494964906,0.444,396,-0.0060356924075048,-3.996942760403105,-0.737943098170905,-1.7264724689055122,0.452020202020202,1.0,11.150842664250185,skel_0502920317c04faa,0.7790864694053433,0.6438053097345132,a7ls18_s044,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,58.05985806897248,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,-0.0060356924075048,-0.0031122274747564,-4.984543374028403,-4.349742323634295,-3.789008825987509,0.4058956916099773,0.4480101010101009,0.0040356924075048,0.1151502567453717,1.0,1.0,196.9355912816335,A7LS20_MARGINAL_QUEUE
38,119,a7ls15_2d95ff5c78595504,"SafeDiv(Clip(ZScore(open_interest_mean),-3,3),Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,336))))",open_interest_like|taker_flow_like,safe_div_abs,L3_liquidity_tier_relative_return,24,-1.0,3,True,0.8670409053739567,0.0052514825805158,True,0.9780424476010826,1.5500260253695908,True,0.0048341378710069,0.0042341378710069,0.0032341378710069,92.8,A7LS18a7ls18_s119_NUMERIC_CLUE,673,-0.0010867236011288,-1.791861612533855,-0.3820073016718279,-1.1237847984436635,0.5052005943536404,696,-0.0037416668471245,-11.212859387261782,-2.143639885054501,-3.064636822572106,0.3318965517241379,696,-0.0027429001449068,-5.046678772163611,-1.0173083249592885,-1.5836048943500172,0.4497126436781609,696,-0.0052341378710069,-5.0517351687822,-0.9780424476010826,-1.5500260253695908,0.5158045977011494,1.0,10.367096965633008,skel_834ae9e41baf8417,0.9933927032461936,1.0,a7ls18_s119,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,58.344642643195606,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,-0.0052341378710069,-0.0032422834960156,-11.212859387261782,-5.0492069704729055,-3.064636822572106,0.3318965517241379,0.4774566190159006,0.0032341378710069,0.1329590946260432,1.0,1.0,193.26535266465615,A7LS20_MARGINAL_QUEUE
39,106,a7ls15_81fdc57942461f08,"Mul(Delta(TSRank(funding_rate_delta_state_24h,48),4),ZScore(ZScore(Mean(open_interest_mean,6))))",funding_state_like|open_interest_like,relative_shock,L3_liquidity_tier_relative_return,24,-1.0,3,True,0.7607067746554933,0.0023636507208852,True,0.2115641851902438,1.1774693803237075,True,0.0020367708493116,0.0014367708493116,0.0004367708493116,92.8,A7LS18a7ls18_s056_NUMERIC_CLUE,669,-0.0011585644126728,-1.828723628277092,-0.2789115229342712,-3.234751518982232,0.4170403587443946,696,-0.000561406784752,-1.2132555973183938,-0.2115641851902438,-1.1774693803237075,0.4827586206896552,696,-0.0006698113361122,-1.4561835939649117,-0.235053733828913,-2.884210813372699,0.4410919540229885,696,-0.0024367708493116,-2.53013106391003,-0.2131795708828694,-2.629277109125939,0.4612068965517241,1.0,7.676064074656161,skel_f89a6e67ef647a58,0.8202504069711769,0.8317305587578618,a7ls18_s056,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,212.03365759532656,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,-0.0024367708493116,-0.0009141878743924,-2.53013106391003,-1.642453611121002,-3.234751518982232,0.4170403587443946,0.4511494252873563,0.0004367708493116,0.2392932253445067,1.0,1.0,191.75546626501105,A7LS20_MARGINAL_QUEUE
40,99,a7ls15_fda4be0acb183aa9,"Mul(Delta(Mul(Delta(realized_vol_168h,336),ZScore(Mean(liquidity_rank_active_universe,336))),4),ZScore(Mean(stress_proxy_state,72)))",volatility_like|liquidity_rank_active_universe|regime_state,seed_relative_shock,L3_liquidity_tier_relative_return,24,1.0,3,True,0.6185803663377448,0.0061422806483522,True,0.7599223782398131,-1.5886133351986629,True,0.0054662921451652,0.0048662921451652,0.0038662921451652,50.8,A7LS18a7ls18_s044_NUMERIC_CLUE,189,0.0006343181502,0.564719922985632,0.1963419059552418,-2.6537825446383976,0.5185185185185185,200,0.0041972106358815,6.466304942935638,1.2429196389906076,-0.543863290782777,0.695,220,0.0018803349019121,2.3939687081650685,0.7599223782398131,-1.5886133351986629,0.5590909090909091,381,0.0058662921451652,4.093749320150017,0.9725199094224156,-0.8295258080150042,0.5984251968503937,1.0,11.247711778827483,skel_c017fb36d8da95ae,0.2979029014650962,1.0,a7ls18_s044,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,224.1328897985628,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,0.0006343181502,0.0030387727688968,0.564719922985632,3.2438590141575423,-2.6537825446383976,0.5185185185185185,0.5787580529706514,0.0038662921451652,0.3814196336622552,1.0,1.0,185.7938980853864,A7LS20_MARGINAL_QUEUE
41,100,a7ls15_f93f4cd8598c1688,"Mul(Decay(open_interest_last,336),Sign(Mean(ZScore(Mean(top_long_short_position_ratio_mean,2)),24)))",open_interest_like|positioning_like,state_gate,L1_cross_sectional_relative_return,24,1.0,3,True,0.5908587282381406,0.0036247980343207,True,1.0409038213376356,-0.1324856311134195,True,0.0032107890863532,0.0026107890863532,0.0016107890863532,92.8,A7LS18a7ls18_s114_NUMERIC_CLUE,672,0.0038628982547303,5.558363479227462,1.1706541694094552,0.443933978100296,0.5357142857142857,696,0.0015943249688935,3.7612048972029752,1.0409038213376356,-0.1324856311134195,0.5502873563218391,696,0.0042994327953963,10.939924288960244,2.254841573078478,1.5200989826321327,0.6681034482758621,696,0.0036107890863532,7.271666727204311,1.606575237288159,0.49811541522982,0.5646551724137931,1.0,9.019930358115154,skel_4b7f5aabd80a7296,0.993105429474289,1.0,a7ls18_s114,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,223.56840666382675,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,0.0015943249688935,0.0037368436705417,3.7612048972029752,6.415015103215886,-0.1324856311134195,0.5357142857142857,0.5574712643678161,0.0016107890863532,0.4091412717618594,1.0,1.0,185.0097169230111,A7LS20_MARGINAL_QUEUE
42,101,a7ls15_32b786bf6c2f3ba1,"Mul(Abs(ZScore(Mean(open_interest_mean,2))),Mean(taker_buy_sell_volume_ratio_last,4))",open_interest_like|taker_flow_like,mul,L0_raw_forward_return,24,1.0,3,True,0.6030115560909897,0.0039800474911983,True,0.5801290101954238,-1.1154201115821267,True,0.003554363486233,0.002954363486233,0.001954363486233,92.8,A7LS18a7ls18_s118_NUMERIC_CLUE,693,0.0006853558169651,1.1918021898607565,0.3140666197733291,-1.609695051340524,0.5310245310245311,696,0.000732819796842,1.952375806820116,0.5801290101954238,-1.1154201115821267,0.5344827586206896,696,0.0017603099617845,3.785120337784403,0.6810590631668072,-0.4299670861453833,0.5502873563218391,696,0.003954363486233,5.299271399531772,1.0691922556891609,-0.865693028994126,0.5086206896551724,1.0,9.351351930142055,skel_977fab637a7d4823,0.999138178684286,1.0,a7ls18_s118,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,223.1706585646827,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,0.0006853558169651,0.0012465648793132,1.1918021898607565,2.86874807230226,-1.609695051340524,0.5086206896551724,0.5327536448226103,0.001954363486233,0.3969884439090103,1.0,1.0,184.16116118969927,A7LS20_MARGINAL_QUEUE
43,118,a7ls15_8830a89babfbc15d,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,72))),Sign(Mean(Mean(leverage_crowding_state,336),24)))",taker_flow_like|regime_state,state_gate,L1_cross_sectional_relative_return,24,-1.0,3,True,0.8386998012129977,0.0037769846880199,True,0.4690242724616049,1.0841807301917463,True,0.00386979804486,0.00326979804486,0.00226979804486,92.8,A7LS18a7ls18_s091_NUMERIC_CLUE,650,-0.0002585729336759,-0.4710530149758694,-0.0132612238121371,-1.54987318051795,0.4815384615384615,696,-0.0014108937332292,-2.749191157505453,-0.4690242724616049,-1.1719939790058236,0.4640804597701149,696,-0.0022245002898128,-3.6449073511083423,-0.8166058346019907,-1.0841807301917463,0.4339080459770115,696,-0.00426979804486,-3.8416742942127167,-0.8604712130109351,-1.3750762996309307,0.4899425287356322,1.0,9.431098243647032,skel_f5c01f6f6c088fd7,0.9037632864119506,1.0,a7ls18_s091,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,59.10911017086717,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,-0.00426979804486,-0.001817697011521,-3.8416742942127167,-3.1970492543068976,-1.54987318051795,0.4339080459770115,0.4728094606542882,0.00226979804486,0.1613001987870023,1.0,1.0,183.15963478171693,A7LS20_MARGINAL_QUEUE
44,103,a7ls15_2ea731d575cf1f68,"Mul(Delta(Abs(ZScore(Mean(age_x_volatility,336))),4),ZScore(Decay(trade_volume,16)))",listing_age_like|liquidity_like,relative_shock,L0_raw_forward_return,8,1.0,3,True,0.765698553608045,0.0046428193892114,True,0.8522471742981773,0.6371636445217592,True,0.0048075882014094,0.0042075882014094,0.0032075882014094,94.93333333333334,A7LS18a7ls18_s102_NUMERIC_CLUE,685,8.031916166297752e-05,0.1562082641770865,-0.0191958386126892,-0.1836445473082174,0.5109489051094891,712,0.0014523376497037,4.298941718420089,1.529864553877406,1.150117515141545,0.5547752808988764,712,0.0009922048251369,2.450067376727197,0.8522471742981773,0.6371636445217592,0.5463483146067416,712,0.0052075882014094,6.475557626580491,2.304480307143225,2.062471656311691,0.6474719101123596,1.0,10.441889647801414,skel_43237bd24e4079e9,0.9092214880781384,1.0,a7ls18_s102,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,214.49997643131871,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,8.031916166297752e-05,0.0012222712374203,0.1562082641770865,3.3745045475736437,-0.1836445473082174,0.5109489051094891,0.550561797752809,0.0032075882014094,0.234301446391955,1.0,1.0,182.4837942453481,A7LS20_MARGINAL_QUEUE
45,121,a7ls15_6d1c3e20633d7d88,"Mean(Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_last,48))),Mean(sqrt_listing_age_days,168)),4)",taker_flow_like|listing_age_like,smooth_mul,L0_raw_forward_return,24,-1.0,3,True,0.8378189991764181,0.0022938009899605,True,0.5137859289088504,1.0997616566270336,True,0.0017946666730451,0.0011946666730451,0.0001946666730451,92.8,A7LS18a7ls18_s090_NUMERIC_CLUE,670,-0.0006432672031074,-1.1330275316721905,-0.2256890102888665,-1.2827263632432602,0.5014925373134328,696,-0.0013423154975566,-2.9167621872994114,-0.7380510707550805,-1.5724583487291732,0.4410919540229885,696,-0.0025319549814643,-3.910810060102959,-1.1461569523375157,-1.7629701544597784,0.4382183908045977,696,-0.0021946666730451,-2.01670590674779,-0.5137859289088504,-1.0997616566270336,0.425287356321839,1.0,7.356847673868714,skel_9da5f904b499ace3,0.8612467681700661,1.0,a7ls18_s090,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,57.08770772328363,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,-0.0025319549814643,-0.0017684910853008,-3.910810060102959,-2.4667340470236008,-1.7629701544597784,0.425287356321839,0.4396551724137931,0.0001946666730451,0.1621810008235819,1.0,1.0,180.09808282188507,A7LS20_MARGINAL_QUEUE
46,123,a7ls15_b22141240b8d5ddd,"Mul(ZScore(Mean(funding_rate_update_age_hours,96)),Delta(global_long_short_account_ratio_mean,8))",funding_state_like|positioning_like,mul,L1_cross_sectional_relative_return,4,-1.0,3,True,0.8877553365032449,0.0016185142184862,True,0.7465767880078135,1.217490655071959,True,0.0016375802901841,0.0010375802901841,3.7580290184100005e-05,95.46666666666668,A7LS18a7ls18_s057_NUMERIC_CLUE,693,-0.0007729463964267,-2.3814748220856896,-1.1576548687997752,-1.444066850628514,0.4877344877344877,716,-0.0003167251142035,-1.2458841581892928,-0.7465767880078135,-1.217490655071959,0.4916201117318435,716,-0.0007837493999446,-2.6481674235813464,-1.3505002285854295,-1.822759669858979,0.4874301675977653,716,-0.0020375802901841,-3.925041406265029,-1.9430665455371847,-2.2076075602736323,0.4776536312849162,1.0,7.149824953680855,skel_eaa129218e1e1a2f,0.8418049171693958,1.0,a7ls18_s057,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,53.88450476348616,strict_non_l7_eligible,A7LS19_CHECKPOINT_QUEUE,False,-0.0020375802901841,-0.0007783478981856,-3.925041406265029,-2.514821122833518,-2.2076075602736323,0.4776536312849162,0.4875823276661265,3.7580290184100005e-05,0.1122446634967551,1.0,1.0,176.56079536072835,A7LS20_MARGINAL_QUEUE
