field_name,semantic_type,compiler_role,new_factor_role,transition_reason,primitive_candidate_count,non_l7_candidate_count,median_control_ratio
funding_rate,rate_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,15.798999611006106
global_long_short_account_ratio_last,positioning_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,9.716535362620746
global_long_short_account_ratio_mean,positioning_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
index_close,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
mark_close,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
mark_high,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
mark_index_basis_bps,basis_premium_like,signal_seed_candidate,promote_to_signal_candidate,non_l7_control_clean_response_backed,2.0,2.0,2.339170430606111
mark_low,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
mark_trade_basis_bps,basis_premium_like,regime_or_diagnostic_input,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,1.1358572797552002
open_interest_last,positioning_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,3.6893539343595823
open_interest_mean,positioning_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
open_interest_value_last,positioning_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,5.331552389433068
open_interest_value_mean,positioning_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
premium_close,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
premium_close_bps,basis_premium_like,regime_or_diagnostic_input,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,1.0,0.0,2.6678932430562994
taker_buy_quote_volume,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
taker_buy_sell_volume_ratio_last,positioning_like,regime_or_diagnostic_input,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,16.893102322209486
taker_buy_sell_volume_ratio_mean,positioning_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
top_long_short_account_ratio_last,positioning_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,7.540066437546434
top_long_short_account_ratio_mean,positioning_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
top_long_short_position_ratio_last,positioning_like,risk_exposure_or_neutralizer,promote_to_regime_or_interaction_input,allowed_pair_policy_but_no_standalone_alpha,0.0,0.0,6.873736456863566
top_long_short_position_ratio_mean,positioning_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
trade_close,price_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
trade_count,liquidity_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,18.05102651364294
trade_high,volatility_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
trade_low,volatility_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
trade_quote_volume,liquidity_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,10.695125267480597
trade_volume,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
age_percentile_active_universe,categorical_state,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
age_x_funding_abs,rate_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
age_x_liquidity,liquidity_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
age_x_volatility,volatility_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
basis_abs_168h,basis_premium_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,14.305567022117325
execution_time,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
feature_available_time,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
forward_trade_return_1h,price_like,forbidden_label_or_future,forbidden,label_or_future,,,
funding_interval_hours,rate_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
funding_rate_abs_168h,rate_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,3.1178621075969533
funding_rate_mean_168h,rate_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,2.8450274558994115
gap_hours_recent_168h,generic_numeric,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
history_length_hours,generic_numeric,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
index_count,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
index_high,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
index_low,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
index_open,basis_premium_like,regime_or_diagnostic_input,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
is_forward_only,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
is_historical_backfill,generic_numeric,forbidden_or_unlicensed,weak_response_hold,insufficient_non_l7_control_clean_evidence,,,
kline_taker_buy_quote_share,categorical_state,regime_or_diagnostic_input,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,5.851936831970822
liquidity_rank_active_universe,liquidity_like,forbidden_or_unlicensed,demote_to_control_like,median_control_ratio_ge_1,0.0,0.0,5.219983615818481
