cell_id,candidate_decision,count
C0128,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0128,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0128,A7O_PILOT_REJECTED,1
C0129,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0129,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0130,A7O_PILOT_REJECTED,3
C0131,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0132,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0133,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0133,A7O_PILOT_REJECTED,1
C0133,A7O_PILOT_RESEARCH_CANDIDATE,1
C0134,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0135,A7O_PILOT_REJECTED,3
C0136,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0136,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0136,A7O_PILOT_REJECTED,1
C0137,A7O_PILOT_REJECTED,2
C0137,A7O_PILOT_RESEARCH_CANDIDATE,1
C0138,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0138,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0138,A7O_PILOT_RESEARCH_CANDIDATE,1
C0139,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0139,A7O_PILOT_REJECTED,2
C0140,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0141,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0141,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0142,NEGATIVE_CONTROL,3
C0143,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0144,NEGATIVE_CONTROL,3
C0145,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0146,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0147,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0147,A7O_PILOT_RESEARCH_CANDIDATE,1
C0148,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0149,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0149,A7O_PILOT_REJECTED,2
C0150,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0151,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0152,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0152,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0152,A7O_PILOT_REJECTED,1
C0153,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0153,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0153,A7O_PILOT_RESEARCH_CANDIDATE,1
C0154,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0154,A7O_PILOT_REJECTED,2
C0155,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0155,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0155,A7O_PILOT_REJECTED,1
C0156,NEGATIVE_CONTROL,3
C0157,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0157,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0157,A7O_PILOT_REJECTED,1
C0158,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0158,A7O_PILOT_REJECTED,2
C0159,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0160,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0161,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0161,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0162,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0163,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0163,A7O_PILOT_REJECTED,2
C0164,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0164,A7O_PILOT_RESEARCH_CANDIDATE,1
C0165,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0166,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0167,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0168,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0169,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0169,A7O_PILOT_RESEARCH_CANDIDATE,2
C0170,A7O_PILOT_PRE_MAY_NEAR_MISS,3
C0171,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0172,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0173,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0173,A7O_PILOT_REJECTED,1
C0174,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0174,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0175,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0175,A7O_PILOT_REJECTED,2
C0176,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0176,A7O_PILOT_REJECTED,1
C0177,A7O_PILOT_PRE_MAY_NEAR_MISS,3
C0178,A7O_PILOT_REJECTED,3
C0179,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0179,A7O_PILOT_REJECTED,1
C0180,A7O_PILOT_REJECTED,3
C0181,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0181,A7O_PILOT_REJECTED,2
C0182,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0182,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0182,A7O_PILOT_REJECTED,1
C0183,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0184,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0184,A7O_PILOT_REJECTED,1
C0185,NEGATIVE_CONTROL,3
C0186,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0187,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0188,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0188,A7O_PILOT_REJECTED,2
C0189,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0189,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0190,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0190,A7O_PILOT_REJECTED,2
C0191,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
