feature,value,n,raw_survive_rate,raw_survive_smoothed,residual_survive_rate,residual_survive_smoothed,cost20_survive_rate,cost20_survive_smoothed,lag1_survive_rate,lag1_survive_smoothed,near_miss_rate,near_miss_smoothed,research_candidate_rate,research_candidate_smoothed
family,basis_premium,500,0.004,0.008462,0.392,0.397094,0.208,0.203573,0.212,0.209949,0.0,0.002137,0.0,1.7e-05
family,basis_premium_clean,250,0.1,0.101481,0.388,0.398107,0.012,0.017992,0.088,0.093235,0.012,0.015226,0.0,3.3e-05
family,flow_liquidity,500,0.136,0.135385,0.496,0.497094,0.048,0.049726,0.128,0.129179,0.116,0.113675,0.0,1.7e-05
family,flow_liquidity_clean,250,0.288,0.275556,0.548,0.546255,0.132,0.129103,0.28,0.271012,0.112,0.107819,0.0,3.3e-05
family,microstructure_lite,500,0.04,0.043077,0.676,0.670171,0.01,0.013188,0.032,0.036872,0.006,0.007906,0.002,0.00194
family,microstructure_lite_latency_robust,250,0.332,0.316296,0.656,0.646255,0.16,0.155029,0.316,0.304346,0.132,0.126337,0.0,3.3e-05
arm,I0_basis_premium,500,0.004,0.008462,0.392,0.397094,0.208,0.203573,0.212,0.209949,0.0,0.002137,0.0,1.7e-05
arm,I1_flow_liquidity,500,0.136,0.135385,0.496,0.497094,0.048,0.049726,0.128,0.129179,0.116,0.113675,0.0,1.7e-05
arm,I2_microstructure_lite,500,0.04,0.043077,0.676,0.670171,0.01,0.013188,0.032,0.036872,0.006,0.007906,0.002,0.00194
arm,K0_basis_premium_clean,250,0.1,0.101481,0.388,0.398107,0.012,0.017992,0.088,0.093235,0.012,0.015226,0.0,3.3e-05
arm,K1_flow_liquidity_clean,250,0.288,0.275556,0.548,0.546255,0.132,0.129103,0.28,0.271012,0.112,0.107819,0.0,3.3e-05
arm,K2_microstructure_lite_latency_robust,250,0.332,0.316296,0.656,0.646255,0.16,0.155029,0.316,0.304346,0.132,0.126337,0.0,3.3e-05
field_family_signature,basis,96,0.0,0.02069,0.083333,0.159387,0.4375,0.378084,0.4375,0.389425,0.0,0.009579,0.0,7.7e-05
field_family_signature,basis;liquidity,60,0.1,0.105,0.2,0.281111,0.016667,0.035722,0.083333,0.102167,0.016667,0.026389,0.0,0.000111
field_family_signature,basis;liquidity;price,72,0.097222,0.102174,0.375,0.407488,0.0,0.020193,0.069444,0.088841,0.0,0.012077,0.0,9.7e-05
field_family_signature,basis;liquidity;volatility,89,0.280899,0.251376,0.516854,0.518247,0.078652,0.081264,0.292135,0.267645,0.033708,0.037717,0.0,8.2e-05
field_family_signature,basis;price,277,0.01083,0.018182,0.375451,0.385484,0.180505,0.174605,0.191336,0.189136,0.0,0.003741,0.0,3e-05
field_family_signature,basis;price;volatility,90,0.011111,0.030909,0.322222,0.35899,0.0,0.016889,0.0,0.028848,0.0,0.010101,0.0,8.1e-05
field_family_signature,basis;volatility,108,0.083333,0.089063,0.537037,0.535069,0.12037,0.116076,0.194444,0.188854,0.009259,0.016493,0.0,6.9e-05
field_family_signature,flow,24,0.0,0.054545,0.5,0.511111,0.0,0.042222,0.0,0.072121,0.0,0.025253,0.0,0.000202
field_family_signature,flow;liquidity,132,0.0,0.015789,0.5,0.503216,0.0,0.012222,0.0,0.020877,0.0,0.00731,0.0,5.8e-05
field_family_signature,flow;price,40,0.0,0.04,0.65,0.608148,0.0,0.030963,0.0,0.052889,0.0,0.018519,0.0,0.000148
field_family_signature,liquidity,192,0.322917,0.303774,0.53125,0.530608,0.125,0.121971,0.3125,0.297987,0.28125,0.259958,0.0,4.2e-05
field_family_signature,liquidity;price,162,0.12963,0.128571,0.450617,0.45873,0.006173,0.015702,0.111111,0.116337,0.030864,0.033578,0.0,4.9e-05
field_family_signature,liquidity;price;volatility,100,0.33,0.295,0.66,0.637407,0.23,0.207148,0.31,0.284778,0.17,0.150926,0.0,7.4e-05
field_family_signature,liquidity;volatility,128,0.601562,0.536486,0.804688,0.766817,0.34375,0.30985,0.609375,0.548468,0.3125,0.277778,0.007812,0.006817
field_family_signature,price,206,0.0,0.010619,0.524272,0.524287,0.0,0.00822,0.0,0.014041,0.0,0.004916,0.0,3.9e-05
field_family_signature,price;volatility,366,0.065574,0.068394,0.699454,0.690386,0.010929,0.015176,0.043716,0.049672,0.008197,0.010651,0.0,2.3e-05
field_family_signature,volatility,108,0.018519,0.034375,0.777778,0.738194,0.0,0.014514,0.018519,0.040417,0.009259,0.016493,0.0,6.9e-05
operator_signature,Mul;Rank,498,0.082329,0.083784,0.574297,0.572372,0.088353,0.088529,0.14257,0.143192,0.036145,0.036894,0.0,1.7e-05
operator_signature,Mul;Rank;ZScore,1072,0.172575,0.171612,0.581157,0.580118,0.103545,0.10335,0.188433,0.187888,0.070896,0.070615,0.000933,0.000924
operator_signature,Mul;ZScore,494,0.072874,0.074708,0.350202,0.356982,0.08502,0.085326,0.1417,0.142361,0.052632,0.052745,0.0,1.7e-05
operator_signature,Rank,62,0.064516,0.078049,0.548387,0.542547,0.064516,0.071436,0.096774,0.11187,0.048387,0.050136,0.0,0.000108
operator_signature,ZScore,62,0.032258,0.053659,0.516129,0.518157,0.064516,0.071436,0.064516,0.08748,0.016129,0.025745,0.0,0.000108
operator_signature,missing,62,0.032258,0.053659,0.516129,0.518157,0.064516,0.071436,0.064516,0.08748,0.016129,0.025745,0.0,0.000108
horizon,12,1125,0.12,0.12,0.529778,0.529685,0.077333,0.077605,0.152,0.152116,0.055111,0.055119,0.000889,0.000881
horizon,24,375,0.317333,0.307342,0.453333,0.456934,0.170667,0.166729,0.317333,0.3093,0.141333,0.13699,0.0,2.3e-05
