semantic_type,default_role,data_behavior,min_observed_activity_ok_rate,max_observed_activity_ok_rate,search_permission
basis_premium_like,signal_candidate,dense_state_price_dislocation,0.0,0.9473684210526316,mixed_pair_level_required
price_like,risk_exposure_or_interaction,dense_high_beta,0.8156028368794326,1.0,repair_or_diagnostic_only
volatility_like,regime_or_interaction,dense_risk_state,0.784037558685446,1.0,repair_or_diagnostic_only
funding_like,materialization_repair_first,sparse_or_timestamp_sensitive,0.0,0.0,blocked_until_materialized
positioning_like,materialization_repair_first,sparse_or_coverage_sensitive,0.0,0.0,blocked_until_materialized
