feature,split,count,mean,std,min,q001,q01,q05,q25,q50,q75,q95,q99,q999,max
mark_index_ratio,train_2024,105360,-4.3230200908138167e-05,0.0005907817102744169,-0.011391467701725944,-0.0016408106990153746,-0.0011023959137905182,-0.0007992903677868201,-0.0004720794896069802,-0.00020570588943963353,0.0004178922752418046,0.0010063192458419571,0.0014163540619707485,0.002016616420779916,0.003936548089072955
mark_minus_index,train_2024,105360,0.023081228656893688,9.862041687410908,-58.798666670001694,-40.98711553324976,-31.04522896629991,-2.309315606502421,-0.04158345500000493,-0.00020270999999999484,0.0018826650000001166,1.6984642454995864,49.593272339799746,81.7920408461703,293.7297872299969
premium_index,train_2024,105360,-3.468498329536824e-05,0.0006074515581282226,-0.01228754,-0.00177580763,-0.0011849405,-0.000829502,-0.00046442,-0.00016846,0.0004067825,0.0010446,0.0015053356000000006,0.0022619699600000052,0.0072133
basis_abs_v0_ratio_minus_1,train_2024,105360,1.0000432302009081,0.0005907817102744168,0.996063451910927,0.9979833835792201,0.9985836459380293,0.9989936807541581,0.9995821077247582,1.0002057058894396,1.000472079489607,1.000799290367787,1.0011023959137904,1.0016408106990156,1.011391467701726
basis_abs_v1_centered_ratio,train_2024,105360,0.0004946363840238695,0.0003259208839556939,0.0,0.0,4.232190091190135e-06,4.0888321282389635e-05,0.0002636359195923865,0.0004608692034395734,0.0006739385420151123,0.0010757006860571223,0.0014747402554304684,0.0021091046787278375,0.011391467701725944
basis_abs_v2_mark_minus_over_index,train_2024,105360,0.0004946363840238692,0.000325920883955694,0.0,0.0,4.232190091171648e-06,4.088832128238397e-05,0.000263635919592415,0.000460869203439575,0.0006739385420150596,0.001075700686057222,0.0014747402554304394,0.002109104678727842,0.011391467701725973
premium_abs,train_2024,105360,0.0004919369753227031,0.0003580449278232903,0.0,0.0,0.0,0.0,0.000236495,0.00045054,0.00068169,0.0011323534999999993,0.0015713579000000005,0.0023150946100000008,0.01228754
mark_index_ratio,validation_2025H1,52080,-0.00042496062699460505,0.0002533596696522864,-0.007018872946457866,-0.0014705096188426788,-0.0010474251223916542,-0.0008010511279541054,-0.0005631342132961514,-0.0004369358531426393,-0.0003016828450604636,1.2852066644917143e-06,0.0003215712229306987,0.0006873419381030381,0.0017644916592978177
mark_minus_index,validation_2025H1,52080,-3.458060195862329,11.4945239344398,-87.3349777800031,-62.56800458378659,-51.589610953992526,-38.20012088699804,-0.18970893500002717,-0.012822590000000744,-0.0007148100000000657,4.816500000000741e-06,0.18384572709998637,0.49414358408995124,64.00842666999961
premium_index,validation_2025H1,52080,-0.0004292446908602151,0.000296642693856559,-0.00842863,-0.00179131682,-0.0011863721,-0.0008822604999999999,-0.000586385,-0.00043673,-0.0002750225,0.0,0.0003689231999999992,0.00077433159000001,0.00272808
basis_abs_v0_ratio_minus_1,validation_2025H1,52080,1.0004249606269946,0.0002533596696522867,0.9982355083407022,0.999312658061897,0.9996784287770693,0.9999987147933355,1.0003016828450604,1.0004369358531426,1.0005631342132961,1.0008010511279541,1.0010474251223918,1.0014705096188428,1.0070188729464578
basis_abs_v1_centered_ratio,validation_2025H1,52080,0.0004422823818856373,0.000221740079656006,0.0,0.0,8.306968984882478e-06,6.934058826311708e-05,0.0003093066264462374,0.0004395460657916628,0.0005652517511148258,0.0008018547538352403,0.0010485984772726563,0.0014726372469624437,0.007018872946457866
basis_abs_v2_mark_minus_over_index,validation_2025H1,52080,0.0004422823818856374,0.0002217400796560062,0.0,0.0,8.306968984922587e-06,6.934058826316345e-05,0.000309306626446202,0.0004395460657916776,0.0005652517511148186,0.0008018547538352071,0.0010485984772726795,0.0014726372469624127,0.00701887294645784
premium_abs,validation_2025H1,52080,0.00045028816513056837,0.0002636059661732571,0.0,0.0,0.0,3.182700000000001e-05,0.000287175,0.000440655,0.0005889325,0.0008848489999999992,0.00118962,0.001840452290000003,0.00842863
mark_index_ratio,recent_oos_2025H2_2026Apr,87504,-0.00038471012517289,0.0003244735351560272,-0.008886547654975097,-0.0014746245419492295,-0.0010159255824182345,-0.0007950951986609555,-0.000563944035004843,-0.0004369491293865768,-0.00027806417574610665,0.0003376957123300987,0.000610262432932132,0.0008422813799955622,0.007568353614728629
mark_minus_index,recent_oos_2025H2_2026Apr,87504,-3.3972559809541347,11.4029110116582,-105.01813042999129,-65.8744918015086,-52.798773141994026,-36.74572609050229,-0.1438763450000522,-0.005811275000000116,-0.0002572625000000217,0.21269779550002288,0.5182947410999703,0.8708805426400168,46.73413043000619
premium_index,recent_oos_2025H2_2026Apr,87504,-0.00037682255725452553,0.0003422719095419443,-0.00878084,-0.0016827074,-0.001091771,-0.0008207304999999999,-0.00056638,-0.00042862,-0.00024823,0.00036036249999999955,0.0006430094,0.0009283787900000063,0.00820779
basis_abs_v0_ratio_minus_1,recent_oos_2025H2_2026Apr,87504,1.0003847101251728,0.00032447353515602733,0.9924316463852714,0.9991577186200045,0.9993897375670678,0.9996623042876699,1.000278064175746,1.0004369491293865,1.000563944035005,1.0007950951986608,1.0010159255824183,1.0014746245419492,1.008886547654975
basis_abs_v1_centered_ratio,recent_oos_2025H2_2026Apr,87504,0.00045175737243437024,0.0002218098080644313,0.0,0.0,1.0392394725077246e-05,7.50034513976372e-05,0.0003239039644194197,0.00045240550296349324,0.0005738733341205671,0.0007993249052449025,0.001019669489572308,0.0015188466977197328,0.008886547654975097
basis_abs_v2_mark_minus_over_index,recent_oos_2025H2_2026Apr,87504,0.00045175737243437013,0.0002218098080644313,0.0,0.0,1.0392394725114587e-05,7.500345139759541e-05,0.00032390396441942573,0.00045240550296347503,0.0005738733341205566,0.0007993249052449424,0.0010196694895723518,0.0015188466977197452,0.00888654765497509
premium_abs,recent_oos_2025H2_2026Apr,87504,0.0004483202362177729,0.00024115055732971743,0.0,0.0,0.0,5.058e-05,0.00030430750000000003,0.00044845,0.00057901,0.000827563499999999,0.0010992167,0.0017288520900000028,0.00878084
mark_index_ratio,fresh_forward_2026May,5232,-0.0004122544463664323,0.0003393832790358146,-0.002274154263070538,-0.0013077988631609461,-0.0010157351411061522,-0.0008116931128687666,-0.0005929872285630466,-0.00047615797243533153,-0.0003392846238713665,0.00047100474916207387,0.0006527377719331915,0.0007888211425063461,0.000838271057070239
mark_minus_index,fresh_forward_2026May,5232,-3.2710012565500586,10.741034811478968,-61.3849202900019,-54.601124940466455,-47.018847583706375,-36.30189130349682,-0.07217975749997763,-0.004030170000000943,-0.00018392750000002095,0.3050093645000117,0.4251478704999419,0.5194462690500478,0.546744189999913
premium_index,fresh_forward_2026May,5232,-0.00039591070718654426,0.00034966458974505793,-0.00205405,-0.00150000017,-0.0010647788,-0.000823,-0.0005885,-0.000466075,-0.00029819,0.0004790164999999993,0.000694061999999998,0.0008649938700000007,0.00102203
basis_abs_v0_ratio_minus_1,fresh_forward_2026May,5232,1.0004122544463665,0.0003393832790358152,0.9991617289429298,0.9992111788574937,0.9993472622280668,0.9995289952508379,1.0003392846238714,1.0004761579724355,1.000592987228563,1.0008116931128688,1.0010157351411062,1.001307798863161,1.0022741542630706
basis_abs_v1_centered_ratio,fresh_forward_2026May,5232,0.0004976153103920127,0.0001936463116152847,0.0,7.673711303568531e-08,3.060499099510783e-05,0.00016619860237764293,0.0003869295470415868,0.0004959239203756183,0.0006039073752016344,0.0008147588543550131,0.0010157351411061518,0.0013077988631609585,0.002274154263070538
basis_abs_v2_mark_minus_over_index,fresh_forward_2026May,5232,0.0004976153103920131,0.00019364631161528445,0.0,7.673711299180555e-08,3.060499099516359e-05,0.00016619860237765462,0.0003869295470415688,0.0004959239203756279,0.0006039073752016205,0.0008147588543550131,0.0010157351411061268,0.0013077988631609511,0.0022741542630705723
premium_abs,fresh_forward_2026May,5232,0.0004827561620795107,0.00021434204829531598,0.0,0.0,0.0,9.72765e-05,0.0003609475,0.00048708,0.0006024725,0.0008295754999999998,0.0010647787999999987,0.0015000001700000202,0.00205405
