candidate_id,parent_candidate_id,semantic_bucket,motif_bucket,generation_mode,expression,raw_inputs,source_max_tstat,source_replay_min_control_ratio,core_gate_status,authorizes_materialization,authorizes_numeric,authorizes_replay,authorizes_search,proposed_subgraph_id,canonical_expression,parse_status,registration_status,reject_reason,node_count,max_depth,field_count,operator_count,operator_path,preflight_rank
a7ffcore11e_08873be32daaf18f8f,a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,72))",trade_volume,2.695898179199756,0.4304377754031036,requires_core2_registration,False,False,False,False,sgx_540d11f3aa1e7dc996,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,72))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Mean>Delta,1
a7ffcore11e_0bd2f928b5872ede39,a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,6))",trade_volume,2.695898179199756,0.4304377754031036,requires_core2_registration,False,False,False,False,sgx_1f9cc20309cede8b84,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,6))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Mean>Delta,2
a7ffcore11e_0dd21d80949fec5fb7,a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,16))",trade_volume,2.695898179199756,0.4304377754031036,requires_core2_registration,False,False,False,False,sgx_6d38c3f41175d91973,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,16))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Mean>Delta,3
a7ffcore11e_13264b1d3d4cecd510,a7ffcore5_9e4293913b29d39f8d,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),2)),Delta(trade_count_168h,24))",trade_count_168h,3.039172680437813,0.0935174603559672,requires_core2_registration,False,False,False,False,sgx_01bddf093e7bfeb7a8,"Mul(ZScore(Mean(Delta(trade_count_168h,24),2)),Delta(trade_count_168h,24))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Delta>Delta,4
a7ffcore11e_182f68b6ba2a032d4a,a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,72))",trade_volume,2.695898179199756,0.4304377754031036,requires_core2_registration,False,False,False,False,sgx_4d2c24838ff00b5802,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,72))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Mean>Delta,5
a7ffcore11e_18542b23c0df88c9e3,a7ffcore5_9e4293913b29d39f8d,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,72))",trade_count_168h,3.039172680437813,0.0935174603559672,requires_core2_registration,False,False,False,False,sgx_aeb8bd6ce2a5f3eb2e,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,72))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Delta>Delta,6
a7ffcore11e_1c0ea6a158e2272181,a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,32))",trade_volume,2.695898179199756,0.4304377754031036,requires_core2_registration,False,False,False,False,sgx_946b6d0969a6f95bfc,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,32))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Mean>Delta,7
a7ffcore11e_1c294ee13a07d9e36a,a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,24))",trade_volume,2.695898179199756,0.4304377754031036,requires_core2_registration,False,False,False,False,sgx_3c8b93e2f6fa8e9d5b,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,24))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Mean>Delta,8
a7ffcore11e_1e0cb752c5faf8d4ec,a7ffcore5_9e4293913b29d39f8d,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,16))",trade_count_168h,3.039172680437813,0.0935174603559672,requires_core2_registration,False,False,False,False,sgx_13f64762390a6ea75a,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,16))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Delta>Delta,9
a7ffcore11e_243f32b909d9469672,a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,12))",trade_volume,2.695898179199756,0.4304377754031036,requires_core2_registration,False,False,False,False,sgx_34b3cfd09e800cec28,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,12))",ok,approved_for_temp_registration,,10,5,1,5,Mul>ZScore>Mean>Mean>Delta,10
