field,usage_count
top_long_short_position_ratio_last,2742
median_quote_volume_168h,1940
mark_trade_basis_bps,862
mark_index_basis_bps,822
premium_close_bps,702
taker_buy_sell_volume_ratio_last,600
top_long_short_account_ratio_last,324
open_interest_value_last,320
trade_return_24h,288
index_close,270
mark_close,270
basis_abs_168h,160
open_interest_last,160
open_interest_change_24h,140
