blueprint_id,seed_lane,left_field,left_transform,operator,right_field,right_transform,label_family,label_horizon_h,expression,candidate_role,source_stage
core25e_S0_positioning_price_basis_690bbc8108e16f,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_dd4229f4047210,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_dd9c56ef375b89,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_9b15b576d2087c,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_034eb925757ce6,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_824e4775cb68f7,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_d8158d03056122,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_235d21d29ed88e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_59699ce8988215,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_6324414f39d67f,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,zscore_168h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_index_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
