seed_lane,generated_count,label_family_count,horizon_count
S0_positioning_price_basis,1800,3,3
S1_liquidity_basis_positioning,1800,3,3
S2_taker_flow_liquidity_oi,600,4,1
S3_cross_family_bridge,600,4,2
