left,right,intersection_hours,jaccard,left_covered_by_right,right_covered_by_left
forced_deleveraging_proxy,market_crash_like,308,0.8301886792452831,1.0,0.8301886792452831
basis_dislocation_p90,basis_dislocation_p95,4785,0.714605734767025,0.714605734767025,1.0
derivative_dislocation_proxy,funding_abs_extreme_p90,229,0.571072319201995,1.0,0.571072319201995
funding_abs_extreme_p90,funding_positive_extreme,227,0.5206422018348624,0.5660847880299252,0.8664122137404581
basis_dislocation_p90,perp_pressure_proxy,3285,0.4905913978494624,0.4905913978494624,1.0
derivative_dislocation_proxy,funding_positive_extreme,156,0.46567164179104475,0.6812227074235808,0.5954198473282443
basis_dislocation_p95,perp_pressure_proxy,2557,0.4638128060946853,0.5343782654127481,0.7783866057838661
basis_dislocation_p90,funding_negative_extreme,5202,0.41793203181489513,0.7768817204301075,0.47493837304847986
basis_dislocation_p95,funding_negative_extreme,3987,0.339290273168241,0.8332288401253919,0.3640098603122432
funding_negative_extreme,session=asia_utc_00_07,3658,0.2533416441581827,0.333972427645394,0.5120380739081747
funding_negative_extreme,session=us_utc_14_21,3642,0.25195434105845727,0.33251164064639827,0.5097984322508399
pre_funding_1h_proxy,session=late_utc_22_23,893,0.25,0.3333333333333333,0.5
funding_negative_extreme,perp_pressure_proxy,2774,0.2419748778785764,0.25326394595088103,0.8444444444444444
funding_negative_extreme,session=europe_utc_08_13,2900,0.2162403996719111,0.2647676435679722,0.5412467338559164
basis_dislocation_p90,session=asia_utc_00_07,2273,0.19650730526497795,0.3394563918757467,0.3181690929451288
basis_dislocation_p90,session=us_utc_14_21,2192,0.18818681318681318,0.32735961768219835,0.3068309070548712
extreme_drawdown_30d_p05,extreme_vol_168h_p95,406,0.16544417277913612,0.19491118578972635,0.5225225225225225
basis_dislocation_p90,session=europe_utc_08_13,1682,0.16216737369841883,0.251194743130227,0.3139231056364315
basis_dislocation_p95,session=asia_utc_00_07,1654,0.16097323600973237,0.3456635318704284,0.2315229563269877
funding_boundary_8h_proxy,funding_negative_extreme,1851,0.15711739241151007,0.6909294512877939,0.16899479594631608
liquidity_shock_low_volume,session=late_utc_22_23,527,0.15169833045480713,0.23792325056433408,0.29507278835386336
forced_deleveraging_proxy,oi_contraction_24h_p10,308,0.15135135135135136,1.0,0.15135135135135136
market_crash_like,oi_contraction_24h_p10,308,0.14680648236415633,0.8301886792452831,0.15135135135135136
basis_dislocation_p95,session=us_utc_14_21,1519,0.14591738712776176,0.3174503657262278,0.2126259798432251
basis_dislocation_p95,session=europe_utc_08_13,1252,0.14081655606793386,0.2616509926854754,0.23366927958193356
perp_pressure_proxy,session=asia_utc_00_07,1263,0.1377918394065023,0.38447488584474887,0.17679171332586785
basis_dislocation_p95,extreme_drawdown_30d_p05,773,0.12682526661197702,0.16154649947753397,0.371099375900144
basis_dislocation_p90,extreme_drawdown_30d_p05,977,0.1252243014611638,0.14590800477897253,0.46903504560729714
post_funding_1h_proxy,session=europe_utc_08_13,893,0.125,0.3333333333333333,0.16666666666666666
funding_boundary_8h_proxy,session=europe_utc_08_13,893,0.125,0.3333333333333333,0.16666666666666666
session=us_utc_14_21,volume_burst,1017,0.12372262773722628,0.1423572228443449,0.4859053989488772
extreme_drawdown_30d_p05,oi_contraction_24h_p10,420,0.11357490535424554,0.2016322611617859,0.20638820638820637
extreme_drawdown_30d_p05,funding_negative_extreme,1283,0.10916361779971072,0.6159385501680269,0.1171368574819684
oi_contraction_24h_p10,volume_burst,406,0.1090811391724879,0.1995085995085995,0.1939799331103679
perp_pressure_proxy,session=europe_utc_08_13,813,0.10383141762452107,0.24748858447488584,0.1517357222844345
basis_dislocation_p90,funding_boundary_8h_proxy,867,0.10190409026798307,0.12948028673835124,0.3236282194848824
post_funding_1h_proxy,session=asia_utc_00_07,893,0.1,0.3333333333333333,0.125
post_funding_1h_proxy,session=us_utc_14_21,893,0.1,0.3333333333333333,0.125
funding_boundary_8h_proxy,session=asia_utc_00_07,893,0.1,0.3333333333333333,0.125
funding_boundary_8h_proxy,session=us_utc_14_21,893,0.1,0.3333333333333333,0.125
pre_funding_1h_proxy,session=us_utc_14_21,893,0.1,0.3333333333333333,0.125
pre_funding_1h_proxy,session=asia_utc_00_07,893,0.1,0.3333333333333333,0.125
basis_dislocation_p90,post_funding_1h_proxy,849,0.0995777621393385,0.1267921146953405,0.3169092945128779
liquidity_shock_low_volume,perp_pressure_proxy,493,0.09846215298581985,0.22257336343115125,0.15007610350076103
basis_dislocation_p95,funding_boundary_8h_proxy,667,0.09813152861556569,0.1393939393939394,0.24897349757372153
basis_dislocation_p95,post_funding_1h_proxy,643,0.09426770268289107,0.13437826541274817,0.24001493094438223
funding_negative_extreme,liquidity_shock_low_volume,1122,0.09314295201726715,0.10243768830457409,0.5065462753950338
perp_pressure_proxy,session=us_utc_14_21,866,0.09055735647809265,0.26362252663622526,0.12122060470324748
basis_dislocation_p90,pre_funding_1h_proxy,766,0.08897665234057382,0.11439665471923537,0.2859275849197462
liquidity_shock_low_volume,session=asia_utc_00_07,762,0.08863557054786553,0.3440180586907449,0.10666293393057111
funding_negative_extreme,volume_burst,1048,0.08734789131521921,0.09568154843421893,0.5007166746297181
funding_negative_extreme,pre_funding_1h_proxy,1095,0.08734146925101699,0.09997261024376883,0.4087346024636058
funding_negative_extreme,post_funding_1h_proxy,1092,0.08708133971291866,0.09969871268145714,0.4076147816349384
liquidity_shock_low_volume,session=us_utc_14_21,740,0.0858568279382759,0.3340857787810384,0.10358342665173573
funding_negative_extreme,oi_contraction_24h_p10,1017,0.08495530866260129,0.09285127362366474,0.49975429975429975
oi_contraction_24h_p10,session=us_utc_14_21,712,0.08409117751269635,0.34987714987714985,0.09966405375139978
funding_boundary_8h_proxy,volume_burst,370,0.08405270331667423,0.13811123553564764,0.1767797419971333
basis_dislocation_p90,volume_burst,679,0.08372379778051788,0.10140382317801673,0.32441471571906355
extreme_drawdown_30d_p05,session=asia_utc_00_07,709,0.08323550129138295,0.34037445991358617,0.0992441209406495
basis_dislocation_p90,liquidity_shock_low_volume,678,0.08235151220697194,0.10125448028673835,0.3060948081264108
