state,family,train_hours,oos_episodes,may_vs_train_enrichment,recommended_action
monthly_boundary_utc,event_boundary,72,34,1.2179700499168051,attribution_only_until_more_events
weekly_boundary_utc,event_boundary,159,73,1.1030672150189935,attribution_only_until_more_events
market_crash_like,surface_stress,177,135,0.0,attribution_only_until_more_events
funding_abs_extreme_p90,crypto_derivatives_mechanism,220,132,0.0,attribution_only_until_more_events
funding_positive_extreme,crypto_derivatives_mechanism,220,34,0.0,attribution_only_until_more_events
forced_deleveraging_proxy,crypto_derivatives_mechanism,158,104,0.0,attribution_only_until_more_events
derivative_dislocation_proxy,crypto_derivatives_mechanism,162,49,0.0,attribution_only_until_more_events
crowded_long_unwind_proxy,crypto_derivatives_mechanism,0,0,,attribution_only_until_more_events
perp_pressure_proxy,crypto_derivatives_mechanism,50,833,119.5559400998336,high_interest_but_train_thin_attribution_first
extreme_vol_168h_p95,surface_stress,438,2,0.0,hold_for_more_data_or_lower_priority
extreme_drawdown_30d_p05,surface_stress,439,55,0.0,hold_for_more_data_or_lower_priority
positioning_crowding_p90,general,878,0,0.0,hold_for_more_data_or_lower_priority
basis_dislocation_p95,crypto_derivatives_mechanism,440,787,9.699470579337468,promote_to_mechanism_regime_candidate
basis_dislocation_p90,crypto_derivatives_mechanism,879,562,8.363671469053285,promote_to_mechanism_regime_candidate
taker_flow_imbalance_p90,crypto_microstructure_proxy,879,1699,7.9978647646414105,promote_to_mechanism_regime_candidate
is_weekend,general,2496,73,1.124280046077051,use_as_selector_regime_diversity_feature
liquidity_shock_low_volume,surface_stress,874,605,1.0200847557655623,use_as_selector_regime_diversity_feature
funding_boundary_8h_proxy,crypto_derivatives_mechanism,1098,1531,1.0116472545757071,use_as_selector_regime_diversity_feature
pre_funding_1h_proxy,crypto_derivatives_mechanism,1098,1530,0.9983361064891847,use_as_selector_regime_diversity_feature
post_funding_1h_proxy,crypto_derivatives_mechanism,1098,1530,0.9983361064891847,use_as_selector_regime_diversity_feature
volume_burst,surface_stress,874,646,0.9866393539371833,use_as_selector_regime_diversity_feature
oi_expansion_24h_p90,crypto_derivatives_mechanism,874,145,0.3177313173696014,use_as_selector_regime_diversity_feature
oi_contraction_24h_p10,crypto_derivatives_mechanism,874,179,0.2508405137128432,use_as_selector_regime_diversity_feature
funding_negative_extreme,crypto_derivatives_mechanism,1230,999,0.011882634633334688,use_as_selector_regime_diversity_feature
session=asia_utc_00_07,event_boundary,2928,511,1.0033277870216306,use_for_attribution_and_split_checks_not_alpha_signal
session=europe_utc_08_13,event_boundary,2196,510,0.9983361064891847,use_for_attribution_and_split_checks_not_alpha_signal
session=late_utc_22_23,event_boundary,732,510,0.9983361064891847,use_for_attribution_and_split_checks_not_alpha_signal
session=us_utc_14_21,event_boundary,2928,510,0.9983361064891847,use_for_attribution_and_split_checks_not_alpha_signal
us_equity_open_proxy,event_boundary,1098,510,0.9983361064891847,use_for_attribution_and_split_checks_not_alpha_signal
us_equity_close_proxy,event_boundary,732,510,0.9983361064891847,use_for_attribution_and_split_checks_not_alpha_signal
