followup_family,rows,semantic_pair_count,motif_count,skeleton_count,source_seed_count
basis_deep,250,5,6,88,1
oi_positioning_reserved_deep,192,4,5,120,1
listing_lifecycle_deep,109,2,4,58,1
volatility_relative_deep,108,5,4,45,1
