cluster_id,expression,orientation,train_ic_mean,horizon
funding_rate_h6,ZScore(latest_known_funding_rate),-1.0,-0.019866734694312303,6
funding_rate_h12,ZScore(latest_known_funding_rate),-1.0,-0.028380368809666306,12
funding_persistence_h6,ZScore(funding_rate_persistence_3),-1.0,-0.015508350205716953,6
funding_persistence_h12,ZScore(funding_rate_persistence_3),-1.0,-0.025175257543557955,12
