object,component_id,candidate_id,expression,horizon,base_orientation,orientation,train_ic_mean,placebo_mode
sign_flip,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,1.0,-0.019099199241048068,sign_flip
sign_flip,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,1.0,-0.0272782721976099,sign_flip
sign_flip,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,1.0,-0.014513756638242786,sign_flip
sign_flip,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,1.0,-0.02378520238278919,sign_flip
wrong_lag_stale_24h,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,-1.0,-0.018889288998618723,wrong_lag_stale_24h
wrong_lag_stale_24h,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,-1.0,-0.028008385194113174,wrong_lag_stale_24h
wrong_lag_stale_24h,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,-1.0,-0.010353509400102387,wrong_lag_stale_24h
wrong_lag_stale_24h,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,-1.0,-0.0235237021597913,wrong_lag_stale_24h
wrong_lag_future_24h_diagnostic,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,1.0,0.047881776342434436,wrong_lag_future_24h_diagnostic
wrong_lag_future_24h_diagnostic,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,1.0,0.08606397040280245,wrong_lag_future_24h_diagnostic
wrong_lag_future_24h_diagnostic,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,1.0,0.04574929885436514,wrong_lag_future_24h_diagnostic
wrong_lag_future_24h_diagnostic,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,1.0,0.05998673876474662,wrong_lag_future_24h_diagnostic
row_shuffle,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,1.0,0.004455277255411224,row_shuffle
row_shuffle,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,-1.0,-0.0012664083932520992,row_shuffle
row_shuffle,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,1.0,0.00033740005056752555,row_shuffle
row_shuffle,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,-1.0,-0.0006099175329458899,row_shuffle
time_shuffle,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,-1.0,-0.004020620653113138,time_shuffle
time_shuffle,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,-1.0,-0.004411603722255512,time_shuffle
time_shuffle,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,-1.0,-0.005577270609382829,time_shuffle
time_shuffle,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,-1.0,-0.0027142012663882555,time_shuffle
