object,held_out_symbol,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95
FundingCore,ADAUSDT,train_2024,8736,0.00045953550797791544,4.025531049886539,0.011647719344160468,3.6925826952884644,5.279348203200412,0.5233516483516484,4.014502197695069,-2.6780385126905477,29.620208628299018,-0.9367910646692273,-0.07537960285722224,-0.03262141992609946,-0.017986114151978334,0.0005059623559842414,0.018301628709032847
FundingCore,ADAUSDT,validation_2025H1,4296,0.0011139564701257716,9.75825867830176,0.01130626420451379,9.22149093317355,13.557227466840928,0.5572625698324022,4.785556995660315,-1.2912473328437875,89.81174188563307,-0.7315698017792848,-0.0613238404112294,-0.02881861868002203,-0.016634090395261158,0.0011280424393256712,0.019692483467081447
FundingCore,ADAUSDT,recent_oos_2025H2_2026Apr,7248,0.0003081314242893654,2.699231276774841,0.008833822769697887,3.2646705577987265,4.9948447262211,0.5024834437086093,2.2333365632493205,-3.4627332511463473,6.040870039147922,-0.9712381151620911,-0.053687373665363164,-0.023423532083111865,-0.013042148327067508,3.6817259943259595e-05,0.01392296077101263
FundingCore,ADAUSDT,fresh_forward_2026May,392,-0.0015153647376085894,-13.274595101451244,0.010472182561173505,-13.543534721395924,-25.268752751704877,0.3596938775510204,-0.594022977142567,-0.8116915142531741,-0.45970622422960983,-0.5584147459958594,-0.026877683724128527,-0.02326186797882059,-0.01524322074534478,-0.0015431925519594361,0.010437042789080395
FundingCore,AVAXUSDT,train_2024,8736,0.0002047820481511557,1.793890741804124,0.011642782404229167,1.6462172742201644,2.1721990068942483,0.5165979853479854,1.7889759726484962,-4.033599612847273,2.303940990095869,-0.9841374421583069,-0.0902297521726714,-0.03247798790972062,-0.01720690819283155,0.0003260319152564692,0.017333548743999356
FundingCore,AVAXUSDT,validation_2025H1,4296,0.000825234786729307,7.229056731748729,0.012773940526813679,6.046508811163681,6.894250873423484,0.5656424581005587,3.545208643789103,-1.7972066583967519,23.222858031115823,-0.8505068855497524,-0.15153648299141287,-0.0329270334361057,-0.018233723880305547,0.0014326995834343316,0.019179584348323286
FundingCore,AVAXUSDT,recent_oos_2025H2_2026Apr,7248,0.00027085246365613755,2.372667581627765,0.009010018887988797,2.813579182055155,4.100334465875388,0.5070364238410596,1.9631386565796851,-3.224276746196861,4.310589882645783,-0.9625950236292123,-0.04854745210728336,-0.024647939717724617,-0.01360925274574629,0.00011388833581781966,0.014188194168683972
FundingCore,AVAXUSDT,fresh_forward_2026May,392,-0.001579024720758367,-13.832256553843296,0.010871342721519005,-13.59432959333876,-24.845296588170758,0.36989795918367346,-0.6189776905372799,-0.8626229751243166,-0.4739244154900679,-0.5804768751572384,-0.025430367545477648,-0.024071627254516774,-0.01640865683203075,-0.0014441546323572126,0.011326286792497304
FundingCore,BCHUSDT,train_2024,8736,0.0004882901729787977,4.277421915294267,0.013087287856738171,3.4920494276830554,4.559236837213608,0.5269001831501832,4.265702951142776,-4.082405465998537,32.59786366719794,-0.9853650189705729,-0.10689812615026678,-0.036112901588881925,-0.018981278483529117,0.0005788169984567513,0.019718730249525925
FundingCore,BCHUSDT,validation_2025H1,4296,0.0006105887467866113,5.348757421850715,0.013310250735448835,4.293531093062085,4.726424694082356,0.5523743016759777,2.623089256195282,-1.6737160555848876,8.318374452335995,-0.8354379199773496,-0.17422379667268872,-0.031949833541098066,-0.01839903965554566,0.0011884650681674123,0.0191492666997311
FundingCore,BCHUSDT,recent_oos_2025H2_2026Apr,7248,0.00041173122499791806,3.6067655309817623,0.009709094408945315,3.9690551493944324,5.697839733283801,0.5186258278145696,2.98422791878491,-3.434949398330433,13.086857713997727,-0.9699355586636746,-0.06622794441515403,-0.026625382216489243,-0.0136641823733495,0.0002788709609347729,0.01383072922647021
FundingCore,BCHUSDT,fresh_forward_2026May,392,-0.0006004146546841638,-5.259632375033275,0.010367980495322709,-5.420123289190709,-11.37025744029961,0.3622448979591837,-0.23536254463619222,-0.7459179489051532,-0.22597264103632297,-0.5277981078864646,-0.025613236320767084,-0.021056703330712235,-0.013387066984785662,-0.0014441532463469898,0.013719122422800344
FundingCore,BNBUSDT,train_2024,8736,0.00043921092489291767,3.847487702061959,0.013020134455067197,3.1572554251585356,4.107451188290363,0.5218635531135531,3.8369466398645287,-4.720517946870027,21.044271175533744,-0.9921422882920807,-0.10647921092370499,-0.03608379081063946,-0.01858921401269717,0.00047874559045025177,0.019660861435363247
FundingCore,BNBUSDT,validation_2025H1,4296,0.0007524671183942841,6.591611957133929,0.012759127316327144,5.519739839897447,6.586711287437416,0.5477188081936686,3.2325987406218446,-2.110161776851986,16.755003877130765,-0.8939574952233985,-0.15119642905883762,-0.03182838703094611,-0.017908542557322084,0.0009679937392357775,0.019424962500299896
FundingCore,BNBUSDT,recent_oos_2025H2_2026Apr,7248,0.00034466006079738806,3.0192221325851194,0.009585743134249232,3.365249172958265,4.914289266234845,0.5164183222958058,2.4980961206594685,-3.258755233552069,7.731661444908417,-0.9654356760659338,-0.06639469970483486,-0.025709250426857136,-0.0140594510398099,0.00022667123909000085,0.014767907773998687
