object,risk_variant,cost_tier,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_gross_exposure,mean_turnover
sign_flip,R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,-0.00026875832071893705,-2.3543228894978885,0.003379453987952018,-7.443332746477077,-8.672124347007225,0.4665750915750916,-2.347872689800634,-2.429046349040221,-0.9091278353976648,-0.9159303711356838,-0.047229604949016624,-0.009879681467421539,-0.005138860555427453,-0.00011409316431189285,0.004464019561083702,12,3,0.25,-0.5959735578308211,0.4710037725165348,0.023118758636209394
sign_flip,R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,-0.00021041329084007558,-1.843220427759062,0.0030413729350419016,-6.475235155691762,-10.485170663345237,0.4457635009310987,-0.9039354974489647,-1.271880534081622,-0.6029990599650576,-0.721668264629784,-0.01635311772797101,-0.007048851113053971,-0.004448840071576614,-0.00025561845404282346,0.00419020428833271,6,2,0.3333333333333333,-0.39986490920096157,0.49407167141029834,0.0311125771328484
sign_flip,R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,-0.0001968119861820798,-1.724072998955019,0.0022673429071721424,-8.12430820608864,-10.813964502154237,0.4733719646799117,-1.4264932758477142,-1.6133146427356795,-0.76431881539652,-0.8042920471027517,-0.01563449317967977,-0.006371688077986804,-0.003864712320810542,-0.0001008549303056581,0.0031821347415611307,10,1,0.1,-0.2876120121998867,0.498010116614209,0.03271710434422906
sign_flip,R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,0.0003019657966395785,2.6452203785627075,0.002629383575766057,10.74869799940089,9.837516548869647,0.6352040816326531,0.11837059228271476,-0.18241013617934582,0.12411577812437802,-0.16739514447495019,-0.015395280051614885,-0.01101885891064578,-0.0034072467742020333,0.0005274075304849935,0.003395484048226869,1,1,1.0,0.11837059228271478,0.5,0.03417787569573284
wrong_lag_stale_24h,R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,8.175767200033736e-05,0.7161972067229553,0.003512309006715605,2.1786519360914904,2.6636722082565085,0.5256410256410257,0.7142350225949472,-1.024642051050192,0.935213856158696,-0.6462278065967135,-0.030972844954426926,-0.01051398345266752,-0.005447476335721336,0.00016277447799296256,0.005247173247038373,12,8,0.6666666666666666,-0.6786640849524854,0.4627458488845382,0.021530493352710015
wrong_lag_stale_24h,R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,7.720278463616574e-05,0.6762963934128119,0.0035107420884621958,2.0581929795212686,2.4456405598456312,0.5188547486033519,0.33166316279696806,-0.9570928777477697,0.35677315774251217,-0.6209544666036593,-0.029027054365456294,-0.009989976542141153,-0.004945164155426875,0.00011177205706080144,0.0049674877926684045,6,4,0.6666666666666666,-0.5813897862589298,0.4968301706649923,0.02963294671697862
wrong_lag_stale_24h,R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,2.4502597450045047e-05,0.2146427536623946,0.0026318139661866548,0.8713828154270366,1.1468434365303035,0.5175220750551877,0.1775948263179265,-0.749340169764925,0.1647281883608993,-0.5293385284670116,-0.018261518611156304,-0.008081208414358531,-0.004015829808345179,5.816664290281978e-05,0.003852065546261347,10,5,0.5,-0.4525827833155072,0.49326657341013247,0.03125928136605797
wrong_lag_stale_24h,R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,-0.0005950243893013504,-5.212413650279829,0.0022846231287132353,-24.376550621394195,-36.93635995554689,0.336734693877551,-0.23324956060612936,-0.2435198004059824,-0.20890583049099132,-0.21697802206425887,-0.009112322677983991,-0.00600315147201162,-0.003904484130454095,-0.0004934996748784076,0.0018015143341585682,1,0,0.0,-0.23324956060612936,0.5,0.033337198515769946
wrong_lag_future_24h_diagnostic,R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,0.0005439448529755846,4.764956912066121,0.003358038382798594,15.160770336068044,21.07448609769456,0.5780677655677655,4.751902235594707,-0.47488967202359467,109.10155460457815,-0.38011556277724545,-0.03128324696336259,-0.008595594401738906,-0.004445641679928259,0.0004538872518386881,0.006055738140007747,12,10,0.8333333333333334,-0.07458419531947201,0.47931283013821957,0.023708281060856973
wrong_lag_future_24h_diagnostic,R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.0010071098851387864,8.82228259381577,0.003258902762167984,28.92394383032042,56.51973410054483,0.6531657355679702,4.3265440665562265,-0.10900630045470949,72.83484591178595,-0.10352412767696695,-0.017229046779355595,-0.005828466670823942,-0.002965557692300888,0.0008384480657809283,0.00538006146995588,6,6,1.0,0.40666632078886644,0.4851137418853253,0.030657755120474944
wrong_lag_future_24h_diagnostic,R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,0.0006648311735691833,5.823921080466046,0.002447982363888699,25.418805821457365,33.58882686442217,0.632864238410596,4.818696346029441,-0.1799608373653098,119.95229801269679,-0.1662921781847828,-0.02334114074442643,-0.0051197268228578095,-0.0027384520124665492,0.0005705035399829416,0.004484296769750968,10,10,1.0,0.18740223054695443,0.49784253666912204,0.03271520807279579
