object,candidate_id,expression,risk_variant,cost_tier,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_gross_exposure,mean_turnover
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,train_2024,8736,6.50989278109119e-05,0.5702666076235883,0.0035173366038338933,1.7322555329674199,2.1913883433942973,0.5162545787545788,0.5687042333561263,-1.3437073853220807,0.6729646087134551,-0.742496739089292,-0.03204523060172775,-0.010489666224661914,-0.005192947473861849,0.00010014904803037748,0.005215849104536283,12,9,0.75,-1.0254494469569642,0.48846331647145724,0.024309339406811133
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,validation_2025H1,4296,0.00015291965272763592,1.3395761578940906,0.0031794901132022836,4.501506455719233,5.194058110014618,0.556098696461825,0.6569428281179239,-0.4188965415571078,0.8872150889026094,-0.35065767863825625,-0.03963667088658912,-0.008469808556681441,-0.004480794546600839,0.00026939146576693187,0.004555236884031864,6,4,0.6666666666666666,-0.17769588122011565,0.4984953270714979,0.02983808866434993
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,recent_oos_2025H2_2026Apr,7248,0.00010786628588080923,0.9449086643158889,0.002391059837416824,4.222282949537549,5.719842058799785,0.5238686534216336,0.7818148400641053,-0.6195786214822481,1.140545272020328,-0.465345525168416,-0.018448464479420168,-0.0064521548418399926,-0.0033013144391819457,8.932113604656157e-05,0.003696844533137015,10,8,0.8,-0.38959900040208123,0.49999744026717935,0.031699427126919213
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,normal_5bp,fresh_forward_2026May,392,-0.00021968506139448163,-1.9244411378156592,0.002459161696432167,-8.361139958967483,-14.426534500269689,0.40561224489795916,-0.0861165440666368,-0.12729875352171327,-0.08360133893988075,-0.11971909594690722,-0.007316993658993503,-0.006020050976623666,-0.0038272264273635447,-0.00030185290022854966,0.002599003494216381,1,0,0.0,-0.0861165440666368,0.5,0.033801020408163275
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,5.294425810750634e-05,0.46379170102175554,0.003518793488830886,1.4082415061120444,1.7821409429101684,0.5146520146520146,0.4625210388271754,-1.3562408720477193,0.5043699399333508,-0.7457123271927075,-0.03204523060172775,-0.010489666224661914,-0.0052048161917094765,8.916983122295182e-05,0.005205284849141107,12,9,0.75,-1.0352687409099306,0.48846331647145724,0.024309339406811133
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.00013800060839546096,1.2088853295442379,0.0031799268636525588,4.061775564285698,4.694807148332325,0.5533054003724395,0.5928506136669003,-0.44156128812891193,0.7700591006943835,-0.36521436421557485,-0.03963667088658912,-0.008469808556681441,-0.004487064817402133,0.0002534775553811659,0.0045370794118620075,6,4,0.6666666666666666,-0.1855653236016053,0.4984953270714979,0.02983808866434993
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,9.201657231734962e-05,0.8060651734999826,0.0023921977406086625,3.6001535867712597,4.886981908425347,0.5183498896247241,0.66693611615615,-0.6378374394212885,0.9082243203044047,-0.47625345185295187,-0.018448464479420168,-0.00651949366482686,-0.003322735945577227,7.572161689627561e-05,0.003676517602922276,10,7,0.7,-0.3977693909767031,0.49999744026717935,0.031699427126919213
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,-0.00023658557159856333,-2.0724896072034147,0.0024579849696193213,-9.008678443007424,-15.587745739926898,0.3979591836734694,-0.09274154406663683,-0.12884042018837993,-0.08965277332811994,-0.12107618593142944,-0.007316993658993503,-0.006083437166362886,-0.0038687586287354248,-0.00031077190116879366,0.0025565398538888572,1,0,0.0,-0.0927415440666368,0.5,0.033801020408163275
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,train_2024,8736,2.8634918700695187e-05,0.25084188781808986,0.0035229140895579464,0.7607569961950131,0.96382988362989,0.5105311355311355,0.25015464976927315,-1.381307845498995,0.21638926135872594,-0.752024898027969,-0.03204523060172775,-0.010489666224661914,-0.005223985929567469,6.230341814685853e-05,0.005187543748688575,12,9,0.75,-1.054907328815864,0.48846331647145724,0.024309339406811133
funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),R3_vol_target_gross_0p5x_cap,severe_20bp,validation_2025H1,4296,0.00010816251973111104,0.9475036728445327,0.0031825824560364688,3.1808939098644227,3.691553774426273,0.5477188081936686,0.464666184764853,-0.4868907812725206,0.5570719370341766,-0.39336181338923315,-0.03963667088658912,-0.008522160551014598,-0.004538854223058267,0.00023303167757220898,0.004514515118723059,6,4,0.6666666666666666,-0.20130420836458462,0.4984953270714979,0.02983808866434993
