candidate_id,semantic_bucket,motif_bucket,generation_mode,clue_rows,label_count,horizon_count,best_abs_corr,best_original_score,min_control_ratio,core14_rank,proposed_subgraph_id,expression,raw_inputs
a7ffcore11e_3103906ad46d1df38b,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,8,3,4,0.0138540312291122,0.1852372614455014,0.1909767466749101,1,sgx_42984c05a7963776c8,"Mul(ZScore(Mean(Mul(Delta(ZScore(Mean(trade_count,24)),24),Abs(ZScore(Delta(trade_low,24)))),4)),Delta(trade_count,4))",trade_count;trade_low
a7ffcore11e_557114329870cf4f2d,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,8,2,4,0.0144266850757726,0.0144266850757726,0.3228183053986088,2,sgx_e6b886a4f663cdcae2,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,8)))),2)),Delta(trade_count,32))",trade_count;trade_high
a7ffcore11e_540129e723d9aa7b52,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,7,3,4,0.0093362987543073,0.2278901948376465,0.1740682963679132,3,sgx_58851b999473ae1763,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(Delta(trade_low,24)))),3)),Delta(trade_count,2))",trade_count;trade_low
a7ffcore11e_0645e71850908e893a,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,7,3,4,0.0098178514025717,0.0268616178662614,0.3372521577869478,4,sgx_876800bb2cf05ff2d2,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,4)),CSRank(Delta(global_long_short_account_ratio_mean,24))),2)),Delta(global_long_short_account_ratio_mean,24))",global_long_short_account_ratio_mean;open_interest_last
a7ffcore11e_108bca7372512beafd,taker_flow_like|basis_premium_like,gated_sign,seed_field_mul_delta,7,3,4,0.0469548118451763,0.1729000381468802,0.3884429861016146,5,sgx_231613d6aaa4dafc44,"Mul(ZScore(Mean(Mul(taker_buy_quote_volume,Sign(Mean(mark_index_basis_bps,4))),2)),Delta(mark_index_basis_bps,48))",mark_index_basis_bps;taker_buy_quote_volume
a7ffcore11e_b42a7e3dcfc5ad4c16,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,7,3,4,0.0081150609514687,0.0439859299108796,0.5011736796237178,6,sgx_8353036bec807c25fe,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,4)),CSRank(Delta(global_long_short_account_ratio_mean,24))),4)),Delta(global_long_short_account_ratio_mean,12))",global_long_short_account_ratio_mean;open_interest_last
a7ffcore11e_4831794c3f43dcc5d1,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,7,3,4,0.0082607895025499,0.0443420066395371,0.5298340063817427,7,sgx_5733646d338a678862,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,4)),CSRank(Delta(global_long_short_account_ratio_mean,24))),3)),Delta(global_long_short_account_ratio_mean,12))",global_long_short_account_ratio_mean;open_interest_last
a7ffcore11e_a556c4fd6dec7dc783,open_interest_like|positioning_like,delta_x_divergence,seed_field_mul_delta,7,3,3,0.0166668676538901,0.1523608367505159,0.3671743220276484,8,sgx_2cfd1c0f703b83c7ec,"Mul(ZScore(Mean(Sub(CSRank(Mean(open_interest_last,8)),CSRank(Delta(top_long_short_account_ratio_last,24))),2)),Delta(open_interest_last,24))",open_interest_last;top_long_short_account_ratio_last
a7ffcore11e_11882b391b74beae55,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,7,2,4,0.0194351446713061,0.0194351446713061,0.1985064751767487,9,sgx_65999d840e67f37a0e,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),3)),Delta(trade_count,32))",trade_count;trade_high
a7ffcore11e_2414f8e2f51a8e9e85,liquidity_like|volatility_like,liquidity_shock,seed_field_mul_delta,7,2,4,0.0173290852888569,0.0173290852888569,0.205876562467889,10,sgx_d90ec5c0e408805818,"Mul(ZScore(Mean(Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(Delta(trade_high,4)))),4)),Delta(trade_count,32))",trade_count;trade_high
