checkpoint_id,cell_id,strict_count,normal_count,control_count,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_field_families,pre_may_pass_normal_count,pre_may_pass_normal_rate,post_may_candidate_v3_count_stress_only,post_may_candidate_v3_rate_stress_only,negative_control_research_like_count,raw_validation_fail_rate,raw_recent_fail_rate,cost20_recent_fail_rate,lag1_recent_fail_rate,residual_funding_recent_fail_rate,may_stress_veto_rate_stress_only,liquidity_volatility_share,policy_uses_may,recommended_action,priority,w2_registry_candidate,primary_reason,registry_score_non_may,registry_tier,registry_rank,liquidity_volatility_cell,may_used_for_registry_score,may_used_for_registry_selection,quarantine_status
4,C0200,24,24,0,H05_volatility_structure_ex_liquidity_mul,P1_range_volatility,MulRankRank,spread_6_vs_24,cross_symbol_zscore,none,low_turnover,F9_liquidity_shock,volatility,12,0.5,0,0.0,0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.2916666666666667,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.09791666666666665,primary_control_clean_non_may_robust,20,False,False,False,allowed_control_clean
1,C0017,24,24,0,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,cross_symbol_zscore,none,medium_turnover,F2_low_liquidity,liquidity,12,0.5,6,0.25,0,0.1666666666666666,0.375,0.4166666666666667,0.375,0.2916666666666667,0.5833333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.0958333333333333,primary_control_clean_non_may_robust,21,False,False,False,allowed_control_clean
5,C0316,24,24,0,H07_taker_flow_lag_stable,P1_range_volatility,RollingMaxRank,H72,cross_symbol_zscore,FundingCore,low_turnover,F9_liquidity_shock,volatility,12,0.5,1,0.0416666666666666,0,0.2916666666666667,0.375,0.375,0.375,0.4166666666666667,0.7083333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.06666666666666668,primary_control_clean_non_may_robust,22,False,False,False,allowed_control_clean
4,C0227,24,24,0,H11_regime_conditional_non_may,P11_volatility_basis,TSRankMul,H72,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F10_volatility_compression,basis;volatility,12,0.5,0,0.0,0,0.4583333333333333,0.375,0.375,0.375,0.375,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.0604166666666667,primary_control_clean_non_may_robust,23,False,False,False,allowed_control_clean
5,C0289,24,24,0,H08_trade_size_microstructure_lite,P0_price_return,TSStdZScore,H24,cross_symbol_rank,none,low_turnover,F4_basis_dislocation,price,11,0.4583333333333333,0,0.0,0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.039583333333333345,primary_control_clean_non_may_robust,24,False,False,False,allowed_control_clean
4,C0241,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,HorizonSpread,mixed_6_24,same_symbol_zscore,none,low_turnover,F4_basis_dislocation,price;volatility,10,0.4166666666666667,0,0.0,0,0.375,0.375,0.4583333333333333,0.375,0.0833333333333333,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.029166666666666716,primary_control_clean_non_may_robust,25,False,False,False,allowed_control_clean
4,C0229,24,24,0,H06_liquidity_structure_ex_realized_vol_mul,P10_price_liquidity,AddZScore,ensemble_6_12_24_48,cross_symbol_rank,Core4,low_turnover,F10_volatility_compression,liquidity;price,10,0.4166666666666667,0,0.0,0,0.3333333333333333,0.2916666666666667,0.375,0.2916666666666667,0.375,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.02708333333333337,primary_control_clean_non_may_robust,26,False,False,False,allowed_control_clean
3,C0134,24,24,0,H05_volatility_structure_ex_liquidity_mul,P1_range_volatility,DecayZScore,mixed_12_48,cross_symbol_rank,Core4,low_turnover,F9_liquidity_shock,volatility,11,0.4583333333333333,1,0.0416666666666666,0,0.3333333333333333,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.3333333333333333,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.0062500000000000125,primary_control_clean_non_may_robust,27,False,False,False,allowed_control_clean
3,C0151,24,24,0,H11_regime_conditional_non_may,P12_liquidity_flow,TSStdZScore,spread_6_vs_24,cross_symbol_rank,none,lag_stable,F2_low_liquidity,flow;liquidity,10,0.4166666666666667,0,0.0,0,0.2916666666666667,0.375,0.4166666666666667,0.375,0.375,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.020833333333333284,primary_control_clean_non_may_robust,28,False,False,False,allowed_control_clean
6,C0337,24,24,0,H07_taker_flow_lag_stable,P10_price_liquidity,ResidualizeVsCore4,H72,cross_symbol_zscore,Core4,lag_stable,F5_funding_neutral,liquidity;price,11,0.4583333333333333,0,0.0,0,0.125,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.5,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.02708333333333335,primary_control_clean_non_may_robust,29,False,False,False,allowed_control_clean
