scope,target,base_rate,top_decile_rate,lift,n,top_n,train_n
replayed_train_and_score,raw_survive,0.12,0.489451,4.078762,2250,237,2250
replayed_train_and_score,residual_survive,0.524444,0.930435,1.774134,2250,230,2250
replayed_train_and_score,cost20_survive,0.092889,0.433884,4.671003,2250,242,2250
replayed_train_and_score,lag1_survive,0.158667,0.506438,3.191835,2250,233,2250
replayed_train_and_score,near_miss,0.055556,0.419913,7.558442,2250,231,2250
replayed_train_and_score,research_candidate,0.000444,0.004167,9.375,2250,240,2250
excluding_A7L1B_dry,raw_survive,0.12,0.489451,4.078762,2250,237,2250
excluding_A7L1B_dry,residual_survive,0.524444,0.930435,1.774134,2250,230,2250
excluding_A7L1B_dry,cost20_survive,0.092889,0.433884,4.671003,2250,242,2250
excluding_A7L1B_dry,lag1_survive,0.158667,0.506438,3.191835,2250,233,2250
excluding_A7L1B_dry,near_miss,0.055556,0.419913,7.558442,2250,231,2250
excluding_A7L1B_dry,research_candidate,0.000444,0.004167,9.375,2250,240,2250
score_A7L1B_dry_only,raw_survive,1.0,1.0,1.0,417,54,2250
score_A7L1B_dry_only,residual_survive,1.0,1.0,1.0,417,43,2250
score_A7L1B_dry_only,cost20_survive,1.0,1.0,1.0,417,56,2250
score_A7L1B_dry_only,lag1_survive,1.0,1.0,1.0,417,46,2250
score_A7L1B_dry_only,near_miss,0.0,0.0,,417,46,2250
score_A7L1B_dry_only,research_candidate,0.0,0.0,,417,46,2250
leave_source_out:A7I1B_original_generator,raw_survive,0.06,0.421053,7.017544,750,76,1500
leave_source_out:A7I1B_original_generator,residual_survive,0.521333,0.946667,1.815857,750,75,1500
leave_source_out:A7I1B_original_generator,cost20_survive,0.089333,0.357143,3.997868,750,84,1500
leave_source_out:A7I1B_original_generator,lag1_survive,0.125333,0.407895,3.254479,750,76,1500
leave_source_out:A7I1B_original_generator,near_miss,0.042667,0.333333,7.8125,750,75,1500
leave_source_out:A7I1B_original_generator,research_candidate,0.001333,0.001333,1.0,750,750,1500
leave_source_out:A7J2_reranked_original_pool,raw_survive,0.06,0.421053,7.017544,750,76,1500
leave_source_out:A7J2_reranked_original_pool,residual_survive,0.521333,0.946667,1.815857,750,75,1500
leave_source_out:A7J2_reranked_original_pool,cost20_survive,0.088,0.357143,4.058442,750,84,1500
leave_source_out:A7J2_reranked_original_pool,lag1_survive,0.122667,0.394737,3.217963,750,76,1500
leave_source_out:A7J2_reranked_original_pool,near_miss,0.038667,0.324675,8.396776,750,77,1500
leave_source_out:A7J2_reranked_original_pool,research_candidate,0.0,0.0,,750,93,1500
leave_source_out:A7K2_new_space,raw_survive,0.24,0.611765,2.54902,750,85,1500
leave_source_out:A7K2_new_space,residual_survive,0.530667,0.30137,0.567908,750,146,1500
leave_source_out:A7K2_new_space,cost20_survive,0.101333,0.0,0.0,750,82,1500
leave_source_out:A7K2_new_space,lag1_survive,0.228,0.623529,2.734778,750,85,1500
leave_source_out:A7K2_new_space,near_miss,0.085333,0.039735,0.465646,750,151,1500
leave_source_out:A7K2_new_space,research_candidate,0.0,0.0,,750,85,1500
leave_family_out:basis_premium,raw_survive,0.004,0.0,0.0,500,58,1750
leave_family_out:basis_premium,residual_survive,0.392,0.555556,1.417234,500,54,1750
leave_family_out:basis_premium,cost20_survive,0.208,0.36,1.730769,500,50,1750
leave_family_out:basis_premium,lag1_survive,0.212,0.264706,1.248613,500,68,1750
leave_family_out:basis_premium,near_miss,0.0,0.0,,500,56,1750
leave_family_out:basis_premium,research_candidate,0.0,0.0,,500,52,1750
leave_family_out:basis_premium_clean,raw_survive,0.1,0.178571,1.785714,250,28,2000
leave_family_out:basis_premium_clean,residual_survive,0.388,0.571429,1.472754,250,28,2000
leave_family_out:basis_premium_clean,cost20_survive,0.012,0.0,0.0,250,33,2000
leave_family_out:basis_premium_clean,lag1_survive,0.088,0.259259,2.946128,250,27,2000
leave_family_out:basis_premium_clean,near_miss,0.012,0.0,0.0,250,44,2000
leave_family_out:basis_premium_clean,research_candidate,0.0,0.0,,250,44,2000
leave_family_out:flow_liquidity,raw_survive,0.136,0.12,0.882353,500,50,1750
leave_family_out:flow_liquidity,residual_survive,0.496,0.37931,0.764739,500,58,1750
leave_family_out:flow_liquidity,cost20_survive,0.048,0.0,0.0,500,58,1750
leave_family_out:flow_liquidity,lag1_survive,0.128,0.08,0.625,500,50,1750
leave_family_out:flow_liquidity,near_miss,0.116,0.28125,2.424569,500,64,1750
leave_family_out:flow_liquidity,research_candidate,0.0,0.0,,500,64,1750
leave_family_out:flow_liquidity_clean,raw_survive,0.288,0.65,2.256944,250,40,2000
leave_family_out:flow_liquidity_clean,residual_survive,0.548,0.766667,1.399027,250,30,2000
leave_family_out:flow_liquidity_clean,cost20_survive,0.132,0.68,5.151515,250,25,2000
leave_family_out:flow_liquidity_clean,lag1_survive,0.28,0.88,3.142857,250,25,2000
