family_id,count,share,queue,root_family,motif,level
D1_open_interest_positioning,4800,0.2,blueprint_pool,,,
D0_basis_premium_reference,3600,0.15,blueprint_pool,,,
D2_taker_flow_leverage,3600,0.15,blueprint_pool,,,
D3_liquidity_volatility_state,3600,0.15,blueprint_pool,,,
D5_funding_dense_state,3600,0.15,blueprint_pool,,,
D4_regime_relative_value,3000,0.125,blueprint_pool,,,
D6_listing_latent_lifecycle,1800,0.075,blueprint_pool,,,
,4800,0.2,blueprint_pool,open_interest_like|positioning_like,,
,3600,0.15,blueprint_pool,basis_premium_like|basis_premium_like,,
,3600,0.15,blueprint_pool,taker_flow_like|open_interest_like,,
,3600,0.15,blueprint_pool,liquidity_like|volatility_like,,
,3600,0.15,blueprint_pool,funding_like|basis_premium_like,,
,3000,0.125,blueprint_pool,regime_state|price_return_like,,
,1800,0.075,blueprint_pool,listing_age_like|latent_state,,
,2408,0.10033333333333333,blueprint_pool,,sub,
,2407,0.10029166666666667,blueprint_pool,,spread_rank,
,2407,0.10029166666666667,blueprint_pool,,gated_sign,
,2407,0.10029166666666667,blueprint_pool,,smooth_mul,
,2406,0.10025,blueprint_pool,,relative_shock,
,2406,0.10025,blueprint_pool,,signed_spread,
,2406,0.10025,blueprint_pool,,mean_reversion_gate,
,2406,0.10025,blueprint_pool,,safe_div_clip,
,2401,0.10004166666666667,blueprint_pool,,zspread,
,2346,0.09775,blueprint_pool,,mul,
,13429,0.5595416666666667,blueprint_pool,,,L2_typed_two_field_interaction
,7213,0.30054166666666665,blueprint_pool,,,L4_factor_candidate_probe
,3358,0.13991666666666666,blueprint_pool,,,L3_state_conditioned_feature
D0_basis_premium_reference,858,0.143,materialization_queue,,,
D1_open_interest_positioning,857,0.14283333333333334,materialization_queue,,,
D2_taker_flow_leverage,857,0.14283333333333334,materialization_queue,,,
D3_liquidity_volatility_state,857,0.14283333333333334,materialization_queue,,,
D4_regime_relative_value,857,0.14283333333333334,materialization_queue,,,
D5_funding_dense_state,857,0.14283333333333334,materialization_queue,,,
D6_listing_latent_lifecycle,857,0.14283333333333334,materialization_queue,,,
,858,0.143,materialization_queue,basis_premium_like|basis_premium_like,,
,857,0.14283333333333334,materialization_queue,open_interest_like|positioning_like,,
,857,0.14283333333333334,materialization_queue,taker_flow_like|open_interest_like,,
,857,0.14283333333333334,materialization_queue,liquidity_like|volatility_like,,
,857,0.14283333333333334,materialization_queue,regime_state|price_return_like,,
,857,0.14283333333333334,materialization_queue,funding_like|basis_premium_like,,
,857,0.14283333333333334,materialization_queue,listing_age_like|latent_state,,
,602,0.10033333333333333,materialization_queue,,gated_sign,
,602,0.10033333333333333,materialization_queue,,mean_reversion_gate,
,602,0.10033333333333333,materialization_queue,,relative_shock,
,602,0.10033333333333333,materialization_queue,,signed_spread,
,602,0.10033333333333333,materialization_queue,,smooth_mul,
,602,0.10033333333333333,materialization_queue,,spread_rank,
,602,0.10033333333333333,materialization_queue,,sub,
,596,0.09933333333333333,materialization_queue,,safe_div_clip,
,595,0.09916666666666667,materialization_queue,,mul,
,595,0.09916666666666667,materialization_queue,,zspread,
,3005,0.5008333333333334,materialization_queue,,,L2_typed_two_field_interaction
,1793,0.29883333333333334,materialization_queue,,,L4_factor_candidate_probe
,1202,0.20033333333333334,materialization_queue,,,L3_state_conditioned_feature
D0_basis_premium_reference,516,0.14333333333333334,company_wave,,,
D1_open_interest_positioning,514,0.14277777777777778,company_wave,,,
D2_taker_flow_leverage,514,0.14277777777777778,company_wave,,,
D3_liquidity_volatility_state,514,0.14277777777777778,company_wave,,,
D4_regime_relative_value,514,0.14277777777777778,company_wave,,,
D5_funding_dense_state,514,0.14277777777777778,company_wave,,,
D6_listing_latent_lifecycle,514,0.14277777777777778,company_wave,,,
,516,0.14333333333333334,company_wave,basis_premium_like|basis_premium_like,,
,514,0.14277777777777778,company_wave,open_interest_like|positioning_like,,
,514,0.14277777777777778,company_wave,taker_flow_like|open_interest_like,,
,514,0.14277777777777778,company_wave,liquidity_like|volatility_like,,
,514,0.14277777777777778,company_wave,regime_state|price_return_like,,
,514,0.14277777777777778,company_wave,funding_like|basis_premium_like,,
,514,0.14277777777777778,company_wave,listing_age_like|latent_state,,
,364,0.10111111111111111,company_wave,,gated_sign,
,364,0.10111111111111111,company_wave,,smooth_mul,
,364,0.10111111111111111,company_wave,,spread_rank,
,364,0.10111111111111111,company_wave,,sub,
,358,0.09944444444444445,company_wave,,relative_shock,
,358,0.09944444444444445,company_wave,,signed_spread,
,357,0.09916666666666667,company_wave,,mean_reversion_gate,
,357,0.09916666666666667,company_wave,,mul,
,357,0.09916666666666667,company_wave,,safe_div_clip,
,357,0.09916666666666667,company_wave,,zspread,
,1807,0.5019444444444444,company_wave,,,L2_typed_two_field_interaction
,1071,0.2975,company_wave,,,L4_factor_candidate_probe
,722,0.20055555555555554,company_wave,,,L3_state_conditioned_feature
