queue,field,formula_count
blueprint_pool,mark_index_basis_bps,6234
blueprint_pool,open_interest_last,6117
blueprint_pool,taker_buy_sell_volume_ratio_last,4478
blueprint_pool,trade_quote_volume,3600
blueprint_pool,funding_rate_state_last_ffill_8h,3600
blueprint_pool,rolling_coverage_168h,3576
blueprint_pool,index_close,2458
blueprint_pool,mark_close,2249
blueprint_pool,sqrt_listing_age_days,1800
blueprint_pool,premium_close_bps,1776
blueprint_pool,trade_return_24h,1580
blueprint_pool,global_long_short_account_ratio_last,1317
blueprint_pool,global_long_short_account_ratio_mean,1317
blueprint_pool,realized_vol_24h,1317
blueprint_pool,top_long_short_account_ratio_last,891
blueprint_pool,open_interest_value_last,888
blueprint_pool,realized_vol_72h,888
blueprint_pool,top_long_short_position_ratio_last,878
blueprint_pool,open_interest_change_24h,878
blueprint_pool,oi_x_price_move_24h,878
blueprint_pool,realized_vol_168h,878
blueprint_pool,trade_return_1h,702
blueprint_pool,trade_close,702
blueprint_pool,raw_latent_state_id,702
blueprint_pool,liquidity_rank_active_universe,702
materialization_queue,mark_index_basis_bps,1736
materialization_queue,open_interest_last,1296
materialization_queue,rolling_coverage_168h,1098
materialization_queue,premium_close_bps,878
materialization_queue,taker_buy_sell_volume_ratio_last,857
materialization_queue,trade_quote_volume,857
materialization_queue,funding_rate_state_last_ffill_8h,857
materialization_queue,sqrt_listing_age_days,857
materialization_queue,global_long_short_account_ratio_last,439
materialization_queue,global_long_short_account_ratio_mean,439
materialization_queue,open_interest_value_last,439
materialization_queue,realized_vol_24h,439
materialization_queue,realized_vol_72h,439
materialization_queue,trade_return_1h,351
materialization_queue,trade_return_24h,351
materialization_queue,raw_latent_state_id,351
materialization_queue,liquidity_rank_active_universe,351
materialization_queue,trade_close,241
materialization_queue,index_close,131
materialization_queue,top_long_short_account_ratio_last,65
materialization_queue,open_interest_change_24h,65
materialization_queue,realized_vol_168h,65
company_wave,mark_index_basis_bps,1394
company_wave,open_interest_last,953
company_wave,taker_buy_sell_volume_ratio_last,514
company_wave,trade_quote_volume,514
company_wave,rolling_coverage_168h,514
company_wave,funding_rate_state_last_ffill_8h,514
company_wave,sqrt_listing_age_days,514
company_wave,global_long_short_account_ratio_last,439
company_wave,realized_vol_24h,439
company_wave,trade_return_1h,351
company_wave,raw_latent_state_id,351
company_wave,premium_close_bps,255
company_wave,trade_return_24h,214
company_wave,liquidity_rank_active_universe,214
company_wave,global_long_short_account_ratio_mean,126
company_wave,open_interest_value_last,126
company_wave,realized_vol_72h,126
