control_id,expression,control_type,expected_blocker,decision
a7v3_no_agg_mask_control,Rank(agg_flow_imbalance_notional),missing_required_mask,missing_required_agg_mask,BLOCKED_EXPECTED_CONTROL
a7v3_zero_fill_core12_rank_control,CrossSymbolRank(ZeroFill(agg_flow_imbalance_notional)),forbidden_zero_fill,zero_fill_allowed,BLOCKED_EXPECTED_CONTROL
a7v3_same_hour_execution_lag0_control,Rank(agg_notional),forbidden_timing,same_hour_or_future_timing_risk,BLOCKED_EXPECTED_CONTROL
a7v3_fwd_ret_input_control,Rank(fwd_ret_12),forbidden_label_input,forbidden_source_fields,BLOCKED_EXPECTED_CONTROL
a7v3_funding_packaging_control,"Mul(Rank(agg_flow_imbalance_notional),ZScore(latest_known_funding_rate))",funding_unrestricted_packaging,funding_must_remain_baseline_or_control,BLOCKED_EXPECTED_CONTROL
