derived_feature_id,production_family,base_fields,base_field_families,transform,window_hours,requires_agg_features_available_mask,feature_available_lag_bars,cross_symbol_scope,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed
Decay_4h__agg_trade_count_le_100,rolling_self_reproduction,agg_trade_count_le_100,activity_liquidity,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_underlying_trade_count,rolling_self_reproduction,agg_underlying_trade_count,activity_liquidity,Decay,4,True,4,same_symbol,False,False,False
Decay_8h__agg_avg_agg_trade_notional,rolling_self_reproduction,agg_avg_agg_trade_notional,activity_liquidity,Decay,8,True,8,same_symbol,False,False,False
Decay_8h__agg_avg_underlying_trade_notional,rolling_self_reproduction,agg_avg_underlying_trade_notional,activity_liquidity,Decay,8,True,8,same_symbol,False,False,False
Decay_8h__agg_max_trade_notional,rolling_self_reproduction,agg_max_trade_notional,activity_liquidity,Decay,8,True,8,same_symbol,False,False,False
Decay_4h__agg_btcusdt_flow_imbalance_4h,rolling_self_reproduction,agg_btcusdt_flow_imbalance_4h,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_cross_symbol_large_notional_share,rolling_self_reproduction,agg_cross_symbol_large_notional_share,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_cross_symbol_notional_share,rolling_self_reproduction,agg_cross_symbol_notional_share,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_cross_symbol_signed_flow_share,rolling_self_reproduction,agg_cross_symbol_signed_flow_share,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_ethusdt_flow_imbalance_4h,rolling_self_reproduction,agg_ethusdt_flow_imbalance_4h,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
Decay_4h__agg_flow_minus_btcusdt_4h,rolling_self_reproduction,agg_flow_minus_btcusdt_4h,cross_symbol,Decay,4,True,4,same_symbol,False,False,False
