candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_z2_materialization,preflight_decision,shared_pool_stage,control_modes,static_valid,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,error,selected_by_z2r,was_z1_selected
a7al2z1_902f31baa5005418,"Sub(Rank(Mean(premium_close_bps,168)),Rank(Mean(funding_rate,168)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|premium_close_bps,Mean|Rank|Sub,168,skeleton-612ffe194eccb811,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|premium_close_bps::Mean|Rank|Sub::168,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.21679894966309948,0.9636209485199515,True,-0.7600806451612904,0.9291666666666666,,True,False
a7al2z1_b7d8223ba0236850,"Sub(Rank(Mean(mark_index_basis_bps,168)),Rank(Mean(funding_rate,168)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|mark_index_basis_bps,Mean|Rank|Sub,168,skeleton-612ffe194eccb811,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|mark_index_basis_bps::Mean|Rank|Sub::168,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.2171076099881094,0.9686908103420734,True,-0.9083333333333333,0.9315476190476191,,True,False
a7al2z1_d0cb162ee47ff62d,"Sub(Rank(Mean(mark_trade_basis_bps,336)),Rank(Mean(funding_rate,336)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|mark_trade_basis_bps,Mean|Rank|Sub,336,skeleton-612ffe194eccb811,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|mark_trade_basis_bps::Mean|Rank|Sub::336,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9708581054300436,0.9899932638626644,True,-0.9895833333333334,0.9895833333333334,,True,False
a7al2z1_e2abe5031d2b5181,"Sub(Rank(Mean(mark_index_basis_bps,336)),Rank(Mean(funding_rate,336)))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium|funding,funding_rate|mark_index_basis_bps,Mean|Rank|Sub,336,skeleton-612ffe194eccb811,a7al2z1::Z0_funding_basis_premium_dislocation::funding_rate|mark_index_basis_bps::Mean|Rank|Sub::336,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9704191438763377,0.9680532027973742,True,-0.96875,0.9270833333333333,,True,False
a7al2z1_2877ae50ae09b29b,"Rank(Abs(ZScore(Mean(premium_close_bps,24))))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium,premium_close_bps,Abs|Mean|Rank|ZScore,24,skeleton-6ebd7d4c1e06c9bc,a7al2z1::Z0_funding_basis_premium_dislocation::premium_close_bps::Abs|Mean|Rank|ZScore::24,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.997816091954023,1.0,True,0.010416666666666666,1.0,,True,False
a7al2z1_2d8189ddb782e0f0,"Rank(Abs(ZScore(Mean(mark_index_basis_bps,336))))",Z0_funding_basis_premium_dislocation,a7al2z1_broader_non_oi_dry_generation,basis_premium,mark_index_basis_bps,Abs|Mean|Rank|ZScore,336,skeleton-6ebd7d4c1e06c9bc,a7al2z1::Z0_funding_basis_premium_dislocation::mark_index_basis_bps::Abs|Mean|Rank|ZScore::336,True,True,True,True,False,,dry_generated_non_oi,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9978091557669441,1.0,True,0.010416666666666666,1.0,,True,False
a7al2z1_086296df472ad4ae,"Neg(Rank(Delta(index_close,168)))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,index_close,Delta|Neg|Rank,168,skeleton-0e746cb1116b151b,a7al2z1::Z1_price_range_volatility_structure::index_close::Delta|Neg|Rank::168,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9904122076892589,1.0,True,-1.0,-0.010416666666666666,,True,True
a7al2z1_18a394084ddac9b5,"Mul(Rank(Mean(Sub(mark_high,mark_low),24)),Neg(Rank(Delta(trade_close,24))))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price|range,mark_high|mark_low|trade_close,Delta|Mean|Mul|Neg|Rank|Sub,24,skeleton-237f4484d8782cda,a7al2z1::Z1_price_range_volatility_structure::mark_high|mark_low|trade_close::Delta|Mean|Mul|Neg|Rank|Sub::24,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9981529924692826,1.0,True,-1.0,-0.00010850694444444444,,True,True
a7al2z1_066701faa05eebbc,"Mul(Winsor(ZScore(Delta(trade_close,72))),Neg(Winsor(ZScore(Delta(mark_close,72)))))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,mark_close|trade_close,Delta|Mul|Neg|Winsor|ZScore,72,skeleton-2f7931a1701c8dd4,a7al2z1::Z1_price_range_volatility_structure::mark_close|trade_close::Delta|Mul|Neg|Winsor|ZScore::72,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9958699960364645,1.0,True,-25.0,9.008982093764468,,True,True
a7al2z1_1919cb4f0227005e,"Rank(Delta(mark_close,72))",Z1_price_range_volatility_structure,a7al2z1_broader_non_oi_dry_generation,price,mark_close,Delta|Rank,72,skeleton-377d45dadd905908,a7al2z1::Z1_price_range_volatility_structure::mark_close::Delta|Rank::72,True,True,True,True,True,,selected_for_future_non_oi_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9958699960364645,1.0,True,0.010416666666666666,1.0,,True,True
