cluster_id,expression,orientation,train_ic_mean,horizon,object
crypto_a4_1h_001,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",-1.0,-0.01812646070694824,6,B0_Core4
crypto_a4_1h_002,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",-1.0,-0.02631438603681827,12,B0_Core4
crypto_a4_1h_003,"Mul(Rank(mark_minus_index),ZScore(funding_rate_persistence_3))",-1.0,-0.02078150611835817,6,B0_Core4
crypto_a4_1h_004,"Mul(Rank(hl_range),ZScore(latest_known_funding_rate))",-1.0,-0.03929535157887738,12,B0_Core4
funding_only_h6,ZScore(latest_known_funding_rate),-1.0,-0.019866734694312303,6,B1_funding_only
funding_only_h12,ZScore(latest_known_funding_rate),-1.0,-0.028380368809666306,12,B1_funding_only
funding_persistence_h6,ZScore(funding_rate_persistence_3),-1.0,-0.015508350205716953,6,B1_funding_only
funding_persistence_h12,ZScore(funding_rate_persistence_3),-1.0,-0.025175257543557955,12,B1_funding_only
price_ret12_h6,Rank(ret_12),-1.0,-0.0034287863336102758,6,B2_price_only
price_ret12_h12,Rank(ret_12),1.0,0.00750015766894653,12,B2_price_only
price_hl_h12,Rank(hl_range),-1.0,-0.04903430856493247,12,B2_price_only
basis_mark_ratio_h12,Rank(mark_index_ratio),-1.0,-0.015980759335905065,12,B3_basis_only
basis_mark_minus_h6,Rank(mark_minus_index),-1.0,-0.006509226029341921,6,B3_basis_only
price_x_funding_h6,"Mul(Rank(ret_12),ZScore(latest_known_funding_rate))",-1.0,-0.01812646070694824,6,B4_price_x_funding
price_x_funding_h12,"Mul(Rank(hl_range),ZScore(latest_known_funding_rate))",-1.0,-0.03929535157887738,12,B4_price_x_funding
basis_x_funding_h12,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",-1.0,-0.02631438603681827,12,B5_basis_x_funding
basis_x_funding_h6,"Mul(Rank(mark_minus_index),ZScore(funding_rate_persistence_3))",-1.0,-0.02078150611835817,6,B5_basis_x_funding
