signal_name,field_family,source_column,direction,label_horizon,valid_rows,valid_row_share,n_dates,avg_n_obs,mean_ic,ic_tstat,positive_ic_rate,mean_decile_spread,decile_spread_tstat,positive_spread_rate
mark_basis_okx_minus_binance,basis,mark_basis_bps_okx_minus_binance,1.0,1h,21907,0.9988145716500251,102,212.6764705882353,0.02581427613781265,3.110339567574646,0.5882352941176471,0.0004724573694720381,1.0641505074078903,0.5882352941176471
mark_basis_okx_minus_binance,basis,mark_basis_bps_okx_minus_binance,1.0,4h,21907,0.9988145716500251,99,212.63636363636363,0.023894461168014948,2.7359544249288548,0.5959595959595959,0.0007631873855348821,1.2042448596407502,0.5252525252525253
mark_basis_okx_minus_binance,basis,mark_basis_bps_okx_minus_binance,1.0,12h,21907,0.9988145716500251,91,212.5164835164835,0.006337813381536231,0.6032392658586337,0.5164835164835165,0.0012925065173085433,1.2036090530237296,0.4945054945054945
mark_basis_binance_minus_okx,basis,mark_basis_bps_okx_minus_binance,-1.0,1h,21907,0.9988145716500251,102,212.6764705882353,-0.02581427613781265,-3.110339567574646,0.4117647058823529,-0.0004724573694720381,-1.0641505074078903,0.4117647058823529
mark_basis_binance_minus_okx,basis,mark_basis_bps_okx_minus_binance,-1.0,4h,21907,0.9988145716500251,99,212.63636363636363,-0.023894461168014948,-2.7359544249288548,0.40404040404040403,-0.0007631873855348821,-1.2042448596407502,0.47474747474747475
mark_basis_binance_minus_okx,basis,mark_basis_bps_okx_minus_binance,-1.0,12h,21907,0.9988145716500251,91,212.5164835164835,-0.006337813381536231,-0.6032392658586337,0.4835164835164835,-0.0012925065173085433,-1.2036090530237296,0.5054945054945055
index_spread_okx_minus_binance,index_spread,index_spread_bps_okx_minus_binance,1.0,1h,21901,0.9985410112615694,102,212.61764705882354,0.0034040446639805057,0.510210219029458,0.5294117647058824,0.00022538281164907956,0.565266353163032,0.5588235294117647
index_spread_okx_minus_binance,index_spread,index_spread_bps_okx_minus_binance,1.0,4h,21901,0.9985410112615694,99,212.57575757575756,0.00520993742144834,0.7167952218683328,0.5050505050505051,0.000414368853700625,0.6463326697833226,0.5454545454545454
index_spread_okx_minus_binance,index_spread,index_spread_bps_okx_minus_binance,1.0,12h,21901,0.9985410112615694,91,212.45054945054946,-0.008981200386356426,-1.200287005737595,0.45054945054945056,-0.00023929557378588032,-0.23154985457132568,0.5274725274725275
index_spread_binance_minus_okx,index_spread,index_spread_bps_okx_minus_binance,-1.0,1h,21901,0.9985410112615694,102,212.61764705882354,-0.0034040446639805057,-0.510210219029458,0.47058823529411764,-0.00022538281164907956,-0.565266353163032,0.4411764705882353
index_spread_binance_minus_okx,index_spread,index_spread_bps_okx_minus_binance,-1.0,4h,21901,0.9985410112615694,99,212.57575757575756,-0.00520993742144834,-0.7167952218683328,0.494949494949495,-0.000414368853700625,-0.6463326697833226,0.45454545454545453
index_spread_binance_minus_okx,index_spread,index_spread_bps_okx_minus_binance,-1.0,12h,21901,0.9985410112615694,91,212.45054945054946,0.008981200386356426,1.200287005737595,0.5494505494505495,0.00023929557378588032,0.23154985457132568,0.4725274725274725
funding_spread_okx_minus_binance,funding,funding_spread_okx_minus_binance,1.0,1h,4436,0.20225231386495235,25,177.44,-0.004413307909720193,-0.29379358267686007,0.52,0.00026159371116865707,0.29560388469825555,0.52
funding_spread_okx_minus_binance,funding,funding_spread_okx_minus_binance,1.0,4h,4436,0.20225231386495235,24,178.83333333333334,0.022329430492096514,1.412403931433648,0.625,0.0015247237048444412,1.0110349404623455,0.5416666666666666
funding_spread_okx_minus_binance,funding,funding_spread_okx_minus_binance,1.0,12h,4436,0.20225231386495235,22,178.8181818181818,-0.019954520464547397,-1.2520431183449205,0.4090909090909091,0.0010764094146351352,0.4027520850645584,0.45454545454545453
funding_spread_binance_minus_okx,funding,funding_spread_okx_minus_binance,-1.0,1h,4436,0.20225231386495235,25,177.44,0.004413307909720193,0.29379358267686007,0.48,-0.00026159371116865707,-0.29560388469825555,0.48
funding_spread_binance_minus_okx,funding,funding_spread_okx_minus_binance,-1.0,4h,4436,0.20225231386495235,24,178.83333333333334,-0.022329430492096514,-1.412403931433648,0.375,-0.0015247237048444412,-1.0110349404623455,0.4583333333333333
funding_spread_binance_minus_okx,funding,funding_spread_okx_minus_binance,-1.0,12h,4436,0.20225231386495235,22,178.8181818181818,0.019954520464547397,1.2520431183449205,0.5909090909090909,-0.0010764094146351352,-0.4027520850645584,0.5454545454545454
okx_internal_basis,basis,okx_internal_mark_index_basis_bps,1.0,1h,21875,0.9973555829115944,102,212.36274509803923,-0.005248956882749483,-0.5629259250487958,0.4215686274509804,0.00010034080270682842,0.21938402394080947,0.49019607843137253
okx_internal_basis,basis,okx_internal_mark_index_basis_bps,1.0,4h,21875,0.9973555829115944,99,212.31313131313132,0.00802580285182998,0.9358557123437625,0.5555555555555556,0.0007546098109317741,1.0601902081447343,0.5555555555555556
okx_internal_basis,basis,okx_internal_mark_index_basis_bps,1.0,12h,21875,0.9973555829115944,91,212.16483516483515,0.027716816012751628,3.1767522153487087,0.6923076923076923,0.0026181238215952324,2.5042377550272565,0.5824175824175825
binance_internal_basis,basis,binance_internal_mark_index_basis_bps,1.0,1h,21933,1.0,102,212.9313725490196,-0.021386316857222705,-2.42610546352004,0.4117647058823529,8.173768605569724e-05,0.18889961416632073,0.5
binance_internal_basis,basis,binance_internal_mark_index_basis_bps,1.0,4h,21933,1.0,99,212.8989898989899,-0.004911360576867272,-0.5751629961174299,0.5050505050505051,0.00029176390066972674,0.45014125090505264,0.5252525252525253
binance_internal_basis,basis,binance_internal_mark_index_basis_bps,1.0,12h,21933,1.0,91,212.8021978021978,0.023176274852777852,2.8008019156054966,0.5824175824175825,0.0018180076390035967,1.949412611789227,0.5604395604395604
