panel_id,arm,economic_hypothesis,strict_rows,exact_identities,behaviour_clusters,development_survivors
bbo_micro,GLOBAL_TOP_K_CONTROL,bbo_quote_imbalance,39,39,39,0
bbo_micro,GLOBAL_TOP_K_CONTROL,bbo_spread_state,48,48,48,0
bbo_micro,GLOBAL_TOP_K_CONTROL,bbo_top_level_liquidity,41,41,41,0
bbo_micro,STRATIFIED_ADMISSION,bbo_quote_imbalance,10,10,10,0
bbo_micro,STRATIFIED_ADMISSION,bbo_spread_state,9,9,9,0
bbo_micro,STRATIFIED_ADMISSION,bbo_top_level_liquidity,13,13,13,0
main,GLOBAL_TOP_K_CONTROL,aggressive_flow_continuation,34,34,32,0
main,GLOBAL_TOP_K_CONTROL,aggressive_flow_exhaustion,70,70,65,0
main,GLOBAL_TOP_K_CONTROL,basis_convergence,9,9,9,0
main,GLOBAL_TOP_K_CONTROL,basis_dislocation_reversal,5,5,5,0
main,GLOBAL_TOP_K_CONTROL,basis_funding_divergence,10,10,10,0
main,GLOBAL_TOP_K_CONTROL,funding_change_repricing,3,3,3,0
main,GLOBAL_TOP_K_CONTROL,funding_event_age_decay,1,1,1,0
main,GLOBAL_TOP_K_CONTROL,funding_level_carry,1,1,1,0
main,GLOBAL_TOP_K_CONTROL,funding_surprise_reversal,1,1,1,0
main,GLOBAL_TOP_K_CONTROL,mark_index_convergence,33,33,30,0
main,GLOBAL_TOP_K_CONTROL,mark_index_dislocation,39,39,39,0
main,GLOBAL_TOP_K_CONTROL,market_confirmation,43,43,43,0
main,GLOBAL_TOP_K_CONTROL,market_decoupling,29,29,28,0
main,GLOBAL_TOP_K_CONTROL,new_mechanism_exile,16,16,14,0
main,GLOBAL_TOP_K_CONTROL,oi_contraction_unwind,51,51,46,0
main,GLOBAL_TOP_K_CONTROL,oi_expansion_confirmation,34,34,30,0
main,GLOBAL_TOP_K_CONTROL,oi_price_divergence,41,41,41,0
main,GLOBAL_TOP_K_CONTROL,orthogonal_flow,15,15,14,0
main,GLOBAL_TOP_K_CONTROL,orthogonal_session,8,8,8,0
main,GLOBAL_TOP_K_CONTROL,orthogonal_volatility,12,12,12,0
main,GLOBAL_TOP_K_CONTROL,path_shape_reversal,7,7,7,0
main,GLOBAL_TOP_K_CONTROL,relative_strength,43,43,43,0
main,GLOBAL_TOP_K_CONTROL,session_cross_section,9,9,9,0
main,GLOBAL_TOP_K_CONTROL,session_transition,12,12,11,0
main,GLOBAL_TOP_K_CONTROL,state_duration,15,15,15,0
main,GLOBAL_TOP_K_CONTROL,state_persistence,11,11,11,0
main,GLOBAL_TOP_K_CONTROL,state_transition,20,20,17,0
main,GLOBAL_TOP_K_CONTROL,volatility_burst_continuation,92,92,80,0
main,GLOBAL_TOP_K_CONTROL,volatility_compression_breakout,91,91,83,0
main,GLOBAL_TOP_K_CONTROL,volatility_mean_reversion,93,93,84,0
main,STRATIFIED_ADMISSION,aggressive_flow_continuation,40,40,37,0
main,STRATIFIED_ADMISSION,aggressive_flow_exhaustion,53,53,42,0
main,STRATIFIED_ADMISSION,basis_convergence,15,15,15,0
main,STRATIFIED_ADMISSION,basis_dislocation_reversal,18,18,18,0
main,STRATIFIED_ADMISSION,basis_funding_divergence,18,18,17,0
main,STRATIFIED_ADMISSION,funding_change_repricing,18,18,18,0
main,STRATIFIED_ADMISSION,funding_event_age_decay,9,9,9,0
main,STRATIFIED_ADMISSION,funding_level_carry,11,11,11,0
main,STRATIFIED_ADMISSION,funding_surprise_reversal,9,9,9,0
main,STRATIFIED_ADMISSION,mark_index_convergence,42,42,40,0
main,STRATIFIED_ADMISSION,mark_index_dislocation,35,35,34,0
main,STRATIFIED_ADMISSION,market_confirmation,33,33,33,0
main,STRATIFIED_ADMISSION,market_decoupling,25,25,25,0
main,STRATIFIED_ADMISSION,new_mechanism_exile,20,20,20,0
main,STRATIFIED_ADMISSION,oi_contraction_unwind,25,25,25,0
main,STRATIFIED_ADMISSION,oi_expansion_confirmation,27,27,27,0
main,STRATIFIED_ADMISSION,oi_price_divergence,28,28,28,0
main,STRATIFIED_ADMISSION,orthogonal_flow,28,28,27,0
main,STRATIFIED_ADMISSION,orthogonal_session,18,18,18,0
main,STRATIFIED_ADMISSION,orthogonal_volatility,18,18,18,0
main,STRATIFIED_ADMISSION,path_shape_reversal,30,30,29,0
main,STRATIFIED_ADMISSION,relative_strength,33,33,33,0
main,STRATIFIED_ADMISSION,session_cross_section,39,39,38,0
main,STRATIFIED_ADMISSION,session_transition,53,53,46,0
main,STRATIFIED_ADMISSION,state_duration,19,19,19,0
main,STRATIFIED_ADMISSION,state_persistence,17,17,17,0
main,STRATIFIED_ADMISSION,state_transition,18,18,16,0
main,STRATIFIED_ADMISSION,volatility_burst_continuation,30,30,29,0
main,STRATIFIED_ADMISSION,volatility_compression_breakout,32,32,32,0
main,STRATIFIED_ADMISSION,volatility_mean_reversion,32,32,31,0
