second_pass_family,left_field,left_transform,operator,right_field,right_transform,blueprint_id
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_2h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,Mul,median_quote_volume_168h,delta_8h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_Mul_median_quote_volume_168h_delta_8h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,Sub,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_Sub_median_quote_volume_168h_zscore_72h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_4h,SafeDiv,median_quote_volume_168h,delta_2h,core16ke_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_4h,Mul,median_quote_volume_168h,delta_8h,core16ke_H2_kline_taker_buy_quote_share_delta_4h_Mul_median_quote_volume_168h_delta_8h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_4h,Sub,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_delta_4h_Sub_median_quote_volume_168h_zscore_72h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_8h,SafeDiv,median_quote_volume_168h,delta_2h,core16ke_H2_kline_taker_buy_quote_share_delta_8h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_8h,Mul,median_quote_volume_168h,delta_8h,core16ke_H2_kline_taker_buy_quote_share_delta_8h_Mul_median_quote_volume_168h_delta_8h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_8h,Sub,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_delta_8h_Sub_median_quote_volume_168h_zscore_72h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,zscore_72h,SafeDiv,median_quote_volume_168h,delta_2h,core16ke_H2_kline_taker_buy_quote_share_zscore_72h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,zscore_72h,Mul,median_quote_volume_168h,delta_8h,core16ke_H2_kline_taker_buy_quote_share_zscore_72h_Mul_median_quote_volume_168h_delta_8h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,zscore_72h,Sub,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_zscore_72h_Sub_median_quote_volume_168h_zscore_72h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,shock_24h,SafeDiv,median_quote_volume_168h,delta_2h,core16ke_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,shock_24h,Mul,median_quote_volume_168h,delta_8h,core16ke_H2_kline_taker_buy_quote_share_shock_24h_Mul_median_quote_volume_168h_delta_8h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,shock_24h,Sub,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_shock_24h_Sub_median_quote_volume_168h_zscore_72h
