field_name,field_group,non_null_rate_when_available,finite_rate_when_available,min,max
agg_trade_count,activity_liquidity,1.0,1.0,2659.0,2462344.0
agg_underlying_trade_count,activity_liquidity,1.0,1.0,9717.0,4362437.0
agg_quantity,activity_liquidity,1.0,1.0,358.475,23011946.61
agg_notional,activity_liquidity,1.0,1.0,11146542.4801,14480886317.8337
agg_buy_agg_trade_count,flow,1.0,1.0,1401.0,1229880.0
agg_sell_agg_trade_count,flow,1.0,1.0,1153.0,1232464.0
agg_buy_underlying_trade_count,flow,1.0,1.0,4957.0,2128289.0
agg_sell_underlying_trade_count,flow,1.0,1.0,4427.0,2234148.0
agg_buy_quantity,flow,1.0,1.0,186.63,12216376.61
agg_sell_quantity,flow,1.0,1.0,144.183,10795570.0
agg_buy_notional,flow,1.0,1.0,4449307.384,7231264694.0701
agg_sell_notional,flow,1.0,1.0,4981416.2984,7713936346.1879
agg_signed_aggressor_quantity,flow,1.0,1.0,-2525893.94,1420806.6099999999
agg_signed_aggressor_notional,flow,1.0,1.0,-1088494689.81319,1179386032.7297
agg_trade_count_le_100,activity_liquidity,1.0,1.0,0.0,1068350.0
agg_trade_count_100_1k,activity_liquidity,1.0,1.0,768.0,1015619.0
agg_trade_count_1k_10k,activity_liquidity,1.0,1.0,402.0,467169.0
agg_trade_count_10k_100k,activity_liquidity,1.0,1.0,181.0,239032.0
agg_trade_count_100k_1m,activity_liquidity,1.0,1.0,0.0,29062.0
agg_trade_count_gt_1m,activity_liquidity,1.0,1.0,0.0,962.0
agg_notional_le_100,activity_liquidity,1.0,1.0,0.0,39452863.08825
agg_notional_100_1k,activity_liquidity,1.0,1.0,282318.027,285155226.266
agg_notional_1k_10k,activity_liquidity,1.0,1.0,1395768.7404,1661716821.20253
agg_notional_10k_100k,activity_liquidity,1.0,1.0,4253474.897,7369034255.7848
agg_notional_100k_1m,activity_liquidity,1.0,1.0,0.0,6091584071.23593
agg_notional_gt_1m,activity_liquidity,1.0,1.0,0.0,3118360250.0092998
agg_first_agg_trade_id,other,1.0,1.0,513967159.0,3273491985.0
agg_last_agg_trade_id,other,1.0,1.0,514012406.0,3273510277.0
agg_first_transact_time_ms,other,1.0,1.0,1704067200037.0,1777590000589.0
agg_last_transact_time_ms,other,1.0,1.0,1704070798826.0,1777593599783.0
agg_high_price,price_microstructure,1.0,1.0,76.75,126208.5
agg_low_price,price_microstructure,1.0,1.0,67.29,125185.1
agg_price_std,price_microstructure,1.0,1.0,0.026766340218152874,2922.600803899473
agg_max_trade_notional,activity_liquidity,1.0,1.0,58660.0,237588166.0
agg_open_price,price_microstructure,1.0,1.0,75.42,125986.1
agg_close_price,price_microstructure,1.0,1.0,75.42,125986.0
agg_vwap,price_microstructure,1.0,1.0,72.86055596412015,125688.53539385129
agg_buy_vwap,price_microstructure,1.0,1.0,72.9350166770291,125720.17505067048
agg_sell_vwap,price_microstructure,1.0,1.0,72.79040771464504,125641.24915333533
agg_avg_agg_trade_notional,activity_liquidity,1.0,1.0,1216.4830306521378,119450.86223098534
agg_avg_underlying_trade_notional,activity_liquidity,1.0,1.0,526.6995514799734,21077.515993404326
agg_volume_imbalance,flow,1.0,1.0,-0.4620500230879801,0.538215030942662
agg_buy_sell_notional_ratio,flow,1.0,1.0,0.3679422512342099,3.331020137105562
agg_price_range_bps,price_microstructure,1.0,1.0,5.237391183021302,3485.781358658863
agg_close_to_open_bps,price_microstructure,1.0,1.0,-1157.6844186071223,1183.3688699360346
agg_large_trade_count_100k_plus,large_trade,1.0,1.0,0.0,29689.0
agg_large_notional_100k_plus,large_trade,1.0,1.0,0.0,7491359986.796531
agg_large_trade_count_ratio_100k_plus,large_trade,1.0,1.0,0.0,0.09137401177657353
agg_large_notional_ratio_100k_plus,large_trade,1.0,1.0,0.0,0.938963275115067
agg_flow_imbalance_qty,flow,1.0,1.0,-0.46223227139356243,0.5383240262713197
agg_flow_imbalance_notional,flow,1.0,1.0,-0.4620500230879801,0.538215030942662
agg_buy_notional_share,flow,1.0,1.0,0.26897498845601,0.7691075154713309
agg_sell_notional_share,flow,1.0,1.0,0.230892484528669,0.73102501154399
agg_large_notional_share_100k_plus,large_trade,1.0,1.0,0.0,0.938963275115067
agg_large_count_share_100k_plus,large_trade,1.0,1.0,0.0,0.09137401177657353
agg_vwap_close_bps,price_microstructure,1.0,1.0,-574.1808375575674,634.7417659542232
agg_buy_sell_vwap_spread_bps,price_microstructure,1.0,1.0,-47.888804178801706,80.20422309850339
agg_avg_underlying_trades_per_agg,other,1.0,1.0,1.5435208591405754,9.512890890749993
agg_notional_sum_4h,rolling,0.9999510379945162,1.0,55744056.134002835,28675684371.11489
agg_quantity_sum_4h,rolling,0.9999510379945162,1.0,1985.1259999999893,38634015.0
agg_signed_notional_sum_4h,rolling,0.9999510379945162,1.0,-2194597080.872599,1400008995.0368006
agg_signed_quantity_sum_4h,rolling,0.9999510379945162,1.0,-2536170.2900000005,1711891.5299999993
agg_flow_imbalance_notional_4h,rolling,0.9999510379945162,1.0,-0.28396018938815554,0.30845792311045517
agg_large_notional_sum_4h,rolling,0.9999510379945162,1.0,1098700.9929999702,15533930175.740402
agg_large_notional_share_4h,rolling,0.9999510379945162,1.0,0.012474137427993066,0.8476996768689752
agg_trade_count_sum_4h,rolling,0.9999510379945162,1.0,13136.0,4323706.0
agg_avg_trade_notional_4h,rolling,0.9999510379945162,1.0,1267.6663690239222,45121.23433968581
agg_price_range_bps_max_4h,rolling,0.9999510379945162,1.0,9.711675034233146,3485.781358658863
agg_close_to_open_bps_sum_4h,rolling,0.9999510379945162,1.0,-1579.494670142603,2014.0747241171373
agg_notional_sum_24h,rolling,0.9994614179396788,1.0,575039301.8531,74220878837.223
agg_quantity_sum_24h,rolling,0.9994614179396788,1.0,23482.881999999998,113027551.13000001
agg_signed_notional_sum_24h,rolling,0.9994614179396788,1.0,-4395405871.577,2078598212.7478
agg_signed_quantity_sum_24h,rolling,0.9994614179396788,1.0,-4640819.930000001,2157649.039999999
agg_flow_imbalance_notional_24h,rolling,0.9994614179396788,1.0,-0.1582300923063611,0.09125218523195353
agg_large_notional_sum_24h,rolling,0.9994614179396788,1.0,31707984.1,38374656892.792
agg_large_notional_share_24h,rolling,0.9994614179396788,1.0,0.03660706257637591,0.7110073216565639
agg_trade_count_sum_24h,rolling,0.9994614179396788,1.0,123815.0,10820037.0
agg_avg_trade_notional_24h,rolling,0.9994614179396788,1.0,1485.9715431632726,19242.76496478907
agg_price_range_bps_max_24h,rolling,0.9994614179396788,1.0,22.52688503443584,3485.781358658863
