subgraph_id,expression,raw_inputs,candidate_roles,semantic_pairs,motifs,formula_gen_gate
sg_256738bffd9506f1,taker_buy_quote_volume,taker_buy_quote_volume,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_78d6f5b9acd92892,open_interest_last,open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_74cf2751de3b75b6,trade_count,trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_84e9d513e91e0776,open_interest_mean,open_interest_mean,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_938d63877a3bfa80,"Mean(taker_buy_quote_volume,4)",taker_buy_quote_volume,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_9882c7f0f588c6a0,"Mean(open_interest_last,4)",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_d8873141d3a6c570,"Mean(open_interest_last,8)",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_8aec27686cac5c3d,"Mean(taker_buy_quote_volume,8)",taker_buy_quote_volume,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_92ac72023cd18b98,"Mean(open_interest_last,24)",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_bb0e8ae4b97453a7,"Mean(taker_buy_quote_volume,24)",taker_buy_quote_volume,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_3fc5a7c5fc0eb75e,open_interest_value_last,open_interest_value_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_ee5af5ca29e10f40,"Delta(taker_buy_quote_volume,4)",taker_buy_quote_volume,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_84c8c8988f615da1,"ZScore(Mean(taker_buy_quote_volume,4))",taker_buy_quote_volume,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_ea7430c41a204a35,"ZScore(Mean(open_interest_last,4))",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_505dd7322878ec95,"Mean(trade_count,4)",trade_count,exploratory_signal_probe;role_mixed_allowed,liquidity_like;liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_e198e96b1ffa8649,"Delta(open_interest_last,24)",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_2c76ed10c74f42c3,"Delta(taker_buy_quote_volume,8)",taker_buy_quote_volume,exploratory_signal_probe;role_mixed_allowed,taker_flow_like;taker_flow_like|basis_premium_like;taker_flow_like|open_interest_like,flow_x_leverage;gated_sign;relative_shock;safe_div_abs;single;smooth_mul,diagnostic_or_repair_root_only
sg_384b8221a0d8163b,"Delta(open_interest_last,4)",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_baf96e112aecc3a1,"Delta(open_interest_last,8)",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_000688e0792b95b9,"ZScore(Mean(open_interest_last,24))",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
sg_f704cff818be7f9f,"ZScore(Mean(open_interest_last,8))",open_interest_last,exploratory_signal_probe;role_mixed_allowed,open_interest_like;open_interest_like|positioning_like;open_interest_like|price_like;taker_flow_like|open_interest_like,delta_x_divergence;flow_x_leverage;gated_sign;mean_reversion_gate;relative_shock;safe_div_abs;signed_spread;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only
