subgraph_id,subgraph_kind,expression,raw_inputs,candidate_roles,semantic_pairs,motifs,formula_gen_gate,pit_policy,role_policy
sg_942719e3eaeb6b7e,field_node,trade_close,trade_close,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_bf2a23c543a8666c,field_node,trade_return_1h,trade_return_1h,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_4291a22427e334b8,field_node,top_long_short_account_ratio_last,top_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_5ec44d1070bde14e,field_node,global_long_short_account_ratio_last,global_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_db02f17291a64217,field_node,global_long_short_account_ratio_mean,global_long_short_account_ratio_mean,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_3a07ca54de0856dd,field_node,trade_high,trade_high,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_5d37f1760eeff781,field_node,age_x_volatility,age_x_volatility,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_6652268ef12fea58,field_node,trade_low,trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_567959f213f08921,field_node,index_close,index_close,role_mixed_allowed,taker_flow_like|basis_premium_like,gated_sign;relative_shock;safe_div_abs;smooth_mul,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_9beb42873fa4276e,field_node,mark_close,mark_close,role_mixed_allowed,taker_flow_like|basis_premium_like,gated_sign;relative_shock;safe_div_abs;smooth_mul,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_d487d281559b3122,field_node,trade_return_24h,trade_return_24h,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_f47d93ffae40b208,field_node,mark_index_basis_bps,mark_index_basis_bps,role_mixed_allowed,taker_flow_like|basis_premium_like,gated_sign;relative_shock;safe_div_abs;smooth_mul,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_fd97299c93bc853d,field_node,mark_high,mark_high,role_mixed_allowed,taker_flow_like|basis_premium_like,gated_sign;relative_shock;safe_div_abs;smooth_mul,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_74d2f5404f501986,field_node,top_long_short_account_ratio_mean,top_long_short_account_ratio_mean,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_3a5809605bffdb88,field_node,mark_low,mark_low,role_mixed_allowed,taker_flow_like|basis_premium_like,gated_sign;relative_shock;safe_div_abs;smooth_mul,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_7529ad0e43640347,typed_transform_subgraph,"CSRank(Delta(open_interest_last,8))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_90e2651186d63932,typed_transform_subgraph,CSRank(open_interest_last),open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_91422ef79c9e4ecb,typed_transform_subgraph,"CSRank(Mean(open_interest_last,4))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_97fb2a4b821b861d,typed_transform_subgraph,"CSRank(Mean(open_interest_last,8))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_bb38b9c3cc0df28d,typed_transform_subgraph,"CSRank(Delta(open_interest_last,4))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_f03e3ee3e486dbdc,typed_transform_subgraph,"CSRank(ZScore(Mean(open_interest_last,4)))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_3830e951f7d1f6e5,typed_transform_subgraph,"Mean(trade_close,4)",trade_close,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_dc5c065706158f2d,typed_transform_subgraph,"Mean(trade_close,8)",trade_close,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_f7c7de8546a28b6b,typed_transform_subgraph,"Mean(trade_close,24)",trade_close,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_08f584b8e7b48d70,typed_transform_subgraph,"CSRank(ZScore(Mean(open_interest_last,8)))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_56b7487e255df927,typed_transform_subgraph,"CSRank(Mean(open_interest_last,24))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_8fd665f11dd66728,typed_transform_subgraph,"CSRank(ZScore(Mean(open_interest_last,24)))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_a5c3822bd648acc6,typed_transform_subgraph,"CSRank(Delta(open_interest_last,24))",open_interest_last,role_mixed_allowed,open_interest_like|positioning_like;open_interest_like|price_like,delta_x_divergence;signed_spread;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_863ddfb3b5426571,typed_transform_subgraph,"Mean(trade_return_1h,8)",trade_return_1h,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_bda2edc65f1dddae,typed_transform_subgraph,"Mean(trade_return_1h,24)",trade_return_1h,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_fd38f41d40a6419a,typed_transform_subgraph,"Mean(trade_return_1h,4)",trade_return_1h,role_mixed_allowed,open_interest_like|price_like,delta_x_divergence;mean_reversion_gate;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_148545e524901608,typed_transform_subgraph,"Mean(top_long_short_account_ratio_last,4)",top_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_1ca217487169ec85,typed_transform_subgraph,"Mean(global_long_short_account_ratio_last,8)",global_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_2e40b83f6f228b93,typed_transform_subgraph,"Mean(global_long_short_account_ratio_last,4)",global_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_680f5055f298bdd6,typed_transform_subgraph,"Mean(global_long_short_account_ratio_mean,8)",global_long_short_account_ratio_mean,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_683a34b97af636a5,typed_transform_subgraph,"Mean(top_long_short_account_ratio_last,8)",top_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_6f07454d3c4f3147,typed_transform_subgraph,"Mean(top_long_short_account_ratio_last,24)",top_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_839103ab34578d95,typed_transform_subgraph,"Mean(global_long_short_account_ratio_mean,4)",global_long_short_account_ratio_mean,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_a8e232d9904f5e6a,typed_transform_subgraph,"Mean(global_long_short_account_ratio_mean,24)",global_long_short_account_ratio_mean,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_e684d1a963cd3893,typed_transform_subgraph,"Mean(global_long_short_account_ratio_last,24)",global_long_short_account_ratio_last,role_mixed_allowed,open_interest_like|positioning_like,delta_x_divergence;safe_div_abs;signed_spread;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
sg_0a394bd7dc1bf2b4,typed_transform_subgraph,"Mean(trade_low,24)",trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;smooth_mul;spread_rank,feature_factory_reusable_subgraph,inherit_from_field_contract,role_enforced_no_label_feature
