feature,status,coverage_all,symbol_count_with_95pct,symbol_count_total,core12_coverage_pass,min_symbol_coverage,median_symbol_coverage
avg_trade_size_quote,available,0.9999520705521472,12,12,True,0.9999520705521472,0.9999520705521472
hl_range,available,1.0,12,12,True,1.0,1.0
mark_index_ratio,available,1.0,12,12,True,1.0,1.0
mark_minus_index,available,1.0,12,12,True,1.0,1.0
number_of_trades,available,1.0,12,12,True,1.0,1.0
premium_index,available,1.0,12,12,True,1.0,1.0
quote_asset_volume,available,1.0,12,12,True,1.0,1.0
quote_volume_mean_12,available,1.0,12,12,True,1.0,1.0
quote_volume_mean_24,available,1.0,12,12,True,1.0,1.0
realized_vol_12,available,0.9997124233128835,12,12,True,0.9997124233128835,0.9997124233128835
realized_vol_24,available,0.9994248466257669,12,12,True,0.9994248466257669,0.9994248466257669
realized_vol_6,available,0.9998562116564417,12,12,True,0.9998562116564417,0.9998562116564417
ret_12,available,0.9994248466257669,12,12,True,0.9994248466257669,0.9994248466257669
ret_24,available,0.9988496932515337,12,12,True,0.9988496932515337,0.9988496932515337
ret_3,available,0.9998562116564417,12,12,True,0.9998562116564417,0.9998562116564417
ret_6,available,0.9997124233128835,12,12,True,0.9997124233128835,0.9997124233128835
taker_imbalance,available,0.9999520705521472,12,12,True,0.9999520705521472,0.9999520705521472
