candidate_id,arm,family,object_type,expression,expr_hash,horizon,source_fields,source_field_families,static_gate_pass,static_gate_failures
k0_basis_premium_clean_000,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Rank(mark_index_ratio),Rank(ret_3))",f37b6018bef6cf4e,12,mark_index_ratio;ret_3,basis;price,True,
k0_basis_premium_clean_001,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(ZScore(mark_index_ratio),ZScore(ret_3))",15ae9084dc347d91,24,mark_index_ratio;ret_3,basis;price,True,
k0_basis_premium_clean_002,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Rank(mark_index_ratio),ZScore(ret_3))",1842437f89f2dccd,12,mark_index_ratio;ret_3,basis;price,True,
k0_basis_premium_clean_003,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(ZScore(mark_index_ratio),Rank(ret_3))",776e5635e62baad2,24,mark_index_ratio;ret_3,basis;price,True,
k0_basis_premium_clean_004,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_3)),ZScore(ret_6))",0787752dab11a2f8,12,mark_index_ratio;ret_3;ret_6,basis;price,True,
k0_basis_premium_clean_005,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_3)),Rank(ret_12))",366877eb9a8e9d8a,24,mark_index_ratio;ret_12;ret_3,basis;price,True,
k0_basis_premium_clean_006,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_3)),ZScore(ret_24))",75e0f1f9fe4c46de,12,mark_index_ratio;ret_24;ret_3,basis;price,True,
k0_basis_premium_clean_007,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_3)),Rank(realized_vol_12))",a124ef43ea3b1df0,24,mark_index_ratio;realized_vol_12;ret_3,basis;price;volatility,True,
k0_basis_premium_clean_008,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_3)),ZScore(realized_vol_24))",628999141d55c613,12,mark_index_ratio;realized_vol_24;ret_3,basis;price;volatility,True,
k0_basis_premium_clean_009,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_3)),Rank(hl_range))",da7f86f606b292b9,24,hl_range;mark_index_ratio;ret_3,basis;price;volatility,True,
k0_basis_premium_clean_010,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_3)),ZScore(quote_volume_mean_12))",4c9666d799171a89,12,mark_index_ratio;quote_volume_mean_12;ret_3,basis;liquidity;price,True,
k0_basis_premium_clean_011,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_3)),Rank(avg_trade_size_quote))",2d82d014755f2e1e,24,avg_trade_size_quote;mark_index_ratio;ret_3,basis;liquidity;price,True,
k0_basis_premium_clean_012,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Rank(mark_index_ratio),Rank(ret_6))",a5d4104ead23c9a2,12,mark_index_ratio;ret_6,basis;price,True,
k0_basis_premium_clean_013,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(ZScore(mark_index_ratio),ZScore(ret_6))",4cddf541178b8293,24,mark_index_ratio;ret_6,basis;price,True,
k0_basis_premium_clean_014,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Rank(mark_index_ratio),ZScore(ret_6))",8d51eda70118d138,12,mark_index_ratio;ret_6,basis;price,True,
k0_basis_premium_clean_015,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(ZScore(mark_index_ratio),Rank(ret_6))",1e9e9b7b9bd65cce,24,mark_index_ratio;ret_6,basis;price,True,
k0_basis_premium_clean_016,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_6)),Rank(ret_3))",3098fc67523af3c1,12,mark_index_ratio;ret_3;ret_6,basis;price,True,
k0_basis_premium_clean_017,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_6)),Rank(ret_12))",5ea868a2c332873b,24,mark_index_ratio;ret_12;ret_6,basis;price,True,
k0_basis_premium_clean_018,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_6)),ZScore(ret_24))",293e63437cd4b948,12,mark_index_ratio;ret_24;ret_6,basis;price,True,
k0_basis_premium_clean_019,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_6)),Rank(realized_vol_12))",1b3310ee2fac5c14,24,mark_index_ratio;realized_vol_12;ret_6,basis;price;volatility,True,
k0_basis_premium_clean_020,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_6)),ZScore(realized_vol_24))",9ef86e4d6eed3e90,12,mark_index_ratio;realized_vol_24;ret_6,basis;price;volatility,True,
k0_basis_premium_clean_021,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_6)),Rank(hl_range))",f71b815fb7d71ba8,24,hl_range;mark_index_ratio;ret_6,basis;price;volatility,True,
k0_basis_premium_clean_022,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_6)),ZScore(quote_volume_mean_12))",8d944e407c648e35,12,mark_index_ratio;quote_volume_mean_12;ret_6,basis;liquidity;price,True,
k0_basis_premium_clean_023,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_6)),Rank(avg_trade_size_quote))",5ab95feafbab042c,24,avg_trade_size_quote;mark_index_ratio;ret_6,basis;liquidity;price,True,
k0_basis_premium_clean_024,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Rank(mark_index_ratio),Rank(ret_12))",fd1e22440046ccdb,12,mark_index_ratio;ret_12,basis;price,True,
k0_basis_premium_clean_025,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(ZScore(mark_index_ratio),ZScore(ret_12))",52cc679721194d5c,24,mark_index_ratio;ret_12,basis;price,True,
k0_basis_premium_clean_026,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Rank(mark_index_ratio),ZScore(ret_12))",be483bd1da0d9635,12,mark_index_ratio;ret_12,basis;price,True,
k0_basis_premium_clean_027,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(ZScore(mark_index_ratio),Rank(ret_12))",9e823cdd99f12ebd,24,mark_index_ratio;ret_12,basis;price,True,
k0_basis_premium_clean_028,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_12)),Rank(ret_3))",e0e75d119ba28b99,12,mark_index_ratio;ret_12;ret_3,basis;price,True,
k0_basis_premium_clean_029,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_12)),ZScore(ret_6))",dcac7c55b74dbf11,24,mark_index_ratio;ret_12;ret_6,basis;price,True,
k0_basis_premium_clean_030,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_12)),ZScore(ret_24))",864f7464bad4029d,12,mark_index_ratio;ret_12;ret_24,basis;price,True,
k0_basis_premium_clean_031,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_12)),Rank(realized_vol_12))",f64602dba649fcc4,24,mark_index_ratio;realized_vol_12;ret_12,basis;price;volatility,True,
k0_basis_premium_clean_032,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_12)),ZScore(realized_vol_24))",a370c40f9cc6e3ef,12,mark_index_ratio;realized_vol_24;ret_12,basis;price;volatility,True,
k0_basis_premium_clean_033,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_12)),Rank(hl_range))",76e1606f3a885ab9,24,hl_range;mark_index_ratio;ret_12,basis;price;volatility,True,
k0_basis_premium_clean_034,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(ZScore(mark_index_ratio),Rank(ret_12)),ZScore(quote_volume_mean_12))",6898a39a77aa2dcd,12,mark_index_ratio;quote_volume_mean_12;ret_12,basis;liquidity;price,True,
k0_basis_premium_clean_035,K0_basis_premium_clean,basis_premium_clean,generated_candidate,"Mul(Mul(Rank(mark_index_ratio),ZScore(ret_12)),Rank(avg_trade_size_quote))",9b7236d6dd1bab58,24,avg_trade_size_quote;mark_index_ratio;ret_12,basis;liquidity;price,True,
