pack_exact_fingerprint,lag_hours,holding_weight_correlation
25fc6c78ee80f71e044454d707a521b0cf89f2af16d7b2b1eccfc9995275f5a6,1,0.985980960636
25fc6c78ee80f71e044454d707a521b0cf89f2af16d7b2b1eccfc9995275f5a6,24,0.777902710304
25fc6c78ee80f71e044454d707a521b0cf89f2af16d7b2b1eccfc9995275f5a6,168,0.134011752982
5b7a6047a5077efb5fa1eadcaa1eba83b69ab3fc78e526402b0f914a8da43dfb,1,0.986032003224
5b7a6047a5077efb5fa1eadcaa1eba83b69ab3fc78e526402b0f914a8da43dfb,24,0.778148172038
5b7a6047a5077efb5fa1eadcaa1eba83b69ab3fc78e526402b0f914a8da43dfb,168,0.134225671674
779bfba96e6b66a9839e83ade5afe1eb4c28e412c0544efe666f0c7d6ae1414c,1,0.985073601102
779bfba96e6b66a9839e83ade5afe1eb4c28e412c0544efe666f0c7d6ae1414c,24,0.625046488614
779bfba96e6b66a9839e83ade5afe1eb4c28e412c0544efe666f0c7d6ae1414c,168,-0.0550700826204
92e52bf59f8b844fad64fdedc0ff9fbc6fad3ebb09494d729f154a564a72fb77,1,0.984412698068
92e52bf59f8b844fad64fdedc0ff9fbc6fad3ebb09494d729f154a564a72fb77,24,0.765860352219
92e52bf59f8b844fad64fdedc0ff9fbc6fad3ebb09494d729f154a564a72fb77,168,0.119358901611
a026c1e4b0e069ee9325996ba0d51191615dcce497c8c41b767aaa5ecd5f2084,1,0.986031979694
a026c1e4b0e069ee9325996ba0d51191615dcce497c8c41b767aaa5ecd5f2084,24,0.778148070462
a026c1e4b0e069ee9325996ba0d51191615dcce497c8c41b767aaa5ecd5f2084,168,0.134225592011
b418202d6258a693e911d827b8a8c567c6c338cc21b6e81620604fcd2d2d8eb2,1,0.996432805322
b418202d6258a693e911d827b8a8c567c6c338cc21b6e81620604fcd2d2d8eb2,24,0.930823866584
b418202d6258a693e911d827b8a8c567c6c338cc21b6e81620604fcd2d2d8eb2,168,0.703822624897
