pack_exact_fingerprint,registered_exact_signal_identity,activation_identity,behaviour_identity,behaviour_cluster,economic_hypothesis,feedback_permission
25fc6c78ee80f71e044454d707a521b0cf89f2af16d7b2b1eccfc9995275f5a6,exact-signal:2fb019417f68a65ced3f3ad8,activation:5015abe5a9b4730893013397,behaviour:d9d68d1bf2ba27adbd511131,behaviour-cluster:c30716d0a0a6cfad3d2c9dc4,hypothesis:oi-expansion-versus-top-account-crowding,NONE_NO_SELECTION_MEMORY_SCHEDULER_GENERATOR_OR_REWARD
5b7a6047a5077efb5fa1eadcaa1eba83b69ab3fc78e526402b0f914a8da43dfb,exact-signal:4bbd2ea7d2aef4e3127349a9,activation:74c13ee135d45be308a32782,behaviour:e0a103e4d55e48d3d8a5f060,behaviour-cluster:c30716d0a0a6cfad3d2c9dc4,hypothesis:oi-expansion-versus-top-account-crowding,NONE_NO_SELECTION_MEMORY_SCHEDULER_GENERATOR_OR_REWARD
779bfba96e6b66a9839e83ade5afe1eb4c28e412c0544efe666f0c7d6ae1414c,exact-signal:6345ffccc5692a68c80d75a3,activation:bfa90a9444ff42d8cfc38b59,behaviour:9a82c1c7692f698c4dda8a1f,behaviour-cluster:6345ffccc5692a68c80d75a3,hypothesis:oi-change-amplified-by-account-position-divergence,NONE_NO_SELECTION_MEMORY_SCHEDULER_GENERATOR_OR_REWARD
92e52bf59f8b844fad64fdedc0ff9fbc6fad3ebb09494d729f154a564a72fb77,exact-signal:eb029e5fb5797eee5e77689d,activation:cb24527896cba7212c47e42c,behaviour:fdf30f7bb399dcf9dc65262e,behaviour-cluster:eb029e5fb5797eee5e77689d,hypothesis:oi-change-normalized-by-account-divergence,NONE_NO_SELECTION_MEMORY_SCHEDULER_GENERATOR_OR_REWARD
a026c1e4b0e069ee9325996ba0d51191615dcce497c8c41b767aaa5ecd5f2084,exact-signal:1536eae67cef51de2f48c8bc,activation:74c13ee135d45be308a32782,behaviour:6f16b8d63b736bdaa3e0a554,behaviour-cluster:c30716d0a0a6cfad3d2c9dc4,hypothesis:standalone-slow-oi-inventory-change,NONE_NO_SELECTION_MEMORY_SCHEDULER_GENERATOR_OR_REWARD
b418202d6258a693e911d827b8a8c567c6c338cc21b6e81620604fcd2d2d8eb2,exact-signal:bacaebb963fbaf78a0a01738,activation:65e30055b2fc1dfbbe5c3394,behaviour:96ba51b4ece36d74707053ba,behaviour-cluster:bacaebb963fbaf78a0a01738,hypothesis:basis-versus-account-crowding-dislocation,NONE_NO_SELECTION_MEMORY_SCHEDULER_GENERATOR_OR_REWARD
