target,base_rate,top_decile_rate,lift,n,top_n
raw_survive,0.236994,0.61597,2.599091,2595,263
residual_survive,0.587669,0.943262,1.605092,2595,282
cost20_survive,0.213487,0.540268,2.53068,2595,298
lag1_survive,0.27052,0.636042,2.351182,2595,283
near_miss,0.04817,0.340351,7.065684,2595,285
research_candidate,0.000385,0.003817,9.90458,2595,262
