decision,label_family,count
A7INPUT3_NUMERIC_CLUE,L0_raw_forward_return,64
A7INPUT3_NUMERIC_CLUE,L1_cross_sectional_relative_return,65
A7INPUT3_NUMERIC_CLUE,L3_liquidity_tier_relative_return,68
A7INPUT3_NUMERIC_CLUE,L5_vol_adjusted_return,75
A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,489
HOLD_A7INPUT3_CONTROL_DOMINATED,L0_raw_forward_return,765
HOLD_A7INPUT3_CONTROL_DOMINATED,L1_cross_sectional_relative_return,765
HOLD_A7INPUT3_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,779
HOLD_A7INPUT3_CONTROL_DOMINATED,L5_vol_adjusted_return,729
HOLD_A7INPUT3_CONTROL_DOMINATED,L7_ranked_future_return,1291
HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L0_raw_forward_return,5
HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,4
HOLD_A7INPUT3_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,10
HOLD_A7INPUT3_NONOVERLAP_WEAK,L7_ranked_future_return,2
HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,54
HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,54
HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,66
HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,100
HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,192
HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L0_raw_forward_return,2456
HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,2456
HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,2421
HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,2440
HOLD_A7INPUT3_PRE_MAY_UNSTABLE,L7_ranked_future_return,1370
