blueprint_id,level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_route,secondary_route,primary_transform,secondary_transform,modifier_guard_required,skeleton_key,production_key,in_materialization_queue,in_company_numeric_wave_queue,company_shard,expression,input_fields,input_field_count,input_tags,input_clusters,input_semantic_types,input_routes,missing_registry_fields,has_missing_registry_field,has_signal_tag,has_condition_tag,has_rescue_tag,has_hard_block_tag,level_priority,in_company_numeric_wave_queue_bool,in_materialization_queue_bool,mode,mode_decision,mode_reason,generation_priority_rank,a7input_queue
a7ff24r_09b35fe95cd05cef,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,level,,False,skel_ca36cd3eaf5a3a94,prod_9565c946a2809299,True,True,shard_00,mark_index_basis_bps,mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_1313bae0f47d683a,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_168h,,False,skel_1d39996e97d5ace0,prod_730be53f74caec91,True,True,shard_00,"Mean(mark_index_basis_bps,168)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_1c3b5e472e010cc0,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_4h,,False,skel_1d39996e97d5ace0,prod_bf17218cf6a6b69f,True,True,shard_00,"Mean(mark_index_basis_bps,4)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_3c18085739c75d99,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,decay_168h,,False,skel_1d39996e97d5ace0,prod_76ff3cbb495ee057,True,True,shard_00,"Decay(mark_index_basis_bps,168)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_44729f0f6d18b9fe,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_2h,,False,skel_a311ee3fdacdeca2,prod_2574ffb099570c29,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,2))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_49641183569fa632,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_1h,,False,skel_a311ee3fdacdeca2,prod_95d701a5f939ee83,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,1))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_49df8a5d77c3bce5,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_24h,,False,skel_1d39996e97d5ace0,prod_57ea525df6de513b,True,True,shard_00,"Mean(mark_index_basis_bps,24)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_4f65613a81b1eeff,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_4h,,False,skel_a311ee3fdacdeca2,prod_b2e5f397e5aab576,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,4))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_547c0ff8380f3778,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,abs_zmean_8h,,False,skel_1926552988410ac0,prod_a3ee3a912fefe9f3,True,True,shard_00,"Abs(ZScore(Mean(mark_index_basis_bps,8)))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_57e00327a34e91e3,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_24h,,False,skel_1d39996e97d5ace0,prod_6b5cfa223e66ae24,True,True,shard_00,"Delta(mark_index_basis_bps,24)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_5e3756c09dd9800d,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_1h,,False,skel_1d39996e97d5ace0,prod_36e2cc64db2b930c,True,True,shard_00,"Mean(mark_index_basis_bps,1)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_6511aa6092778791,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_2h,,False,skel_1d39996e97d5ace0,prod_50bdc8bbcffbffb4,True,True,shard_00,"Mean(mark_index_basis_bps,2)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_6a8e4e33dbe4b09c,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_168h,,False,skel_1d39996e97d5ace0,prod_bf743c47201eac8f,True,True,shard_00,"Delta(mark_index_basis_bps,168)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_6b9e4107d4ce11d4,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_4h,,False,skel_1d39996e97d5ace0,prod_2e65a589d9d12580,True,True,shard_00,"Delta(mark_index_basis_bps,4)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_7f71b2e363dddbd6,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,abs_zmean_168h,,False,skel_1926552988410ac0,prod_61aca5d227f3189b,True,True,shard_00,"Abs(ZScore(Mean(mark_index_basis_bps,168)))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_8471f37f26b71942,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_48h,,False,skel_a311ee3fdacdeca2,prod_0bbca4e5bb6161d1,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,48))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_858ff2210f276fcf,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_12h,,False,skel_1d39996e97d5ace0,prod_b35e184f3abd0abb,True,True,shard_00,"Delta(mark_index_basis_bps,12)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_88992f2e9ba008c9,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,zmean_168h,,False,skel_a311ee3fdacdeca2,prod_9184d712825a40ec,True,True,shard_00,"ZScore(Mean(mark_index_basis_bps,168))",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_8bf0eefef7542ccd,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_1h,,False,skel_1d39996e97d5ace0,prod_e48a6a3c8b617f48,True,True,shard_00,"Delta(mark_index_basis_bps,1)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_8ee65f030b52e93f,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,decay_24h,,False,skel_1d39996e97d5ace0,prod_91f2d0a1e37a54e8,True,True,shard_00,"Decay(mark_index_basis_bps,24)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_a39fead768620491,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_336h,,False,skel_1d39996e97d5ace0,prod_215162d7a144a014,True,True,shard_00,"Mean(mark_index_basis_bps,336)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_acdf1de7772e8224,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,delta_336h,,False,skel_1d39996e97d5ace0,prod_6e02108b85d35043,True,True,shard_00,"Delta(mark_index_basis_bps,336)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_ba91531e12984292,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_8h,,False,skel_1d39996e97d5ace0,prod_2538cce5a70ba1ae,True,True,shard_00,"Mean(mark_index_basis_bps,8)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
a7ff24r_bb78ec0b9ce75244,L1_single_field_transform,ordinary_alpha_valid,P0,basis_premium_like,single,mark_index_basis_bps,,basis_premium_like,,primary_signal_seed,,mean_72h,,False,skel_1d39996e97d5ace0,prod_beb2285dedd5dcf4,True,True,shard_00,"Mean(mark_index_basis_bps,72)",mark_index_basis_bps,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,ic_013,basis_premium_like,ordinary_alpha_signal,,False,True,False,False,False,0,True,True,ordinary_alpha,accept,ordinary_alpha_route,0,ordinary_alpha
