admission_policy,rows,exact_identities,survivors,near_misses,positive_net_lcb,behaviour_clusters,n_eff,top_cluster_share,hypotheses,mechanisms
GLOBAL_QUALITY,768,768,0,153,4,517,80.81995067141682,0.06640625,33,11
HYBRID_QUALITY_DIVERSITY,768,768,0,53,2,698,524.7544483985765,0.016927083333333332,26,9
STRATIFIED_DIVERSITY,768,768,0,31,2,715,624.8135593220339,0.006510416666666667,20,3
