lane_id,rows,survivors,near_misses,positive_net_lcb,net_lcb_mean,behaviour_clusters,n_eff,top_cluster_share
evolutionary_random_control,345,0,91,1,-0.00011390481915068358,170,52.876499333629496,0.10434782608695652
evolutionary_repair,394,0,47,4,-0.00010846066296495376,245,176.40454545454546,0.027918781725888325
llm_random_repair_control,79,0,28,3,-6.990000974386737e-05,42,23.200743494423794,0.12658227848101267
llm_typed_repair,125,0,13,0,-0.00010526754869929612,68,50.241157556270096,0.072
local_mcts_random_control,132,0,30,0,-9.806628960987831e-05,79,54.45,0.06060606060606061
local_mcts_repair,426,0,23,0,-0.0001261131628185519,248,178.2671905697446,0.028169014084507043
orthogonal_exile_fresh,207,0,0,0,-0.00048711770959091437,124,114.264,0.014492753623188406
typed_ast_fresh,274,0,3,0,-0.00041689009085507677,144,127.24745762711865,0.021897810218978103
typed_random_fresh,322,0,2,0,-0.0004967307349880828,167,148.54441260744986,0.018633540372670808
