adaptive_lane,control_lane,adaptive_rows,control_rows,adaptive_survivor_rate,control_survivor_rate,adaptive_near_miss_rate,control_near_miss_rate,adaptive_blocker_delta_median,control_blocker_delta_median,adaptive_behaviour_clusters,control_behaviour_clusters,verdict
evolutionary_repair,evolutionary_random_control,394,345,0.0,0.0,0.11928934010152284,0.263768115942029,-4.0541260729279404e-05,-2.261998660149816e-05,245,170,NO_ADAPTIVE_SUCCESS
local_mcts_repair,local_mcts_random_control,426,132,0.0,0.0,0.0539906103286385,0.22727272727272727,-5.0619851455530415e-05,-3.0341662922779655e-05,248,79,NO_ADAPTIVE_SUCCESS
llm_typed_repair,llm_random_repair_control,125,79,0.0,0.0,0.104,0.35443037974683544,-3.4209505900807896e-05,-1.2137204193992521e-05,68,42,NO_ADAPTIVE_SUCCESS
