symbol,net_return_sum,gross_return_sum,funding_drag_sum,fee_drag_sum,turnover_sum,mean_abs_position,active_hours,split,candidate_id,abs_contribution_share
ADAUSDT,-0.5242343477623695,-0.5149968185344428,-0.050745252927361414,0.05998278215528816,59.982782155288156,0.0310438997955624,8760,train_2024,i2_microstructure_lite_113,0.11363895972649357
AVAXUSDT,0.09786665319148825,0.10530477031717428,-0.05144333180421381,0.05888144892989976,58.881448929899754,0.047445511594516106,8784,train_2024,i2_microstructure_lite_113,0.021214681388323494
BCHUSDT,-0.15810678661450625,-0.09788081493510865,0.004044649371351227,0.056181322308046316,56.18132230804631,0.02809165976040336,8784,train_2024,i2_microstructure_lite_113,0.03427301326832461
BNBUSDT,-0.13815642861533178,-0.10749507769931012,0.002963170180247193,0.027698180735774482,27.698180735774482,0.008171085187021756,8784,train_2024,i2_microstructure_lite_113,0.029948348280472673
BTCUSDT,0.772362637466911,0.873461031217201,0.0997662815833336,0.0013321121669565145,1.3321121669565146,0.07470549134716219,8784,train_2024,i2_microstructure_lite_113,0.16742605101704666
DOGEUSDT,0.07938156834987528,0.11900948018223415,-0.0013657134372075236,0.04099362526956635,40.993625269566344,0.019100218456416167,8784,train_2024,i2_microstructure_lite_113,0.01720764556393858
ETHUSDT,0.4707636367314524,0.5806835574736794,0.10840421356393978,0.001515707178287297,1.515707178287297,0.07477029037791004,8784,train_2024,i2_microstructure_lite_113,0.10204804432134022
LINKUSDT,-0.3144074272745809,-0.2965376263257582,-0.04629279540525934,0.0641625963540819,64.1625963540819,0.03415798660332785,8784,train_2024,i2_microstructure_lite_113,0.06815450593474302
LTCUSDT,-0.02018478870087958,-0.008893202247408225,-0.03138860032672281,0.04268018678019414,42.680186780194134,0.01688019000074956,8784,train_2024,i2_microstructure_lite_113,0.00437548283522007
SOLUSDT,0.4385691557194835,0.5355062890324711,0.07467613127948408,0.022261002033503625,22.261002033503622,0.056669458463334446,8784,train_2024,i2_microstructure_lite_113,0.09506920490200313
SUIUSDT,-1.2786134878903779,-1.285094224304829,-0.054638598718972455,0.04815786230452135,48.15786230452135,0.04935162527329955,8784,train_2024,i2_microstructure_lite_113,0.27716670469289695
XRPUSDT,0.32050995168663654,0.35482985294159775,0.0036378776073610576,0.03068202364760016,30.682023647600158,0.010549855457209061,8760,train_2024,i2_microstructure_lite_113,0.069477358069197
ADAUSDT,-0.21544528119553868,-0.19012440975418823,-0.007577853670042907,0.03289872511139332,32.89872511139332,0.0354287276856842,4320,validation_2025H1,i2_microstructure_lite_113,0.09407519552295666
AVAXUSDT,0.5197680395100742,0.5527934302071975,-0.0008569565973206021,0.03388234729444379,33.88234729444378,0.05137663273253031,4344,validation_2025H1,i2_microstructure_lite_113,0.2269591595237345
BCHUSDT,-0.15906832053026507,-0.12855350258866943,0.004875996103494619,0.025638821838101008,25.63882183810101,0.023165971124710923,4344,validation_2025H1,i2_microstructure_lite_113,0.06945793044226073
BNBUSDT,0.0732596947140317,0.08252378856432038,-0.0013896904149763847,0.010653784265265075,10.653784265265074,0.007523484361103604,4344,validation_2025H1,i2_microstructure_lite_113,0.03198919032215666
BTCUSDT,0.17094448269937032,0.19185633515064177,0.02074566231101707,0.0001661901402544041,0.1661901402544041,0.08008341926867926,4344,validation_2025H1,i2_microstructure_lite_113,0.07464371252075933
DOGEUSDT,-0.1640982158581562,-0.1472952761777004,-0.0018582731913274796,0.01866121287178325,18.66121287178325,0.01149968955016637,4344,validation_2025H1,i2_microstructure_lite_113,0.07165425789861331
ETHUSDT,-0.143847855003289,-0.12102867474179158,0.022588402787853602,0.00023077747364388962,0.2307774736438896,0.08008775319641562,4344,validation_2025H1,i2_microstructure_lite_113,0.06281184257041206
LINKUSDT,0.04394919855170239,0.0649542595551148,-0.01380201166336814,0.0348070726667805,34.807072666780506,0.048190174618473317,4344,validation_2025H1,i2_microstructure_lite_113,0.019190624291632253
LTCUSDT,0.13657797450437242,0.15679231562129617,-0.008766738704690982,0.028981079821614693,28.981079821614692,0.02661666261667914,4344,validation_2025H1,i2_microstructure_lite_113,0.05963741505188412
SOLUSDT,-0.3187729123660599,-0.30897010908663436,-0.0015481891956569283,0.011350992475082512,11.350992475082512,0.06347776461312668,4344,validation_2025H1,i2_microstructure_lite_113,0.13919369174320262
SUIUSDT,-0.05890862468951321,-0.030995944954667717,-0.001478190407894063,0.029390870142739528,29.390870142739526,0.045830351965048984,4344,validation_2025H1,i2_microstructure_lite_113,0.025722728086231043
