candidate_id,family_id,replay_rows,positive_rows,control_clean_rows,split_pass_rows,median_net_book_return,median_control_ratio,max_abs_net_book_return,train_split_pass_count,train_median_net_book_return,train_median_control_ratio,oos_split_count,oos_positive_split_count,oos_control_clean_split_count,oos_min_net_book_return,oos_worst_control_ratio,book_survivor,failure_reason
a7ffcore33_000,F1b_taker_flow_market_panel,32,11,10,0,-0.0083747952161356,1.5065170487510873,5.365056743481197,0,0.0114073075437918,1.519584431564892,3,0,1,-0.0494197330223396,5.264269489052568,False,train_control_dominated
a7ffcore33_001,F1b_taker_flow_market_panel,32,15,11,8,-0.0001538262723479,1.256923672316541,28.45643203729857,1,-0.0966908479277044,1.003037721621491,3,2,1,-0.008581561876228,12.412021023194525,False,train_book_net_nonpositive
a7ffcore33_002,F2a_basis_funding_independent,32,21,9,9,0.0227760115414857,1.8963162853296,27.9264103698181,1,-0.0022681523580104,1.2840436601487737,3,2,1,-0.0007817388996481,4.890055818541871,False,train_book_net_nonpositive
a7ffcore33_003,F2a_basis_funding_independent,32,13,12,0,-0.0069095840100198,1.4204805641200955,7.130585140541196,0,-0.0737529022307135,0.902998526060696,3,2,1,-0.047203007757198,3.642710341409481,False,train_book_net_nonpositive
a7ffcore33_004,F2a_basis_funding_independent,32,14,5,1,-0.0085528799500316,1.8906453297076935,15.120326057449914,0,0.0005395496380515,2.79463164509692,3,1,0,-0.1651419926444068,2.229609149096584,False,train_control_dominated
a7ffcore33_005,F2a_basis_funding_independent,32,12,10,0,-0.0322403316767886,1.2864583742221316,3.7765388391744334,0,-0.0667132260203361,1.1840168966050175,3,2,1,-0.1133921527899801,1.7660980702570397,False,train_book_net_nonpositive
a7ffcore33_006,F1b_taker_flow_market_panel,32,8,6,0,-0.029460975672584,1.4270356196674363,6.400313148639165,0,-0.0175294827357865,6.583886561822666,3,0,0,-0.0357994908909313,1.7329631325675576,False,train_book_net_nonpositive
a7ffcore33_007,F1a_aggtrades_flow_microstructure,32,14,19,8,-0.0018216352318413,0.7438549587526416,31.010512298583983,0,-0.1370429980158805,0.6378924903584937,3,2,2,-0.0350124024376273,6.665251100623106,False,train_book_net_nonpositive
a7ffcore33_008,F1a_aggtrades_flow_microstructure,32,19,10,5,0.0047229474661871,1.6411851381627065,17.701830139160155,1,0.0142753881812095,5.732481917652098,3,2,1,-0.147242068618536,2.272948945681144,False,train_control_dominated
a7ffcore33_009,F2a_basis_funding_independent,32,23,6,2,0.0306106662359088,1.8906030842584087,8.543594604422339,0,0.0195085363667458,1.1762927588156145,3,3,0,0.0030953364693559,5.586386297754103,False,train_control_dominated
a7ffcore33_010,F2a_basis_funding_independent,32,15,6,6,-0.0047400483898818,1.534589630181765,19.014614120499232,0,-0.0001703834161162,1.7251606064755929,3,1,1,-0.1955959055582061,3.800075969368248,False,train_book_net_nonpositive
a7ffcore33_011,F2a_basis_funding_independent,32,26,3,3,0.0251677756807766,2.0137308932409304,6.553406662300229,0,0.0287323026061058,1.7124087467412266,3,2,0,-0.0069707990158349,3.452096992209433,False,train_control_dominated
a7ffcore33_012,F1b_taker_flow_market_panel,32,16,5,0,0.0003192878942936,1.5842710676433025,5.062454452387057,0,0.0311946785151958,2.141136145006082,3,0,0,-0.027819129272364,2.1211783950893537,False,train_control_dominated
a7ffcore33_013,F2a_basis_funding_independent,32,17,10,0,0.0263767236517742,1.1995454008203457,10.82036500518024,0,0.1924168413816951,1.1943897859354395,3,1,1,-0.1115496068103238,1.3828750862204082,False,train_control_dominated
a7ffcore33_014,F1b_taker_flow_market_panel,32,12,12,4,-0.0213612907649949,1.85301990794684,18.006744400040247,0,-0.1670674312477931,0.8838936673354159,3,1,0,-0.1862627644101157,2.912982359617082,False,train_book_net_nonpositive
a7ffcore33_015,F1a_aggtrades_flow_microstructure,32,9,14,3,-0.0249926223009824,1.1335493142347488,42.32853598022461,0,-0.2318404080867767,0.4848516103734758,3,1,0,-0.0566273367553949,2.9999513254068537,False,train_book_net_nonpositive
a7ffcore33_016,F1a_aggtrades_flow_microstructure,32,14,5,2,-0.0004766197826247,1.8498767715145223,15.106588134765625,0,0.0027164895450696,3.5786750651413675,3,0,0,-0.0136958424592739,3.210249108089518,False,train_control_dominated
a7ffcore33_017,F1a_aggtrades_flow_microstructure,32,25,10,7,0.0239907949715852,1.48325195189161,15.07010675048828,2,0.0959079725146293,1.3175366019523742,3,3,1,0.0001768135675229,5.107054355830117,False,train_control_dominated
a7ffcore33_018,F1a_aggtrades_flow_microstructure,32,32,14,14,0.0346601398140192,1.157039699287158,9.781279792785645,0,0.016567682236433,4.622702477250438,3,3,2,0.0342741665840148,1.2432644711642908,False,train_control_dominated
a7ffcore33_019,F1b_taker_flow_market_panel,32,10,5,0,-0.0418419478628784,1.6683488743943091,30.74624990850221,0,-0.0530655229631811,1.0395186014293123,3,1,0,-0.5679458248568698,10.502094217252896,False,train_book_net_nonpositive
a7ffcore33_020,F1a_aggtrades_flow_microstructure,32,30,8,8,0.046784964710474,1.9393970572022436,15.778976669311524,0,0.046784964710474,3.0025014859443697,3,3,1,0.0090303683131933,3.488483069340729,False,train_control_dominated
