objective_id,split,replay_rows,positive_rows,control_clean_rows,median_net_book_return,median_control_ratio
B1_cross_sectional_rank_book,recent_2026JanApr,42,23,7,0.00903036831319325,1.895624226697627
B1_cross_sectional_rank_book,test_2025H2,42,26,15,0.012796513495501049,1.5295007930242128
B1_cross_sectional_rank_book,train_2024,42,20,10,-0.005829004063270951,1.3522952036944396
B1_cross_sectional_rank_book,validation_2025H1,42,19,14,-0.006459627070464149,1.5449964987537952
B2_market_beta_residual_book,recent_2026JanApr,42,22,7,0.00501015609502785,1.7839175590213405
B2_market_beta_residual_book,test_2025H2,42,26,15,0.0127965153581462,1.5326179988539081
B2_market_beta_residual_book,train_2024,42,20,10,-0.0058290022006258005,1.3522950612974733
B2_market_beta_residual_book,validation_2025H1,42,18,15,-0.00464543167408555,1.544996539692328
B3_vol_adjusted_rank_book,recent_2026JanApr,42,19,9,-0.8898404766842722,1.4757824972976008
B3_vol_adjusted_rank_book,test_2025H2,42,26,10,1.8531830811328254,1.4872449479931538
B3_vol_adjusted_rank_book,train_2024,42,18,11,-0.879321842645295,1.2677568933682868
B3_vol_adjusted_rank_book,validation_2025H1,42,24,17,0.6159358821958304,1.0837242123262214
B4_liquidity_cost_capped_book,recent_2026JanApr,42,21,9,0.0002586231280583797,1.5956743021739102
B4_liquidity_cost_capped_book,test_2025H2,42,28,14,0.0025428112689405,1.313799807858953
B4_liquidity_cost_capped_book,train_2024,42,22,13,0.0002697354173287,1.2884222204394722
B4_liquidity_cost_capped_book,validation_2025H1,42,24,14,0.00249148445203895,1.4856847974523917
