field,queue_expression_count,r6_activity_ok
funding_rate_state_last_ffill_8h,800,True
funding_rate_update_age_hours,0,True
funding_rate_abs_state_168h_z,0,True
funding_rate_delta_state_24h,0,True
funding_state_x_basis_delta,0,True
