blueprint_id,expression,semantic_pair,motif,label_family,label_horizon_h,mechanism,field_tokens,field_count,operator_path,quality_tier,control_ratio_premay_max,cost10_recent_oriented,one_bar_lag_recent_oriented,robust_min_tstat_floor,deep_followup_score,source_file
a7ls6_4ec71bffe30b07a9,"Mul(ZScore(Mean(volume_volatility_ratio_168h,168)),Sign(ZScore(Mean(premium_close_bps,168))))",volatility_like|premium_close_bps,typed_gate,L5_vol_adjusted_return,24,volatility_liquidity_x_premium_basis,premium_close_bps;volume_volatility_ratio_168h,2,Mul > ZScore > Mean > Sign > ZScore > Mean,Q0_high,0.6051777984967218,0.1986735766367741,0.208264950954901,1.3593226595565653,447.7800704015595,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_010\a7ls6_s010_label_response_metrics.csv
a7ls6_28acead2e0f4e624,"Delta(mark_index_basis_bps,168)",basis_premium_like,delta,L5_vol_adjusted_return,1,basis_premium_state,mark_index_basis_bps,1,Delta,Q0_high,0.6478525726341747,0.1134571217051447,0.0289322040940615,8.369750499514737,185.97381903530345,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_000\a7ls6_s000_label_response_metrics.csv
a7ls6_c4f84c645720612a,"Mul(Delta(mark_index_basis_bps,24),ZScore(Mean(volume_volatility_ratio_168h,24)))",basis_premium_like|volume_volatility_ratio_168h,typed_interaction,L3_liquidity_tier_relative_return,1,volatility_liquidity_x_premium_basis,mark_index_basis_bps;volume_volatility_ratio_168h,2,Mul > Delta > ZScore > Mean,Q1_medium,0.3980793154037132,-0.0012175860028192,0.0002254938487453,3.903546161773364,64.32110847014735,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_003\a7ls6_s003_label_response_metrics.csv
a7ls6_704f70fa6c166248,"ZScore(Mean(volume_volatility_ratio_168h,24))",volatility_like,zmean,L0_raw_forward_return,24,volatility_liquidity_state,volume_volatility_ratio_168h,1,ZScore > Mean,Q1_medium,0.5537660903430925,0.0037343372503435,0.0055940057357788,0.4737375311056348,54.42547148291868,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_009\a7ls6_s009_label_response_metrics.csv
a7ls6_59f0c559993f8406,"Mul(ZScore(Mean(volume_volatility_ratio_168h,24)),Sign(ZScore(Mean(age_percentile_active_universe,24))))",volatility_like|age_percentile_active_universe,typed_gate,L1_cross_sectional_relative_return,24,volatility_liquidity_x_listing_lifecycle,age_percentile_active_universe;volume_volatility_ratio_168h,2,Mul > ZScore > Mean > Sign > ZScore > Mean,Q1_medium,0.5907894131552256,0.0037415789576987,0.0056085670184118,0.565180066618297,50.83638472720624,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_009\a7ls6_s009_label_response_metrics.csv
a7ls6_2bd140b190452ccd,"ZScore(Mean(volume_volatility_ratio_168h,12))",volatility_like,zmean,L1_cross_sectional_relative_return,24,volatility_liquidity_state,volume_volatility_ratio_168h,1,ZScore > Mean,Q1_medium,0.7867220589960014,0.0048631417637418,0.0067045895008394,0.6113212739451135,33.50684663892617,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_008\a7ls6_s008_label_response_metrics.csv
a7ls6_cbc157eb34ecc74e,"Mul(ZScore(Mean(age_x_volatility,24)),Sign(ZScore(Mean(premium_abs_168h,24))))",listing_age_like|regime_state,typed_gate,L0_raw_forward_return,8,listing_lifecycle_state,age_x_volatility;premium_abs_168h,2,Mul > ZScore > Mean > Sign > ZScore > Mean,Q1_medium,0.7211340369939209,-0.0011913307818879,0.0007180549167622,1.3228288127197387,29.92748003008985,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_005\a7ls6_s005_label_response_metrics.csv
a7ls6_21c0f89afdd37ca0,"ZScore(Mean(taker_buy_sell_volume_ratio_last,72))",open_interest_like|positioning_like,zmean,L3_liquidity_tier_relative_return,8,positioning_flow_state,taker_buy_sell_volume_ratio_last,1,ZScore > Mean,Q1_medium,0.7913474039760618,-0.000758864384423,0.0012505341592252,0.2756356649197783,22.3914294265388,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_007\a7ls6_s007_label_response_metrics.csv
a7ls6_5cc8a20f941a59e2,"ZScore(Mean(volume_volatility_ratio_168h,72))",volatility_like,zmean,L0_raw_forward_return,8,volatility_liquidity_state,volume_volatility_ratio_168h,1,ZScore > Mean,Q1_medium,0.81362484053638,-0.0003692813919188,0.0015651854140469,0.7507467549810143,20.95344811538992,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_009\a7ls6_s009_label_response_metrics.csv
a7ls6_2f08b2d1eae777bb,"Mul(ZScore(Mean(volume_volatility_ratio_168h,72)),Sign(ZScore(Mean(age_percentile_active_universe,72))))",volatility_like|age_percentile_active_universe,typed_gate,L1_cross_sectional_relative_return,8,volatility_liquidity_x_listing_lifecycle,age_percentile_active_universe;volume_volatility_ratio_168h,2,Mul > ZScore > Mean > Sign > ZScore > Mean,Q1_medium,0.8376509017981864,-0.0003845867668864,0.0015605040745834,0.6209302204267398,18.416344115191503,G:\AlphaFactory_CryptoData\research_runtime\a7ls6_company_deep_numeric\shard_009\a7ls6_s009_label_response_metrics.csv
