semantic_pair,mechanism,rows
volatility_like,volatility_liquidity_state,8
listing_age_like|regime_state,listing_lifecycle_state,6
volatility_like|age_percentile_active_universe,volatility_liquidity_x_listing_lifecycle,6
volatility_like,realized_vol_state,4
volatility_like|premium_close_bps,realized_vol_x_premium_basis,4
volatility_like|premium_close_bps,volatility_liquidity_x_premium_basis,3
basis_premium_like|realized_vol_168h,realized_vol_x_premium_basis,3
open_interest_like|positioning_like,positioning_flow_state,2
listing_age_like,listing_lifecycle_state,1
basis_premium_like|volume_volatility_ratio_168h,volatility_liquidity_x_premium_basis,1
basis_premium_like,basis_premium_state,1
open_interest_like|mark_index_basis_bps,positioning_x_basis_premium,1
