company_numeric_shard,rows,family_count,semantic_pair_count,motif_count
a7ls8_s000,64,1,2,3
a7ls8_s001,64,1,2,3
a7ls8_s002,64,2,2,5
a7ls8_s003,64,1,2,4
a7ls8_s004,64,1,1,2
a7ls8_s005,64,1,1,2
a7ls8_s006,64,2,2,2
a7ls8_s007,64,1,2,4
a7ls8_s008,64,1,2,4
a7ls8_s009,64,1,3,2
a7ls8_s010,64,2,2,2
a7ls8_s011,64,1,3,2
a7ls8_s012,64,1,2,2
a7ls8_s013,64,2,3,6
a7ls8_s014,64,1,1,4
a7ls8_s015,6,1,1,3
