next_wave_family,rows,semantic_pair_count,motif_count,skeleton_count,source_seed_count
listing_lifecycle_expansion,256,2,4,136,1
oi_positioning_expansion,256,5,4,132,1
volatility_context_interaction,200,5,2,72,1
basis_vol_hybrid_expansion,162,3,3,60,1
volatility_core_expansion,92,1,4,30,1
