candidate_id,engine,source_field_families,operator_signature,horizon,expression,a7m_rank_score,a7n_regime_invariant_score,a7n_min_non_may_raw,a7n_min_non_may_residual_funding,a7n_min_non_may_cost20,a7n_min_non_may_lag1,candidate_decision,reject_reasons
e0_current_a7l_manual_generator_s1_00081,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(Rank(avg_trade_size_quote),ZScore(hl_range)),Rank(quote_volume_mean_12))",-0.6666674435246456,-0.6885152310494472,-0.4263722390031169,2.0,-2.0,-0.5964139371379283,A7M_REJECTED,raw_validation_nonpositive;raw_recent_nonpositive;cost20_validation_negative;cost20_recent_negative;lag1_validation_negative;lag1_recent_negative;may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_00825,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(ZScore(quote_asset_volume),ZScore(realized_vol_6)),Rank(hl_range))",-0.7651072194182186,-2.2759811443867215,-0.232076220242915,0.5191183793913726,-1.638222883969999,-0.1609518489284633,A7M_REJECTED,raw_recent_nonpositive;cost20_validation_negative;cost20_recent_negative;lag1_recent_negative;may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_01217,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(ZScore(quote_volume_mean_12),ZScore(realized_vol_6)),Rank(realized_vol_12))",2.5820933794821275,-1.3998266401361228,-0.0879447406781507,0.5489543033817061,-1.2101378705922312,-0.0371000825214083,A7M_REJECTED,raw_recent_nonpositive;cost20_recent_negative;lag1_recent_negative;may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_02129,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(ZScore(realized_vol_6),ZScore(quote_asset_volume)),Rank(hl_range))",-0.7651072194182186,-2.2759811443867215,-0.232076220242915,0.5191183793913726,-1.638222883969999,-0.1609518489284633,A7M_REJECTED,raw_recent_nonpositive;cost20_validation_negative;cost20_recent_negative;lag1_recent_negative;may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_02241,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(Rank(abs_ret_1),ZScore(number_of_trades)),Rank(realized_vol_12))",-12.860738718647273,-12.376906210312383,-1.8006644447312354,-2.0,-2.0,-1.8508041444240413,A7M_REJECTED,raw_validation_nonpositive;raw_recent_nonpositive;cost20_validation_negative;cost20_recent_negative;lag1_validation_negative;lag1_recent_negative;residual_funding_validation_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_02361,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(ZScore(avg_trade_size_quote),Rank(realized_vol_24)),Rank(realized_vol_6))",10.898144171600308,6.708874729301609,1.118665947625512,2.0,0.7870819112708676,1.1621692304928055,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_02729,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(ZScore(quote_volume_mean_6),ZScore(avg_trade_size_quote)),Rank(realized_vol_6))",3.855304431370212,1.581659639703493,-0.1972829113291352,2.0,-0.94309554929823,-0.2459177134697168,A7M_REJECTED,raw_recent_nonpositive;cost20_validation_negative;cost20_recent_negative;lag1_recent_negative;may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_02825,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(ZScore(quote_volume_mean_6),ZScore(abs_ret_1)),Rank(realized_vol_24))",-11.430750535484224,-8.802544432927565,-2.0,-0.1935542452554702,-2.0,-2.0,A7M_REJECTED,raw_validation_nonpositive;raw_recent_nonpositive;cost20_validation_negative;cost20_recent_negative;lag1_validation_negative;lag1_recent_negative;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_02953,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(Rank(realized_vol_24),ZScore(quote_asset_volume)),Rank(quote_volume_mean_24))",12.371209525870473,7.204799419903605,1.3026451947375646,2.0,0.8280053387943425,1.354105939584626,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative
e0_current_a7l_manual_generator_s1_03025,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank;ZScore,24,"Mul(Mul(ZScore(quote_asset_volume),Rank(avg_trade_size_quote)),Rank(hl_range))",-0.9868869356250094,-5.4990560566390245,-0.7784275176734873,-0.0141075604272078,-1.9775530781765296,-0.7451597837851465,A7M_REJECTED,raw_recent_nonpositive;cost20_recent_negative;lag1_recent_negative;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_stress_severe_fail;may_residual_funding_negative
