candidate_id,engine,source_field_families,operator_signature,horizon,expression,a7m_rank_score,a7n_regime_invariant_score,a7n_min_non_may_raw,a7n_min_non_may_residual_funding,a7n_min_non_may_cost20,a7n_min_non_may_lag1,candidate_decision,reject_reasons,return_corr_cluster,refactored_label,may_vetoed,pre_may_near_miss,post_may_eligible_near_miss
e4_cem_adaptive_grammar_crypto_s4_01658,E4_CEM_adaptive_grammar_crypto,liquidity,Mul;Rank;ZScore,24,"Mul(Mul(Rank(number_of_trades),ZScore(avg_trade_size_quote)),Rank(quote_volume_mean_24))",15.159681789547935,10.36010072982284,1.993340132978628,2.0,1.571455232226327,1.9771743182953807,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_003,may_vetoed_near_miss,True,True,False
e3_ast_failure_aware_repair_s3_00457,E3_AST_failure_aware_repair,liquidity,Mul;Rank;ZScore,24,"Mul(Rank(quote_volume_mean_6),ZScore(avg_trade_size_quote))",15.100042664660211,10.306013752742466,2.0,2.0,1.4886910539450164,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_003,may_vetoed_near_miss,True,True,False
e3_ast_failure_aware_repair_s2_00002,E3_AST_failure_aware_repair,liquidity,Mul;Rank;ZScore,24,"Mul(Rank(quote_volume_mean_6),ZScore(avg_trade_size_quote))",15.100042664660211,10.306013752742466,2.0,2.0,1.4886910539450164,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_003,may_vetoed_near_miss,True,True,False
e3_ast_failure_aware_repair_s4_00204,E3_AST_failure_aware_repair,liquidity,Mul;Rank;ZScore,24,"Mul(Rank(quote_volume_mean_6),ZScore(avg_trade_size_quote))",15.100042664660211,10.306013752742466,2.0,2.0,1.4886910539450164,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_003,may_vetoed_near_miss,True,True,False
e3_ast_failure_aware_repair_s1_00255,E3_AST_failure_aware_repair,liquidity,Mul;Rank;ZScore,24,"Mul(Rank(quote_volume_mean_6),ZScore(avg_trade_size_quote))",15.100042664660211,10.306013752742466,2.0,2.0,1.4886910539450164,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_003,may_vetoed_near_miss,True,True,False
e4_cem_adaptive_grammar_crypto_s2_00109,E4_CEM_adaptive_grammar_crypto,liquidity;volatility,Mul;Rank;ZScore,48,"Mul(Mul(Rank(realized_vol_6),ZScore(quote_volume_mean_6)),Rank(quote_asset_volume))",15.42969799221376,10.253281069224315,2.0,2.0,1.7471923237966973,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_006,may_vetoed_near_miss,True,True,False
e4_cem_adaptive_grammar_crypto_s2_01473,E4_CEM_adaptive_grammar_crypto,liquidity;volatility,Mul;Rank;ZScore,48,"Mul(Mul(Rank(realized_vol_12),ZScore(realized_vol_6)),Rank(number_of_trades))",15.262403587018907,10.174718355772413,2.0,2.0,1.6510630547254763,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_007,may_vetoed_near_miss,True,True,False
e5_surrogate_prioritized_sampler_s2_00158,E5_surrogate_prioritized_sampler,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,9.956040856525252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_000,may_vetoed_cluster,True,True,False
e0_current_a7l_manual_generator_s4_00554,E0_current_A7L_manual_generator,liquidity;volatility,Mul;Rank,24,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",15.709206327695185,9.956040856525252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_000,may_vetoed_cluster,True,True,False
e3_ast_failure_aware_repair_s4_00366,E3_AST_failure_aware_repair,liquidity;volatility,Mul;Rank,24,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",15.709206327695185,9.956040856525252,2.0,2.0,2.0,2.0,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,rc_000,may_vetoed_cluster,True,True,False
