split,rows,active_hours,mean_ic,net_sum_10bps,net_sum_20bps,net_mean_10bps,positive_hour_rate_10bps,turnover_mean,gross_exposure_mean,candidate_id,expression,orientation
validation_2025H1,4344,4344,0.05237108655617006,1.1672956480150287,0.9287956480150283,0.0002687144677750987,0.5285451197053407,0.05490331491712707,1.0,a7v3_rolling_self_reproduction_12_3eb1e9032578,"Decay(agg_notional_10k_100k,4)",1.0
recent_oos_2025H2_2026Apr,7296,7296,0.040501644736842736,1.4151117234983972,0.971111723498397,0.00019395719894440752,0.5239857456140351,0.06085526315789474,1.0,a7v3_rolling_self_reproduction_12_3eb1e9032578,"Decay(agg_notional_10k_100k,4)",1.0
fresh_may_2026,505,480,0.08437500000000057,-0.24914410032738876,-0.2836441003273888,-0.0004933546541136411,0.5227722772277228,0.06831683168316832,0.9504950495049505,a7v3_rolling_self_reproduction_12_3eb1e9032578,"Decay(agg_notional_10k_100k,4)",1.0
validation_2025H1,4344,4344,0.05340699815837999,1.2995232735149274,1.0745232735149266,0.0002991536080835468,0.5329189686924494,0.05179558011049724,1.0,a7v3_rolling_self_reproduction_12_519354de8b22,"Decay(agg_trade_count_1k_10k,4)",1.0
recent_oos_2025H2_2026Apr,7296,7296,0.031935307017544504,1.0386660421687521,0.7061660421687519,0.00014236102551655046,0.5198739035087719,0.045572916666666664,1.0,a7v3_rolling_self_reproduction_12_519354de8b22,"Decay(agg_trade_count_1k_10k,4)",1.0
fresh_may_2026,505,480,0.07500000000000055,-0.27048309280749,-0.30698309280749003,-0.000535610084767307,0.5108910891089109,0.07227722772277227,0.9504950495049505,a7v3_rolling_self_reproduction_12_519354de8b22,"Decay(agg_trade_count_1k_10k,4)",1.0
validation_2025H1,4344,4344,0.050874769797422344,1.1622638662515514,0.927763866251551,0.0002675561386398599,0.5331491712707183,0.053982504604051566,1.0,a7v3_rolling_self_reproduction_12_9fa317374c73,"Decay(agg_notional_1k_10k,4)",1.0
recent_oos_2025H2_2026Apr,7296,7296,0.03563596491228135,0.9325566902267349,0.5805566902267347,0.00012781752881397136,0.5227521929824561,0.04824561403508772,1.0,a7v3_rolling_self_reproduction_12_9fa317374c73,"Decay(agg_notional_1k_10k,4)",1.0
fresh_may_2026,505,480,0.09062500000000055,-0.2471423530460965,-0.2816423530460965,-0.0004893907981110821,0.5227722772277228,0.06831683168316832,0.9504950495049505,a7v3_rolling_self_reproduction_12_9fa317374c73,"Decay(agg_notional_1k_10k,4)",1.0
validation_2025H1,4344,4344,0.05294659300184227,0.8294957145814266,0.6589957145814263,0.0001909520521596286,0.5292357274401474,0.03924953959484346,1.0,a7v3_rolling_self_reproduction_12_b26d29c81a80,"Decay(agg_notional,4)",1.0
recent_oos_2025H2_2026Apr,7296,7296,0.049547697368421705,1.3868770139834026,0.9323770139834017,0.00019008731003061988,0.5285087719298246,0.06229440789473684,1.0,a7v3_rolling_self_reproduction_12_b26d29c81a80,"Decay(agg_notional,4)",1.0
fresh_may_2026,505,480,0.09687500000000054,-0.2139440879111582,-0.23544408791115823,-0.00042365165923001627,0.5207920792079208,0.04257425742574258,0.9504950495049505,a7v3_rolling_self_reproduction_12_b26d29c81a80,"Decay(agg_notional,4)",1.0
validation_2025H1,4344,4344,0.060428176795580754,1.4096932228836572,1.1561932228836571,0.00032451501447598003,0.5338397790055248,0.05835635359116022,1.0,a7v3_cross_symbol_self_reproduction_core3_12_b48c0093aa71,CrossSymbolRank(agg_notional_100_1k),1.0
recent_oos_2025H2_2026Apr,7296,7296,0.06633771929824628,2.499190687472561,2.1336906874725607,0.00034254258326104183,0.5396107456140351,0.05009594298245614,1.0,a7v3_cross_symbol_self_reproduction_core3_12_b48c0093aa71,CrossSymbolRank(agg_notional_100_1k),1.0
fresh_may_2026,505,480,0.10937500000000053,-0.17838217873876122,-0.18388217873876134,-0.00035323203710645786,0.5287128712871287,0.01089108910891089,0.9504950495049505,a7v3_cross_symbol_self_reproduction_core3_12_b48c0093aa71,CrossSymbolRank(agg_notional_100_1k),1.0
