variant,seed,fit_runtime_seconds,epochs,train_samples,valid_samples,development_holdout_samples,train_scaler_means,train_scaler_stds
CHALLENGER,1701,28.04607520007994,12,84,24,24,"[0.0033098998386189887, -0.01925559269642614, 20.443003752016335, 12.736382987477363]","[0.050614855314520625, 0.020197877958144955, 1.2507671276225454, 0.9845129013493189]"
CHALLENGER,1709,25.930246000061743,12,84,24,24,"[0.0033098998386189887, -0.01925559269642614, 20.443003752016335, 12.736382987477363]","[0.050614855314520625, 0.020197877958144955, 1.2507671276225454, 0.9845129013493189]"
ASSET_ROTATED_CONTROL,1701,26.851121000014246,12,84,24,24,"[0.0033098998386189887, -0.019255592696426148, 20.44300375201633, 12.736382987477363]","[0.050614855314520625, 0.020197877958144955, 1.2507671276225456, 0.984512901349319]"
ASSET_ROTATED_CONTROL,1709,28.38024999992922,12,84,24,24,"[0.0033098998386189887, -0.019255592696426148, 20.44300375201633, 12.736382987477363]","[0.050614855314520625, 0.020197877958144955, 1.2507671276225456, 0.984512901349319]"
