semantic_pair,decision,label_family,row_count
basis_premium_like|price_like,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,52
basis_premium_like|price_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,45
basis_premium_like|price_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,41
basis_premium_like|price_like,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,34
basis_premium_like|volatility_like,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,26
basis_premium_like|volatility_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,24
basis_premium_like|basis_premium_like,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,19
basis_premium_like|basis_premium_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,14
basis_premium_like|volatility_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,11
volatility_like|volatility_like,A7FFCORE59S01_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,11
price_like|volatility_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,11
basis_premium_like|basis_premium_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,9
price_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,9
basis_premium_like|basis_premium_like,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,7
price_like|volatility_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,6
price_like|volatility_like,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,6
price_like|volatility_like,A7FFCORE59S05_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,5
volatility_like,A7FFCORE59S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,4
basis_premium_like|volatility_like,A7FFCORE59S02_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,4
basis_premium_like|price_like,A7FFCORE59S05_NUMERIC_CLUE,L5_vol_adjusted_return,2
volatility_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,2
basis_premium_like,A7FFCORE59S03_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,1
basis_premium_like|price_like,A7FFCORE59S05_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
basis_premium_like|price_like,A7FFCORE59S04_NUMERIC_CLUE,L0_raw_forward_return,1
basis_premium_like|volatility_like,A7FFCORE59S05_NUMERIC_CLUE,L0_raw_forward_return,1
basis_premium_like|price_like,A7FFCORE59S05_NUMERIC_CLUE,L3_liquidity_tier_relative_return,1
