candidate_id,arm,split,funding_beta,funding_corr,core4_beta,core4_corr
i0_basis_premium_000,I0_basis_premium,validation_2025H1,0.09599930731883932,0.11570338585855641,0.1849211030632621,0.19213217048971934
i0_basis_premium_000,I0_basis_premium,recent_oos_2025H2_2026Apr,0.06681380096728667,0.0892767215360456,0.13468537552646473,0.1539678222684104
i0_basis_premium_000,I0_basis_premium,fresh_forward_2026May,0.1338784744565829,0.18718538133242485,0.09431814882338688,0.12948362526763993
i0_basis_premium_001,I0_basis_premium,validation_2025H1,0.13918093532105122,0.12222486472509238,0.27966039320090724,0.2117124624351722
i0_basis_premium_001,I0_basis_premium,recent_oos_2025H2_2026Apr,0.11544088301106867,0.1105018621475781,0.21135347448893635,0.17308395864041382
i0_basis_premium_001,I0_basis_premium,fresh_forward_2026May,0.23293366908276392,0.20514176879829782,0.18286462263777745,0.15812841969464028
i0_basis_premium_002,I0_basis_premium,validation_2025H1,0.09599930731883932,0.11570338585855641,0.1849211030632621,0.19213217048971934
i0_basis_premium_002,I0_basis_premium,recent_oos_2025H2_2026Apr,0.06681380096728667,0.0892767215360456,0.13468537552646473,0.1539678222684104
i0_basis_premium_002,I0_basis_premium,fresh_forward_2026May,0.1338784744565829,0.18718538133242485,0.09431814882338688,0.12948362526763993
i0_basis_premium_003,I0_basis_premium,validation_2025H1,0.4486480194915105,0.34793907080587266,0.48410129536089275,0.3236453220154441
i0_basis_premium_003,I0_basis_premium,recent_oos_2025H2_2026Apr,0.3043931801096936,0.2509795817987021,0.3941203691234922,0.2780160223051917
i0_basis_premium_003,I0_basis_premium,fresh_forward_2026May,0.13978841852181464,0.17670927454423263,0.0842310337841613,0.10454871315087208
i0_basis_premium_004,I0_basis_premium,validation_2025H1,0.33344737323180434,0.3380209207420282,0.36142419170410983,0.31584146341290964
i0_basis_premium_004,I0_basis_premium,recent_oos_2025H2_2026Apr,0.1766654821275906,0.20983550217636143,0.26072146325715245,0.2649363334280057
i0_basis_premium_004,I0_basis_premium,fresh_forward_2026May,0.06865653171800454,0.11256283071035997,0.04574807222515551,0.0736451840574339
i0_basis_premium_005,I0_basis_premium,validation_2025H1,0.4486480194915105,0.34793907080587266,0.48410129536089275,0.3236453220154441
i0_basis_premium_005,I0_basis_premium,recent_oos_2025H2_2026Apr,0.3043931801096936,0.2509795817987021,0.3941203691234922,0.2780160223051917
i0_basis_premium_005,I0_basis_premium,fresh_forward_2026May,0.13978841852181464,0.17670927454423263,0.0842310337841613,0.10454871315087208
i0_basis_premium_006,I0_basis_premium,validation_2025H1,0.11660744879926326,0.13718854185546872,0.1845761611434199,0.1871986879733984
i0_basis_premium_006,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0724686242167192,0.09533720038528055,0.11463024664600023,0.12901763481254394
i0_basis_premium_006,I0_basis_premium,fresh_forward_2026May,0.15704383557547602,0.21943966698211056,0.13718744740578073,0.18822054454014922
i0_basis_premium_007,I0_basis_premium,validation_2025H1,0.18407791239231314,0.15728812648838583,0.2854855276426494,0.21028776300399415
i0_basis_premium_007,I0_basis_premium,recent_oos_2025H2_2026Apr,0.14016211979459142,0.13072235232822838,0.19779031655851836,0.15781987457492405
i0_basis_premium_007,I0_basis_premium,fresh_forward_2026May,0.2534893908554628,0.23106803050857672,0.2506251227546536,0.22431746374137945
i0_basis_premium_008,I0_basis_premium,validation_2025H1,0.11660744879926326,0.13718854185546872,0.1845761611434199,0.1871986879733984
i0_basis_premium_008,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0724686242167192,0.09533720038528055,0.11463024664600023,0.12901763481254394
i0_basis_premium_008,I0_basis_premium,fresh_forward_2026May,0.15704383557547602,0.21943966698211056,0.13718744740578073,0.18822054454014922
i0_basis_premium_009,I0_basis_premium,validation_2025H1,0.0,,0.0,
i0_basis_premium_009,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0,,0.0,
i0_basis_premium_009,I0_basis_premium,fresh_forward_2026May,0.0,,0.0,
i0_basis_premium_010,I0_basis_premium,validation_2025H1,0.0,,0.0,
i0_basis_premium_010,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0,,0.0,
i0_basis_premium_010,I0_basis_premium,fresh_forward_2026May,0.0,,0.0,
i0_basis_premium_011,I0_basis_premium,validation_2025H1,0.0,,0.0,
i0_basis_premium_011,I0_basis_premium,recent_oos_2025H2_2026Apr,0.0,,0.0,
i0_basis_premium_011,I0_basis_premium,fresh_forward_2026May,0.0,,0.0,
i0_basis_premium_012,I0_basis_premium,validation_2025H1,-0.05970136014242637,-0.061092606183455245,-0.04166500148630353,-0.036754580768091655
i0_basis_premium_012,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.001004321958178617,-0.0011095756809496673,0.007810279805158391,0.007382237879641565
i0_basis_premium_012,I0_basis_premium,fresh_forward_2026May,-0.027177271868081273,-0.03173319718226825,-0.033361436424365856,-0.03824821054465915
i0_basis_premium_013,I0_basis_premium,validation_2025H1,-0.027737033630343487,-0.02151079487499842,-0.0259757324036451,-0.017366003828218138
i0_basis_premium_013,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.0023938878882994027,-0.0019115042306017147,0.0178170228739471,0.012171498916787106
i0_basis_premium_013,I0_basis_premium,fresh_forward_2026May,0.005283621344042615,0.004254980820987435,0.03930745952852574,0.03108130930599254
i0_basis_premium_014,I0_basis_premium,validation_2025H1,-0.05970136014242637,-0.061092606183455245,-0.04166500148630353,-0.036754580768091655
i0_basis_premium_014,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.001004321958178617,-0.0011095756809496673,0.007810279805158391,0.007382237879641565
i0_basis_premium_014,I0_basis_premium,fresh_forward_2026May,-0.027177271868081273,-0.03173319718226825,-0.033361436424365856,-0.03824821054465915
i0_basis_premium_015,I0_basis_premium,validation_2025H1,0.014119787903754103,0.010985417492450297,0.044669036671305465,0.02995922847884152
i0_basis_premium_015,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.043577238846521614,-0.03385280126787873,-0.0015462836292591008,-0.0010276885832711177
i0_basis_premium_015,I0_basis_premium,fresh_forward_2026May,-0.11397520128073592,-0.08438911028586775,-0.08152159743226778,-0.05926620649086717
i0_basis_premium_016,I0_basis_premium,validation_2025H1,-0.03386379122945595,-0.03531678105479197,-0.018460968706148124,-0.016597232050185255
i0_basis_premium_016,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.05974437879025268,-0.06474644397392762,-0.04887226035409855,-0.04531257763494961
i0_basis_premium_016,I0_basis_premium,fresh_forward_2026May,-0.08723017911220662,-0.10341653017524977,-0.11757516993165593,-0.13686651891787593
i0_basis_premium_017,I0_basis_premium,validation_2025H1,0.014119787903754103,0.010985417492450297,0.044669036671305465,0.02995922847884152
i0_basis_premium_017,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.043577238846521614,-0.03385280126787873,-0.0015462836292591008,-0.0010276885832711177
i0_basis_premium_017,I0_basis_premium,fresh_forward_2026May,-0.11397520128073592,-0.08438911028586775,-0.08152159743226778,-0.05926620649086717
i0_basis_premium_018,I0_basis_premium,validation_2025H1,-0.044854687449397385,-0.043993852942168524,0.0010763079487930728,0.0009100313559205628
i0_basis_premium_018,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.05887985678240263,-0.06427975720378115,-0.027208579912996307,-0.025412701150335497
i0_basis_premium_018,I0_basis_premium,fresh_forward_2026May,-0.2765572818181253,-0.28130391679865474,-0.3567437690264459,-0.356291519948533
i0_basis_premium_019,I0_basis_premium,validation_2025H1,0.0006733173523942022,0.0005127203404691409,-0.058085514646932956,-0.03812977359463222
i0_basis_premium_019,I0_basis_premium,recent_oos_2025H2_2026Apr,0.040272007182833636,0.03182887048765873,-0.005791476995649114,-0.003916018710340147
i0_basis_premium_019,I0_basis_premium,fresh_forward_2026May,0.21576108195651084,0.15768981865841433,0.28449070171719343,0.20415359282826218
i0_basis_premium_020,I0_basis_premium,validation_2025H1,-0.044854687449397385,-0.043993852942168524,0.0010763079487930728,0.0009100313559205628
i0_basis_premium_020,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.05887985678240263,-0.06427975720378115,-0.027208579912996307,-0.025412701150335497
i0_basis_premium_020,I0_basis_premium,fresh_forward_2026May,-0.2765572818181253,-0.28130391679865474,-0.3567437690264459,-0.356291519948533
i0_basis_premium_021,I0_basis_premium,validation_2025H1,-0.13076972375939788,-0.09827643317094331,-0.2713631405622719,-0.17580397132738243
i0_basis_premium_021,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.12160170147486982,-0.09541359234420102,-0.21956764077539997,-0.14739284519347656
i0_basis_premium_021,I0_basis_premium,fresh_forward_2026May,0.2269889966413027,0.17320062993062815,0.384705229356353,0.288224676355127
i0_basis_premium_022,I0_basis_premium,validation_2025H1,-0.006413776644711024,-0.006494126965131981,0.1174935323696259,0.1025549315478395
i0_basis_premium_022,I0_basis_premium,recent_oos_2025H2_2026Apr,0.020195661316687506,0.022457598065463717,0.09455693500579955,0.08995723195182213
i0_basis_premium_022,I0_basis_premium,fresh_forward_2026May,-0.19206039109644196,-0.19082700939573555,-0.28034509448303724,-0.2734975276581402
i0_basis_premium_023,I0_basis_premium,validation_2025H1,-0.13076972375939788,-0.09827643317094331,-0.2713631405622719,-0.17580397132738243
i0_basis_premium_023,I0_basis_premium,recent_oos_2025H2_2026Apr,-0.12160170147486982,-0.09541359234420102,-0.21956764077539997,-0.14739284519347656
i0_basis_premium_023,I0_basis_premium,fresh_forward_2026May,0.2269889966413027,0.17320062993062815,0.384705229356353,0.288224676355127
i0_basis_premium_024,I0_basis_premium,validation_2025H1,0.3929087323300382,0.3331864846906077,0.3769979670519636,0.27559437468532966
i0_basis_premium_024,I0_basis_premium,recent_oos_2025H2_2026Apr,0.31663944537563554,0.30391858206927397,0.3348981306297129,0.27500616681404033
i0_basis_premium_024,I0_basis_premium,fresh_forward_2026May,-0.4273822902934696,-0.3916445493481218,-0.48455976868993306,-0.4359948168025978
i0_basis_premium_025,I0_basis_premium,validation_2025H1,0.5051284153511254,0.34689005396567246,0.4819699386390546,0.28532882263992365
i0_basis_premium_025,I0_basis_premium,recent_oos_2025H2_2026Apr,0.5012091158178577,0.348171880384425,0.5100118637799439,0.30310456805410146
i0_basis_premium_025,I0_basis_premium,fresh_forward_2026May,-0.5320978024026373,-0.3719719690114463,-0.6945626891385389,-0.476747700162499
i0_basis_premium_026,I0_basis_premium,validation_2025H1,0.3929087323300382,0.3331864846906077,0.3769979670519636,0.27559437468532966
i0_basis_premium_026,I0_basis_premium,recent_oos_2025H2_2026Apr,0.31663944537563554,0.30391858206927397,0.3348981306297129,0.27500616681404033
i0_basis_premium_026,I0_basis_premium,fresh_forward_2026May,-0.4273822902934696,-0.3916445493481218,-0.48455976868993306,-0.4359948168025978
i0_basis_premium_027,I0_basis_premium,validation_2025H1,0.37168586669772935,0.26753653690252727,0.4032691339429878,0.25022902355027565
