candidate_id,arm,raw_may_10bp_ann_stress_only,residual_funding_may_ann_stress_only,residual_core4_may_ann_stress_only,may_used_for_rank,may_used_for_selection
i0_basis_premium_000,I0_basis_premium,-3.215269123825273,-0.6010956310322101,-0.2961769933958182,False,False
i0_basis_premium_001,I0_basis_premium,-4.196142006907631,-1.7660842633479807,-1.337325379860487,False,False
i0_basis_premium_002,I0_basis_premium,-3.215269123825273,-0.6010956310322101,-0.2961769933958182,False,False
i0_basis_premium_003,I0_basis_premium,-7.12643340516606,-6.8612743855093585,-6.229849695979064,False,False
i0_basis_premium_004,I0_basis_premium,-3.594312925213182,-3.322819017006144,-2.8537074167411602,False,False
i0_basis_premium_005,I0_basis_premium,-7.12643340516606,-6.8612743855093585,-6.229849695979064,False,False
i0_basis_premium_006,I0_basis_premium,-3.8232352944234536,-1.6032103333803238,-1.343030631745057,False,False
i0_basis_premium_007,I0_basis_premium,-3.9373940334942064,-2.1175258700706805,-1.7846316961112738,False,False
i0_basis_premium_008,I0_basis_premium,-3.8232352944234536,-1.6032103333803238,-1.343030631745057,False,False
i0_basis_premium_009,I0_basis_premium,0.0,0.0,0.0,False,False
i0_basis_premium_010,I0_basis_premium,0.0,0.0,0.0,False,False
i0_basis_premium_011,I0_basis_premium,0.0,0.0,0.0,False,False
i0_basis_premium_012,I0_basis_premium,-3.5662210307534608,-0.5451811161952411,-0.5710872884742683,False,False
i0_basis_premium_013,I0_basis_premium,-4.991372416668149,-1.2762028408327557,-1.4379381243477518,False,False
i0_basis_premium_014,I0_basis_premium,-3.5662210307534608,-0.5572740229176771,-0.5828854903638864,False,False
i0_basis_premium_015,I0_basis_premium,-5.779164814738361,-2.1531200076403976,-2.3606135305084432,False,False
i0_basis_premium_016,I0_basis_premium,-2.7519712422626865,-0.027915063003201835,-0.11034406145665264,False,False
i0_basis_premium_017,I0_basis_premium,-5.779164814738361,-2.1531200076403976,-2.3606135305084432,False,False
i0_basis_premium_018,I0_basis_premium,-4.1427620553374105,-1.4397033070368181,-1.578662523222756,False,False
i0_basis_premium_019,I0_basis_premium,5.492637355340634,3.495680081100371,3.750627950994172,False,False
i0_basis_premium_020,I0_basis_premium,-4.1427620553374105,-1.4397033070368181,-1.578662523222756,False,False
i0_basis_premium_021,I0_basis_premium,8.046876773492096,4.8357142813006675,5.044714298181341,False,False
i0_basis_premium_022,I0_basis_premium,-5.67157544332582,-1.6717539354327668,-1.748052599779949,False,False
i0_basis_premium_023,I0_basis_premium,8.046876773492096,4.8357142813006675,5.044714298181341,False,False
i0_basis_premium_024,I0_basis_premium,-3.092227989434766,-0.6059922540918826,-1.2627175404586775,False,False
i0_basis_premium_025,I0_basis_premium,-5.904020349926508,-3.0739113994880367,-3.750049997611872,False,False
i0_basis_premium_026,I0_basis_premium,-3.092227989434766,-0.6059922540918826,-1.2627175404586775,False,False
i0_basis_premium_027,I0_basis_premium,-6.477732843001461,-1.818664737278591,-2.395346543918177,False,False
i0_basis_premium_028,I0_basis_premium,-3.7425652996053635,0.42387451276139454,-0.16424885779212683,False,False
i0_basis_premium_029,I0_basis_premium,-6.477732843001461,-1.8264984072699169,-2.4031107498658737,False,False
i0_basis_premium_030,I0_basis_premium,-4.731963062417906,-3.204719069137155,-2.763577902047222,False,False
i0_basis_premium_031,I0_basis_premium,0.682486864484554,2.8650669040076693,2.533915996560595,False,False
i0_basis_premium_032,I0_basis_premium,0.0469126188005147,2.024912868484836,1.865537543724392,False,False
i0_basis_premium_033,I0_basis_premium,-4.033664650791871,-2.312032370303467,-1.9137759578593725,False,False
i0_basis_premium_034,I0_basis_premium,-2.166883551553214,-0.18331605151572866,-0.023023097177746414,False,False
i0_basis_premium_035,I0_basis_premium,-3.3057746209698253,-1.583439902552816,-1.2189933856242157,False,False
i0_basis_premium_036,I0_basis_premium,0.0,0.0,0.0,False,False
i0_basis_premium_037,I0_basis_premium,0.0,0.0,0.0,False,False
i0_basis_premium_038,I0_basis_premium,0.0,0.0,0.0,False,False
i0_basis_premium_039,I0_basis_premium,-2.663391653138421,-0.3123118942946922,0.0903178559356494,False,False
i0_basis_premium_040,I0_basis_premium,-3.9585559678230773,-1.3972614348585604,-1.2482550246298083,False,False
i0_basis_premium_041,I0_basis_premium,-5.454773595144552,-2.9693045689531017,-2.919137473099354,False,False
i0_basis_premium_042,I0_basis_premium,-3.503648608315177,-0.3991946833414017,-0.4676961529277234,False,False
i0_basis_premium_043,I0_basis_premium,-5.818359502761245,-3.0198639692495353,-2.9368938787023042,False,False
i0_basis_premium_044,I0_basis_premium,-1.9667820855915326,0.43917323281687015,0.4017534812948702,False,False
i0_basis_premium_045,I0_basis_premium,-4.918738235712494,-1.195737434988764,-1.381445094522968,False,False
i0_basis_premium_046,I0_basis_premium,-4.763611069462007,-2.0125371086153563,-1.89288926655653,False,False
i0_basis_premium_047,I0_basis_premium,-5.658184063799216,-4.085604115376489,-4.050252987949843,False,False
i0_basis_premium_048,I0_basis_premium,-4.027651851293973,-1.2785736740756353,-1.3855223823263745,False,False
i0_basis_premium_049,I0_basis_premium,-8.88196955528626,-4.684008704765334,-4.614490689571319,False,False
i0_basis_premium_050,I0_basis_premium,0.07069788588510051,2.432305588041354,2.5849900016144853,False,False
