stage,count,status,reason
generated,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
legal,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
exact_unique,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
numeric_unique,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
behavior_unique,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
materialized,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
support_pass,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
mapping_pass,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
strict_pass,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
gross_positive,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
net_positive,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
matched_positive,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
robust_positive,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
cross_seed_reproduced,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
cross_month_stable,0,NOT_RUN,CRYPTO_DATA_UNIVERSE_NOT_RESEARCH_QUALIFIED
